#Parameters = {L_taper=0.1; b=5; d=15; L_in=30; L_out=30; beta=1; cellsperw=12; conductivity=10; q=1e-09; sigmaz=4; wakelength=1000}
#"s / cm"	"Z (5) [Real Part]"
#----------------------------
-34.195684137463	4.8727734024663e-14
-34.182349281972	4.9595275257573e-14
-34.169014426481	5.0479125158378e-14
-34.155679570990	5.1384611832147e-14
-34.142344715499	5.2317174980287e-14
-34.129009860008	5.3268421011453e-14
-34.115675004517	5.4238666332925e-14
-34.102340149026	5.5234302947566e-14
-34.089005293535	5.6252491269446e-14
-34.075670438044	5.7294871033880e-14
-34.062335582553	5.8357414693030e-14
-34.049000727062	5.9440762825714e-14
-34.035665871571	6.0547475231379e-14
-34.022331016080	6.1679853343187e-14
-34.008996160589	6.2849197835273e-14
-33.995661305098	6.4050398274794e-14
-33.982326449607	6.5275183536236e-14
-33.968991594116	6.6532619810331e-14
-33.955656738626	6.7838155758029e-14
-33.942321883135	6.9174325485228e-14
-33.928987027644	7.0538564442386e-14
-33.915652172153	7.1941101219286e-14
-33.902317316662	7.3380411714616e-14
-33.888982461171	7.4856521240216e-14
-33.875647605680	7.6372382378673e-14
-33.862312750189	7.7937815943798e-14
-33.848977894698	7.9541926012124e-14
-33.835643039207	8.1189068517860e-14
-33.822308183716	8.2892519638984e-14
-33.808973328225	8.4643028733955e-14
-33.795638472734	8.6447154625478e-14
-33.782303617243	8.8310029904541e-14
-33.768968761752	9.0222278306375e-14
-33.755633906261	9.2184563807261e-14
-33.742299050770	9.4210790006915e-14
-33.728964195279	9.6299813307640e-14
-33.715629339788	9.8443943673711e-14
-33.702294484297	1.0064464381621e-13
-33.688959628806	1.0291506908868e-13
-33.675624773315	1.0526040263124e-13
-33.662289917824	1.0768170959130e-13
-33.648955062333	1.1017491916310e-13
-33.635620206843	1.1273234492594e-13
-33.622285351352	1.1537278326612e-13
-33.608950495861	1.1808472080746e-13
-33.595615640370	1.2086207778974e-13
-33.582280784879	1.2372351773689e-13
-33.568945929388	1.2666746404675e-13
-33.555611073897	1.2970340471732e-13
-33.542276218406	1.3283086508284e-13
-33.528941362915	1.3603371282584e-13
-33.515606507424	1.3931985229727e-13
-33.502271651933	1.4270788226351e-13
-33.488936796442	1.4620452094785e-13
-33.475601940951	1.4978492401990e-13
-33.462267085460	1.5345244189538e-13
-33.448932229969	1.5722731760130e-13
-33.435597374478	1.6110366383726e-13
-33.422262518987	1.6507918337973e-13
-33.408927663496	1.6915733338236e-13
-33.395592808005	1.7334890673689e-13
-33.382257952514	1.7765306513715e-13
-33.368923097023	1.8205824135991e-13
-33.355588241532	1.8656967093984e-13
-33.342253386041	1.9119303501237e-13
-33.328918530551	1.9591952430721e-13
-33.315583675060	2.0076634170576e-13
-33.302248819569	2.0574567552645e-13
-33.288913964078	2.0988101846862e-13
-33.275579108587	2.1069104996271e-13
-33.262244253096	2.1136661031870e-13
-33.248909397605	2.1220099085882e-13
-33.235574542114	2.1319751559689e-13
-33.222239686623	2.1439004835312e-13
-33.208904831132	2.1513191579081e-13
-33.195569975641	2.1435311526693e-13
-33.182235120150	2.1374675314245e-13
-33.168900264659	2.1342191073304e-13
-33.155565409168	2.1340364398738e-13
-33.142230553677	2.1372200429027e-13
-33.128895698186	2.1434616407065e-13
-33.115560842695	2.1528811603239e-13
-33.102225987204	2.1661988774998e-13
-33.088891131713	2.1837020923053e-13
-33.075556276222	2.2052121719334e-13
-33.062221420731	2.2301500917458e-13
-33.048886565240	2.2562988169714e-13
-33.035551709749	2.2685699546418e-13
-33.022216854259	2.2830448375050e-13
-33.008881998768	2.3028356362975e-13
-32.995547143277	2.3275702886510e-13
-32.982212287786	2.3576031548938e-13
-32.968877432295	2.3920179133219e-13
-32.955542576804	2.4312514171345e-13
-32.942207721313	2.4765504152947e-13
-32.928872865822	2.5263590798523e-13
-32.915538010331	2.5636977052181e-13
-32.902203154840	2.6032146938873e-13
-32.888868299349	2.6485356411733e-13
-32.875533443858	2.6993046300660e-13
-32.862198588367	2.7566666380912e-13
-32.848863732876	2.8206947502359e-13
-32.835528877385	2.8907562381099e-13
-32.822194021894	2.9544655527881e-13
-32.808859166403	3.0149334736793e-13
-32.795524310912	3.0817207166676e-13
-32.782189455421	3.1557756310127e-13
-32.768854599930	3.2378539933277e-13
-32.755519744439	3.3282260116661e-13
-32.742184888948	3.4158853943878e-13
-32.728850033457	3.4986815092013e-13
-32.715515177966	3.5894400657341e-13
-32.702180322476	3.6878869556817e-13
-32.688845466985	3.7955343602742e-13
-32.675510611494	3.9047372029299e-13
-32.662175756003	4.0038861316240e-13
-32.648840900512	4.1107525150704e-13
-32.635506045021	4.2264935216777e-13
