#Parameters = {H_cav=30; H_pipe=12; L_cav=20; L_pipe=70; W_cav=30; W_pipe=12; beta=1; cellsperw=20; q=1e-09; sigmaz=5}
#"Frequency / GHz"	"Z [Magnitude]"
#---------------------------------
0.0000000000000	56.094866848666
0.0020478289222872	55.997131503914
0.0040956578445743	55.738959059575
0.0061434867668615	55.417104774014
0.0081913156891487	55.165578137181
0.010239144611436	55.118052810304
0.012286973533723	55.365189101929
0.014334802456010	55.920243765130
0.016382631378297	56.706414863600
0.018430460300585	57.571142214344
0.020478289222872	58.321060754526
0.022526118145159	58.765066673910
0.024573947067446	58.754678948675
0.026621775989733	58.216230232329
0.028669604912020	57.173371052697
0.030717433834308	55.758898503001
0.032765262756595	54.212142818183
0.034813091678882	52.853406080749
0.036860920601169	52.024870294155
0.038908749523456	51.998046011249
0.040956578445743	52.876700282749
0.043004407368031	54.547906811744
0.045052236290318	56.712270877559
0.047100065212605	58.969734819498
0.049147894134892	60.911566184303
0.051195723057179	62.188584265180
0.053243551979466	62.553291472416
0.055291380901754	61.885416708211
0.057339209824041	60.210010655660
0.059387038746328	57.713013009146
0.061434867668615	54.753194955811
0.063482696590902	51.857924128491
0.065530525513189	49.669641625561
0.067578354435477	48.797011363546
0.069626183357764	49.580241493815
0.071674012280051	51.916542305067
0.073721841202338	55.306098476375
0.075769670124625	59.064218926670
0.077817499046912	62.519752760219
0.079865327969200	65.120611842886
0.081913156891487	66.471910884211
0.083960985813774	66.347438858875
0.086008814736061	64.697166634811
0.088056643658348	61.660404020144
0.090104472580635	57.589002944442
0.092152301502923	53.079327881427
0.094200130425210	48.988859838940
0.096247959347497	46.349911575012
0.098295788269784	46.040268470904
0.10034361719207	48.289227838269
0.10239144611436	52.517392169526
0.10443927503665	57.709216858717
0.10648710395893	62.851459722516
0.10853493288122	67.130042059440
0.11058276180351	69.961272397939
0.11263059072579	70.976944113500
0.11467841964808	70.011828485365
0.11672624857037	67.104757262036
0.11877407749266	62.517061732714
0.12082190641494	56.775254899863
0.12286973533723	50.744052179383
0.12491756425952	45.692669814906
0.12696539318180	43.145355155551
0.12901322210409	44.166663780743
0.13106105102638	48.510235324030
0.13310887994867	54.851499589428
0.13515670887095	61.703784283466
0.13720453779324	67.890419829651
0.13925236671553	72.583629167872
0.14130019563781	75.240517844859
0.14334802456010	75.555772692405
0.14539585348239	73.442802473999
0.14744368240468	69.038248630297
0.14949151132696	62.732633791958
0.15153934024925	55.244502949530
0.15358716917154	47.765142617679
0.15563499809382	42.118852651994
0.15768282701611	40.440931915500
0.15973065593840	43.669058193530
0.16177848486069	50.546738081303
0.16382631378297	58.950116483837
0.16587414270526	67.153108967188
0.16792197162755	73.989444230196
0.16996980054984	78.697913299104
0.17201762947212	80.809310628641
0.17406545839441	80.095798542550
0.17611328731670	76.557497243861
0.17816111623898	70.435230544532
0.18020894516127	62.258592963527
0.18225677408356	52.968165816928
0.18430460300585	44.184947256754
0.18635243192813	38.530953664775
0.18840026085042	38.790004242339
0.19044808977271	45.025716562085
0.19249591869499	54.544844128995
0.19454374761728	64.730674741754
0.19659157653957	73.894096915481
0.19863940546186	80.982828428975
0.20068723438414	85.332159622287
0.20273506330643	86.556126270151
0.20478289222872	84.509832544617
0.20683072115100	79.285485813695
0.20887855007329	71.235088170061
0.21092637899558	61.041896900694
0.21297420791787	49.918280773830
0.21502203684015	40.099423987421
0.21706986576244	35.392129040572
0.21911769468473	38.874007060891
0.22116552360701	48.562174777306
0.22321335252930	60.492675689674
0.22526118145159	72.060844441687
0.22730901037388	81.782079332375
0.22935683929616	88.746034134678
0.23140466821845	92.385834320083
0.23345249714074	92.399419007921
0.23550032606302	88.728267323533
0.23754815498531	81.562478910375
0.23959598390760	71.374271733947
0.24164381282989	59.022059799168
0.24369164175217	46.073859162088
0.24573947067446	35.721945856244
0.24778729959675	33.461564232703
0.24983512851903	41.320407877292
0.25188295744132	54.381082582416
0.25393078636361	68.291210113339
0.25597861528590	80.818619234210
0.25802644420818	90.715202220168
0.26007427313047	97.199348064496
0.26212210205276	99.794187902129
0.26416993097504	98.281341869187
0.26621775989733	92.693198339036
0.26826558881962	83.325236340375
0.27031341774191	70.781793205615
0.27236124666419	56.128487094443
0.27440907558648	41.438146297391
0.27645690450877	31.521698741121
0.27850473343106	33.761668949357
0.28055256235334	46.473706143527
0.28260039127563	62.425256105276
0.28464822019792	77.838868280483
0.28669604912020	90.929512896770
0.28874387804249	100.64448139228
0.29079170696478	106.30740150057
0.29283953588707	107.52456190800
0.29488736480935	104.16341647380
0.29693519373164	96.354034196015
0.29898302265393	84.506956495087
0.30103085157621	69.374280880740
0.30307868049850	52.278523576445
0.30512650942079	36.085732061465
0.30717433834308	28.476251639128
0.30922216726536	37.207776354482
0.31126999618765	54.363286871426
0.31331782510994	72.604323039024
0.31536565403222	89.089770721724
0.31741348295451	102.38520667366
0.31946131187680	111.57846036257
0.32150914079909	116.07938293672
0.32355696972137	115.57506994348
0.32560479864366	110.02427433945
0.32765262756595	99.664126398505
0.32970045648823	85.032456417723
0.33174828541052	67.049879743547
0.33379611433281	47.378268986324
0.33584394325510	30.298614929040
0.33789177217738	28.237204259858
0.33993960109967	44.158051009848
0.34198743002196	64.890338293930
0.34403525894424	84.894094473298
0.34608308786653	102.08539572309
0.34813091678882	115.25521910673
0.35017874571111	123.58922287354
0.35222657463339	126.57283532390
0.35427440355568	123.97661162123
0.35632223247797	115.85951882604
0.35837006140025	102.57796716298
0.36041789032254	84.812311506441
0.36246571924483	63.680046070059
