           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01  1.6809E+01
 -3.4823E+01  1.6743E+01
 -3.4646E+01  1.6677E+01
 -3.4468E+01  1.6611E+01
 -3.4291E+01  1.6544E+01
 -3.4114E+01  1.6554E+01
 -3.3937E+01  1.6575E+01
 -3.3759E+01  1.6596E+01
 -3.3582E+01  1.6617E+01
 -3.3405E+01  1.6877E+01
 -3.3228E+01  1.7217E+01
 -3.3051E+01  1.7557E+01
 -3.2873E+01  1.7897E+01
 -3.2696E+01  1.8455E+01
 -3.2519E+01  1.9146E+01
 -3.2342E+01  1.9838E+01
 -3.2165E+01  2.0529E+01
 -3.1987E+01  2.1400E+01
 -3.1810E+01  2.2454E+01
 -3.1633E+01  2.3509E+01
 -3.1456E+01  2.4564E+01
 -3.1278E+01  2.5744E+01
 -3.1101E+01  2.7140E+01
 -3.0924E+01  2.8537E+01
 -3.0747E+01  2.9933E+01
 -3.0570E+01  3.1404E+01
 -3.0392E+01  3.3110E+01
 -3.0215E+01  3.4816E+01
 -3.0038E+01  3.6521E+01
 -2.9861E+01  3.8257E+01
 -2.9684E+01  4.0217E+01
 -2.9506E+01  4.2178E+01
 -2.9329E+01  4.4139E+01
 -2.9152E+01  4.6099E+01
 -2.8975E+01  4.8239E+01
 -2.8797E+01  5.0381E+01
 -2.8620E+01  5.2523E+01
 -2.8443E+01  5.4665E+01
 -2.8266E+01  5.6891E+01
 -2.8089E+01  5.9130E+01
 -2.7911E+01  6.1369E+01
 -2.7734E+01  6.3608E+01
 -2.7557E+01  6.5851E+01
 -2.7380E+01  6.8096E+01
 -2.7203E+01  7.0341E+01
 -2.7025E+01  7.2586E+01
 -2.6848E+01  7.4773E+01
 -2.6671E+01  7.6924E+01
 -2.6494E+01  7.9074E+01
 -2.6316E+01  8.1225E+01
 -2.6139E+01  8.3280E+01
 -2.5962E+01  8.5235E+01
 -2.5785E+01  8.7190E+01
 -2.5608E+01  8.9145E+01
 -2.5430E+01  9.0995E+01
 -2.5253E+01  9.2659E+01
 -2.5076E+01  9.4324E+01
 -2.4899E+01  9.5988E+01
 -2.4722E+01  9.7560E+01
 -2.4544E+01  9.8834E+01
 -2.4367E+01  1.0011E+02
 -2.4190E+01  1.0138E+02
 -2.4013E+01  1.0260E+02
 -2.3835E+01  1.0340E+02
 -2.3658E+01  1.0419E+02
 -2.3481E+01  1.0498E+02
 -2.3304E+01  1.0577E+02
 -2.3127E+01  1.0602E+02
 -2.2949E+01  1.0625E+02
 -2.2772E+01  1.0648E+02
 -2.2595E+01  1.0671E+02
 -2.2418E+01  1.0640E+02
 -2.2241E+01  1.0599E+02
 -2.2063E+01  1.0559E+02
 -2.1886E+01  1.0518E+02
 -2.1709E+01  1.0426E+02
 -2.1532E+01  1.0315E+02
 -2.1354E+01  1.0203E+02
 -2.1177E+01  1.0092E+02
 -2.1000E+01  9.9340E+01
 -2.0823E+01  9.7454E+01
 -2.0646E+01  9.5567E+01
 -2.0468E+01  9.3681E+01
 -2.0291E+01  9.1395E+01
 -2.0114E+01  8.8673E+01
 -1.9937E+01  8.5951E+01
 -1.9759E+01  8.3229E+01
 -1.9582E+01  8.0189E+01
 -1.9405E+01  7.6565E+01
 -1.9228E+01  7.2941E+01
 -1.9051E+01  6.9317E+01
 -1.8873E+01  6.5471E+01
 -1.8696E+01  6.0869E+01
 -1.8519E+01  5.6266E+01
 -1.8342E+01  5.1663E+01
 -1.8165E+01  4.6953E+01
 -1.7987E+01  4.1281E+01
 -1.7810E+01  3.5608E+01
 -1.7633E+01  2.9935E+01
 -1.7456E+01  2.4263E+01
 -1.7278E+01  1.7443E+01
 -1.7101E+01  1.0592E+01
 -1.6924E+01  3.7416E+00
 -1.6747E+01 -3.1089E+00
 -1.6570E+01 -1.1071E+01
 -1.6392E+01 -1.9232E+01
 -1.6215E+01 -2.7393E+01
 -1.6038E+01 -3.5553E+01
 -1.5861E+01 -4.4768E+01
 -1.5684E+01 -5.4389E+01
 -1.5506E+01 -6.4010E+01
 -1.5329E+01 -7.3631E+01
 -1.5152E+01 -8.4212E+01
 -1.4975E+01 -9.5444E+01
 -1.4797E+01 -1.0668E+02
 -1.4620E+01 -1.1791E+02
 -1.4443E+01 -1.2996E+02
 -1.4266E+01 -1.4293E+02
 -1.4089E+01 -1.5590E+02
 -1.3911E+01 -1.6887E+02
 -1.3734E+01 -1.8246E+02
 -1.3557E+01 -1.9721E+02
 -1.3380E+01 -2.1197E+02
 -1.3203E+01 -2.2673E+02
 -1.3025E+01 -2.4186E+02
 -1.2848E+01 -2.5831E+02
 -1.2671E+01 -2.7476E+02
 -1.2494E+01 -2.9122E+02
 -1.2316E+01 -3.0779E+02
 -1.2139E+01 -3.2561E+02
 -1.1962E+01 -3.4343E+02
 -1.1785E+01 -3.6125E+02
 -1.1608E+01 -3.7911E+02
 -1.1430E+01 -3.9768E+02
 -1.1253E+01 -4.1625E+02
 -1.1076E+01 -4.3484E+02
 -1.0899E+01 -4.5360E+02
 -1.0722E+01 -4.7235E+02
 -1.0544E+01 -4.9100E+02
 -1.0367E+01 -5.0964E+02
 -1.0190E+01 -5.2792E+02
 -1.0013E+01 -5.4620E+02
 -9.8354E+00 -5.6391E+02
 -9.6582E+00 -5.8159E+02
