           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01  4.6531E+00
 -3.4823E+01  4.5025E+00
 -3.4646E+01  4.3519E+00
 -3.4468E+01  4.2013E+00
 -3.4291E+01  4.0507E+00
 -3.4114E+01  3.6609E+00
 -3.3937E+01  3.2366E+00
 -3.3759E+01  2.8123E+00
 -3.3582E+01  2.3880E+00
 -3.3405E+01  1.8006E+00
 -3.3228E+01  1.1581E+00
 -3.3051E+01  5.1564E-01
 -3.2873E+01 -1.2684E-01
 -3.2696E+01 -8.5712E-01
 -3.2519E+01 -1.6408E+00
 -3.2342E+01 -2.4245E+00
 -3.2165E+01 -3.2082E+00
 -3.1987E+01 -4.0187E+00
 -3.1810E+01 -4.8565E+00
 -3.1633E+01 -5.6942E+00
 -3.1456E+01 -6.5320E+00
 -3.1278E+01 -7.3614E+00
 -3.1101E+01 -8.1765E+00
 -3.0924E+01 -8.9915E+00
 -3.0747E+01 -9.8066E+00
 -3.0570E+01 -1.0596E+01
 -3.0392E+01 -1.1304E+01
 -3.0215E+01 -1.2013E+01
 -3.0038E+01 -1.2721E+01
 -2.9861E+01 -1.3409E+01
 -2.9684E+01 -1.3939E+01
 -2.9506E+01 -1.4469E+01
 -2.9329E+01 -1.4999E+01
 -2.9152E+01 -1.5529E+01
 -2.8975E+01 -1.5828E+01
 -2.8797E+01 -1.6126E+01
 -2.8620E+01 -1.6423E+01
 -2.8443E+01 -1.6720E+01
 -2.8266E+01 -1.6780E+01
 -2.8089E+01 -1.6804E+01
 -2.7911E+01 -1.6827E+01
 -2.7734E+01 -1.6851E+01
 -2.7557E+01 -1.6654E+01
 -2.7380E+01 -1.6380E+01
 -2.7203E+01 -1.6106E+01
 -2.7025E+01 -1.5833E+01
 -2.6848E+01 -1.5376E+01
 -2.6671E+01 -1.4803E+01
 -2.6494E+01 -1.4231E+01
 -2.6316E+01 -1.3659E+01
 -2.6139E+01 -1.2949E+01
 -2.5962E+01 -1.2093E+01
 -2.5785E+01 -1.1238E+01
 -2.5608E+01 -1.0382E+01
 -2.5430E+01 -9.4347E+00
 -2.5253E+01 -8.3233E+00
 -2.5076E+01 -7.2120E+00
 -2.4899E+01 -6.1006E+00
 -2.4722E+01 -4.9406E+00
 -2.4544E+01 -3.6223E+00
 -2.4367E+01 -2.3040E+00
 -2.4190E+01 -9.8567E-01
 -2.4013E+01  3.4926E-01
 -2.3835E+01  1.8204E+00
 -2.3658E+01  3.2915E+00
 -2.3481E+01  4.7626E+00
 -2.3304E+01  6.2337E+00
 -2.3127E+01  7.7973E+00
 -2.2949E+01  9.3626E+00
 -2.2772E+01  1.0928E+01
 -2.2595E+01  1.2493E+01
 -2.2418E+01  1.4085E+01
 -2.2241E+01  1.5681E+01
 -2.2063E+01  1.7278E+01
 -2.1886E+01  1.8874E+01
 -2.1709E+01  2.0448E+01
 -2.1532E+01  2.2014E+01
 -2.1354E+01  2.3579E+01
 -2.1177E+01  2.5145E+01
 -2.1000E+01  2.6660E+01
 -2.0823E+01  2.8143E+01
 -2.0646E+01  2.9625E+01
 -2.0468E+01  3.1107E+01
 -2.0291E+01  3.2531E+01
 -2.0114E+01  3.3891E+01
 -1.9937E+01  3.5251E+01
 -1.9759E+01  3.6611E+01
 -1.9582E+01  3.7921E+01
 -1.9405E+01  3.9139E+01
 -1.9228E+01  4.0357E+01
 -1.9051E+01  4.1575E+01
 -1.8873E+01  4.2760E+01
 -1.8696E+01  4.3837E+01
 -1.8519E+01  4.4914E+01
 -1.8342E+01  4.5990E+01
 -1.8165E+01  4.7056E+01
 -1.7987E+01  4.8020E+01
 -1.7810E+01  4.8984E+01
 -1.7633E+01  4.9948E+01
 -1.7456E+01  5.0912E+01
 -1.7278E+01  5.1827E+01
 -1.7101E+01  5.2742E+01
 -1.6924E+01  5.3656E+01
 -1.6747E+01  5.4571E+01
 -1.6570E+01  5.5520E+01
 -1.6392E+01  5.6476E+01
 -1.6215E+01  5.7432E+01
 -1.6038E+01  5.8388E+01
 -1.5861E+01  5.9462E+01
 -1.5684E+01  6.0582E+01
 -1.5506E+01  6.1702E+01
 -1.5329E+01  6.2822E+01
 -1.5152E+01  6.4128E+01
 -1.4975E+01  6.5560E+01
 -1.4797E+01  6.6992E+01
 -1.4620E+01  6.8424E+01
 -1.4443E+01  7.0077E+01
 -1.4266E+01  7.1979E+01
 -1.4089E+01  7.3881E+01
 -1.3911E+01  7.5784E+01
 -1.3734E+01  7.7899E+01
 -1.3557E+01  8.0421E+01
 -1.3380E+01  8.2942E+01
 -1.3203E+01  8.5464E+01
 -1.3025E+01  8.8144E+01
 -1.2848E+01  9.1395E+01
 -1.2671E+01  9.4646E+01
 -1.2494E+01  9.7896E+01
 -1.2316E+01  1.0122E+02
 -1.2139E+01  1.0522E+02
 -1.1962E+01  1.0922E+02
 -1.1785E+01  1.1323E+02
 -1.1608E+01  1.1726E+02
 -1.1430E+01  1.2187E+02
 -1.1253E+01  1.2648E+02
 -1.1076E+01  1.3113E+02
 -1.0899E+01  1.3610E+02
 -1.0722E+01  1.4108E+02
 -1.0544E+01  1.4628E+02
 -1.0367E+01  1.5148E+02
 -1.0190E+01  1.5683E+02
 -1.0013E+01  1.6219E+02
 -9.8354E+00  1.6763E+02
 -9.6582E+00  1.7308E+02
 -9.4810E+00  1.7853E+02
 -9.3038E+00  1.8398E+02
 -9.1266E+00  1.8937E+02
 -8.9494E+00  1.9476E+02
 -8.7722E+00  1.9999E+02
 -8.5949E+00  2.0518E+02
 -8.4177E+00  2.1037E+02
 -8.2405E+00  2.1519E+02
 -8.0633E+00  2.1993E+02
 -7.8861E+00  2.2468E+02
 -7.7089E+00  2.2942E+02
 -7.5316E+00  2.3359E+02
 -7.3544E+00  2.3760E+02
 -7.1772E+00  2.4161E+02
 -7.0000E+00  2.4562E+02
 -6.8228E+00  2.4899E+02
 -6.6456E+00  2.5202E+02
 -6.4684E+00  2.5506E+02
 -6.2911E+00  2.5810E+02
 -6.1139E+00  2.6050E+02
 -5.9367E+00  2.6235E+02
 -5.7595E+00  2.6420E+02
 -5.5823E+00  2.6604E+02
 -5.4051E+00  2.6731E+02
 -5.2278E+00  2.6776E+02
 -5.0506E+00  2.6820E+02
 -4.8734E+00  2.6864E+02
 -4.6962E+00  2.6862E+02
 -4.5190E+00  2.6745E+02
 -4.3418E+00  2.6629E+02
 -4.1646E+00  2.6512E+02
 -3.9873E+00  2.6365E+02
 -3.8101E+00  2.6071E+02
 -3.6329E+00  2.5776E+02
 -3.4557E+00  2.5481E+02
 -3.2785E+00  2.5177E+02
 -3.1013E+00  2.4692E+02
 -2.9241E+00  2.4207E+02
 -2.7468E+00  2.3722E+02
 -2.5696E+00  2.3237E+02
 -2.3924E+00  2.2569E+02
 -2.2152E+00  2.1887E+02
 -2.0380E+00  2.1205E+02
 -1.8608E+00  2.0523E+02
 -1.6835E+00  1.9684E+02
 -1.5063E+00  1.8807E+02
 -1.3291E+00  1.7929E+02
 -1.1519E+00  1.7052E+02
 -9.7468E-01  1.6049E+02
 -7.9747E-01  1.4987E+02
 -6.2025E-01  1.3926E+02
