           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01  8.3904E-01
 -3.4823E+01  8.4200E-01
 -3.4646E+01  8.4497E-01
 -3.4468E+01  8.4793E-01
 -3.4291E+01  8.5089E-01
 -3.4114E+01  8.5198E-01
 -3.3937E+01  8.5281E-01
 -3.3759E+01  8.5363E-01
 -3.3582E+01  8.5446E-01
 -3.3405E+01  8.4017E-01
 -3.3228E+01  8.2079E-01
 -3.3051E+01  8.0141E-01
 -3.2873E+01  7.8203E-01
 -3.2696E+01  7.4844E-01
 -3.2519E+01  7.0621E-01
 -3.2342E+01  6.6398E-01
 -3.2165E+01  6.2175E-01
 -3.1987E+01  5.6777E-01
 -3.1810E+01  5.0183E-01
 -3.1633E+01  4.3588E-01
 -3.1456E+01  3.6994E-01
 -3.1278E+01  2.9042E-01
 -3.1101E+01  1.8775E-01
 -3.0924E+01  8.5073E-02
 -3.0747E+01 -1.7600E-02
 -3.0570E+01 -1.2986E-01
 -3.0392E+01 -2.7191E-01
 -3.0215E+01 -4.1396E-01
 -3.0038E+01 -5.5600E-01
 -2.9861E+01 -7.0335E-01
 -2.9684E+01 -8.9047E-01
 -2.9506E+01 -1.0776E+00
 -2.9329E+01 -1.2647E+00
 -2.9152E+01 -1.4519E+00
 -2.8975E+01 -1.6922E+00
 -2.8797E+01 -1.9331E+00
 -2.8620E+01 -2.1739E+00
 -2.8443E+01 -2.4148E+00
 -2.8266E+01 -2.7057E+00
 -2.8089E+01 -3.0045E+00
 -2.7911E+01 -3.3032E+00
 -2.7734E+01 -3.6020E+00
 -2.7557E+01 -3.9428E+00
 -2.7380E+01 -4.2985E+00
 -2.7203E+01 -4.6542E+00
 -2.7025E+01 -5.0098E+00
 -2.6848E+01 -5.3988E+00
 -2.6671E+01 -5.8086E+00
 -2.6494E+01 -6.2185E+00
 -2.6316E+01 -6.6284E+00
 -2.6139E+01 -7.0594E+00
 -2.5962E+01 -7.5124E+00
 -2.5785E+01 -7.9655E+00
 -2.5608E+01 -8.4186E+00
 -2.5430E+01 -8.8784E+00
 -2.5253E+01 -9.3502E+00
 -2.5076E+01 -9.8220E+00
 -2.4899E+01 -1.0294E+01
 -2.4722E+01 -1.0764E+01
