           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01 -1.8050E+01
 -3.4823E+01 -1.7317E+01
 -3.4646E+01 -1.6585E+01
 -3.4468E+01 -1.5852E+01
 -3.4291E+01 -1.5119E+01
 -3.4114E+01 -1.3835E+01
 -3.3937E+01 -1.2472E+01
 -3.3759E+01 -1.1108E+01
 -3.3582E+01 -9.7444E+00
 -3.3405E+01 -8.5574E+00
 -3.3228E+01 -7.4299E+00
 -3.3051E+01 -6.3024E+00
 -3.2873E+01 -5.1749E+00
 -3.2696E+01 -4.2184E+00
 -3.2519E+01 -3.3659E+00
 -3.2342E+01 -2.5134E+00
 -3.2165E+01 -1.6609E+00
 -3.1987E+01 -9.5391E-01
 -3.1810E+01 -3.9500E-01
 -3.1633E+01  1.6393E-01
 -3.1456E+01  7.2285E-01
 -3.1278E+01  1.1685E+00
 -3.1101E+01  1.4209E+00
 -3.0924E+01  1.6733E+00
 -3.0747E+01  1.9258E+00
 -3.0570E+01  2.1070E+00
 -3.0392E+01  2.0672E+00
 -3.0215E+01  2.0274E+00
 -3.0038E+01  1.9876E+00
 -2.9861E+01  1.9164E+00
 -2.9684E+01  1.6100E+00
 -2.9506E+01  1.3037E+00
 -2.9329E+01  9.9726E-01
 -2.9152E+01  6.9088E-01
 -2.8975E+01  1.5389E-01
 -2.8797E+01 -3.8511E-01
 -2.8620E+01 -9.2411E-01
 -2.8443E+01 -1.4631E+00
 -2.8266E+01 -2.1650E+00
 -2.8089E+01 -2.8923E+00
 -2.7911E+01 -3.6196E+00
 -2.7734E+01 -4.3469E+00
 -2.7557E+01 -5.1755E+00
 -2.7380E+01 -6.0398E+00
 -2.7203E+01 -6.9042E+00
 -2.7025E+01 -7.7685E+00
 -2.6848E+01 -8.6862E+00
 -2.6671E+01 -9.6376E+00
 -2.6494E+01 -1.0589E+01
 -2.6316E+01 -1.1540E+01
 -2.6139E+01 -1.2510E+01
 -2.5962E+01 -1.3500E+01
 -2.5785E+01 -1.4489E+01
 -2.5608E+01 -1.5478E+01
 -2.5430E+01 -1.6463E+01
 -2.5253E+01 -1.7441E+01
