           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01 -6.0202E+01
 -3.4823E+01 -5.9650E+01
 -3.4646E+01 -5.9098E+01
 -3.4468E+01 -5.8546E+01
 -3.4291E+01 -5.7995E+01
 -3.4114E+01 -5.6814E+01
 -3.3937E+01 -5.5543E+01
 -3.3759E+01 -5.4273E+01
 -3.3582E+01 -5.3002E+01
 -3.3405E+01 -5.1512E+01
 -3.3228E+01 -4.9949E+01
 -3.3051E+01 -4.8386E+01
 -3.2873E+01 -4.6823E+01
 -3.2696E+01 -4.5125E+01
 -3.2519E+01 -4.3344E+01
 -3.2342E+01 -4.1564E+01
 -3.2165E+01 -3.9783E+01
 -3.1987E+01 -3.7937E+01
 -3.1810E+01 -3.6025E+01
 -3.1633E+01 -3.4113E+01
 -3.1456E+01 -3.2200E+01
 -3.1278E+01 -3.0278E+01
 -3.1101E+01 -2.8338E+01
 -3.0924E+01 -2.6399E+01
 -3.0747E+01 -2.4459E+01
 -3.0570E+01 -2.2536E+01
 -3.0392E+01 -2.0665E+01
 -3.0215E+01 -1.8794E+01
 -3.0038E+01 -1.6923E+01
 -2.9861E+01 -1.5070E+01
 -2.9684E+01 -1.3360E+01
 -2.9506E+01 -1.1650E+01
 -2.9329E+01 -9.9398E+00
 -2.9152E+01 -8.2296E+00
 -2.8975E+01 -6.7623E+00
 -2.8797E+01 -5.2971E+00
 -2.8620E+01 -3.8319E+00
 -2.8443E+01 -2.3667E+00
 -2.8266E+01 -1.1694E+00
 -2.8089E+01 -1.3860E-02
 -2.7911E+01  1.1417E+00
 -2.7734E+01  2.2973E+00
 -2.7557E+01  3.1932E+00
 -2.7380E+01  3.9975E+00
 -2.7203E+01  4.8018E+00
 -2.7025E+01  5.6061E+00
 -2.6848E+01  6.1821E+00
 -2.6671E+01  6.6141E+00
 -2.6494E+01  7.0461E+00
 -2.6316E+01  7.4780E+00
 -2.6139E+01  7.7314E+00
 -2.5962E+01  7.7966E+00
 -2.5785E+01  7.8618E+00
 -2.5608E+01  7.9270E+00
 -2.5430E+01  7.8725E+00
 -2.5253E+01  7.6062E+00
 -2.5076E+01  7.3398E+00
 -2.4899E+01  7.0735E+00
 -2.4722E+01  6.7413E+00
 -2.4544E+01  6.1946E+00
 -2.4367E+01  5.6480E+00
 -2.4190E+01  5.1013E+00
 -2.4013E+01  4.5326E+00
 -2.3835E+01  3.7833E+00
 -2.3658E+01  3.0339E+00
 -2.3481E+01  2.2846E+00
 -2.3304E+01  1.5352E+00
 -2.3127E+01  6.8490E-01
 -2.2949E+01 -1.6717E-01
 -2.2772E+01 -1.0193E+00
 -2.2595E+01 -1.8713E+00
 -2.2418E+01 -2.7113E+00
 -2.2241E+01 -3.5493E+00
 -2.2063E+01 -4.3872E+00
 -2.1886E+01 -5.2252E+00
 -2.1709E+01 -5.9565E+00
 -2.1532E+01 -6.6483E+00
 -2.1354E+01 -7.3402E+00
 -2.1177E+01 -8.0321E+00
 -2.1000E+01 -8.5444E+00
 -2.0823E+01 -8.9391E+00
 -2.0646E+01 -9.3338E+00
 -2.0468E+01 -9.7285E+00
 -2.0291E+01 -9.8994E+00
 -2.0114E+01 -9.8263E+00
 -1.9937E+01 -9.7531E+00
 -1.9759E+01 -9.6799E+00
 -1.9582E+01 -9.3742E+00
 -1.9405E+01 -8.6410E+00
 -1.9228E+01 -7.9077E+00
 -1.9051E+01 -7.1744E+00
 -1.8873E+01 -6.2429E+00
 -1.8696E+01 -4.6332E+00
 -1.8519E+01 -3.0236E+00
 -1.8342E+01 -1.4140E+00
 -1.8165E+01  3.0812E-01
 -1.7987E+01  3.0401E+00
 -1.7810E+01  5.7720E+00
 -1.7633E+01  8.5040E+00
 -1.7456E+01  1.1236E+01
 -1.7278E+01  1.5337E+01
 -1.7101E+01  1.9475E+01
 -1.6924E+01  2.3613E+01
 -1.6747E+01  2.7750E+01
 -1.6570E+01  3.3348E+01
 -1.6392E+01  3.9207E+01
 -1.6215E+01  4.5066E+01
 -1.6038E+01  5.0926E+01
 -1.5861E+01  5.8279E+01
 -1.5684E+01  6.6207E+01
 -1.5506E+01  7.4136E+01
 -1.5329E+01  8.2064E+01
 -1.5152E+01  9.1443E+01
 -1.4975E+01  1.0181E+02
 -1.4797E+01  1.1217E+02
 -1.4620E+01  1.2253E+02
 -1.4443E+01  1.3420E+02
 -1.4266E+01  1.4734E+02
 -1.4089E+01  1.6048E+02
 -1.3911E+01  1.7362E+02
 -1.3734E+01  1.8780E+02
 -1.3557E+01  2.0398E+02
 -1.3380E+01  2.2017E+02
 -1.3203E+01  2.3635E+02
 -1.3025E+01  2.5321E+02
 -1.2848E+01  2.7254E+02
 -1.2671E+01  2.9187E+02
 -1.2494E+01  3.1120E+02
 -1.2316E+01  3.3079E+02
 -1.2139E+01  3.5308E+02
 -1.1962E+01  3.7537E+02
 -1.1785E+01  3.9765E+02
 -1.1608E+01  4.2006E+02
 -1.1430E+01  4.4455E+02
