#Parameters = {xtest=0; xsource=8; ncells=15; sigmaz=10; wakelength=10000}
#"Frequency / GHz"	"X (2) [Re / Ohm]"	"X (2) [Im / Ohm]"
#-------------------------------------------------------
0.0000000000000	1.8169039448878e-12	-46.021681812538
0.010239144611436	-17.712058230921	-30.800444390864
0.020478289222872	-7.7061999214465	-16.463096745473
0.030717433834308	-0.73087548629001	-23.007608450962
0.040956578445743	-6.5867976624461	-23.447920275623
0.051195723057179	-4.0655353137837	-18.007707779632
0.061434867668615	-0.80717406851850	-20.965851767590
0.071674012280051	-3.7551378308172	-21.108103377147
0.081913156891487	-1.8485542914010	-18.268282382961
0.092152301502923	-0.024053678610318	-20.604226177249
0.10239144611436	-2.0849205316497	-20.573314845820
0.11263059072579	-0.52611570245726	-18.864197567772
0.12286973533723	0.48482122429850	-20.842394614024
0.13310887994867	-1.1358241375550	-20.645176175079
0.14334802456010	0.18820919182605	-19.546580699022
0.15358716917154	0.67904792777107	-21.240167580058
0.16382631378297	-0.65071302767276	-20.895708415374
0.17406545839441	0.50249911818835	-20.172953475018
0.18430460300585	0.64142740794903	-21.617520412363
0.19454374761728	-0.45851362392096	-21.150163766172
0.20478289222872	0.56442023320754	-20.681360040170
0.21502203684015	0.45988127384708	-21.902093431926
0.22526118145159	-0.43944040525651	-21.338313555316
0.23550032606302	0.47990195135627	-21.054398546594
0.24573947067446	0.20714787908267	-22.073188165569
0.25597861528590	-0.50879468920681	-21.440224137516
0.26621775989733	0.32388691133595	-21.299622547194
0.27645690450877	-0.062852485026617	-22.136712125577
0.28669604912020	-0.60861555816611	-21.461065759385
0.29693519373164	0.14740528997244	-21.437308840034
0.30717433834308	-0.31359343465294	-22.111889710670
0.31741348295451	-0.70217159533341	-21.418223263158
0.32765262756595	-0.018080954143974	-21.492649110410
0.33789177217738	-0.52375561162088	-22.022133204155
0.34813091678882	-0.76853878574727	-21.332293388964
0.35837006140025	-0.15474593174100	-21.490568953286
0.36860920601169	-0.68283933913138	-21.891121441892
0.37884835062313	-0.79837387478879	-21.224048688431
0.38908749523456	-0.25552174093828	-21.453790778267
0.39932663984600	-0.78924446556465	-21.739893230300
0.40956578445743	-0.79090690844846	-21.111145152000
0.41980492906887	-0.32061918545328	-21.400600888441
0.43004407368031	-0.84698483751491	-21.585146963547
0.44028321829174	-0.75047626387146	-21.007033807042
0.45052236290318	-0.35448172743525	-21.344662357254
0.46076150751461	-0.86333488523822	-21.439247179944
0.47100065212605	-0.68442019951232	-20.920985134562
0.48123979673749	-0.36397405443658	-21.295143990063
0.49147894134892	-0.84715917932876	-21.310186735807
0.50171808596036	-0.60119270347145	-20.858143868023
0.51195723057179	-0.35655872065772	-21.257185173734
0.52219637518323	-0.80737135575002	-21.202253290231
0.53243551979466	-0.50902387473008	-20.820314770058
0.54267466440610	-0.33923396900628	-21.232772239391
0.55291380901754	-0.75208472448835	-21.116820060426
0.56315295362897	-0.41511521507838	-20.806728083442
0.57339209824041	-0.31784100481178	-21.221574812411
0.58363124285184	-0.68806677979655	-21.053177790940
0.59387038746328	-0.32519252939640	-20.814864423185
0.60410953207472	-0.29673785502288	-21.221761669611
0.61434867668615	-0.62049426350685	-21.009303362774
0.62458782129759	-0.24331397172014	-20.841233750361
0.63482696590902	-0.27873032232370	-21.230798311241
0.64506611052046	-0.55301592440038	-20.982609813736
0.65530525513189	-0.17204171737169	-20.882054307746
0.66554439974333	-0.26533647666076	-21.246010612844
0.67578354435477	-0.48802565278850	-20.970374290753
