#Parameters = {xtest=0; xsource=8; ncells=15; sigmaz=10; wakelength=10000}
#"s / mm"	"X (2) [Real Part / V/pC]"
#-----------------------------------
-85.489210343657	0.0000000000000
-85.180820734355	4.5549107582222e-15
-84.872431125053	9.9653066403071e-15
-84.564041515751	1.6389264058294e-14
-84.255651906450	2.4013575318905e-14
-83.947262297148	3.3058874872733e-14
-83.638872687846	4.3785665592286e-14
-83.330483078544	5.6501393013212e-14
-83.022093469242	7.1568743960144e-14
-82.713703859941	8.9415382929293e-14
-82.405314250639	1.1054538367462e-13
-82.096924641337	1.3555263111219e-13
-81.788535032035	1.6513650514103e-13
-81.480145422733	2.0012024673033e-13
-81.171755813432	2.4147247657232e-13
-80.863366204130	2.9033239953608e-13
-80.554976594828	3.4803926890015e-13
-80.246586985526	4.1616681506784e-13
-79.938197376224	4.9656349051620e-13
-79.629807766923	5.9139953002283e-13
-79.321418157621	7.0322188268460e-13
-79.013028548319	8.3501825335978e-13
-78.704638939017	9.9029179512394e-13
-78.396249329715	1.1731482245923e-12
-78.087859720414	1.3883974258632e-12
-77.779470111112	1.6416716620609e-12
-77.471080501810	1.9395631891352e-12
-77.162690892508	2.2897846124310e-12
-76.854301283206	2.7013552817172e-12
-76.545911673904	3.1848178097165e-12
-76.237522064603	3.7524895701283e-12
-75.929132455301	4.4187551811533e-12
-75.620742845999	5.2004062403065e-12
-75.312353236697	6.1170349176287e-12
-75.003963627395	7.1914903896035e-12
-74.695574018094	8.4504088726861e-12
-74.387184408792	9.9248275978816e-12
-74.078794799490	1.1650894987293e-11
-73.770405190188	1.3670692579403e-11
-73.462015580886	1.6033186521939e-11
-73.153625971585	1.8795327385982e-11
-72.845236362283	2.2023320375894e-11
-72.536846752981	2.5794093367245e-11
-72.228457143679	3.0196991713391e-11
-71.920067534377	3.5335735201103e-11
-71.611677925076	4.1330678024985e-11
-71.303288315774	4.8321413064865e-11
-70.994898706472	5.6469769007279e-11
-70.686509097170	6.5963262924495e-11
-70.378119487868	7.7019076929423e-11
-70.069729878567	8.9888633086551e-11
-69.761340269265	1.0486285233221e-10
-69.452950659963	1.2227819535844e-10
-69.144561050661	1.4252360835330e-10
-68.836171441359	1.6604850103737e-10
-68.527781832058	1.9337189578955e-10
-68.219392222756	2.2509291796952e-10
-67.911002613454	2.6190282354733e-10
-67.602613004152	3.0459878585089e-10
-67.294223394850	3.5409968800822e-10
-66.985833785549	4.1146419663523e-10
-66.677444176247	4.7791143519116e-10
-66.369054566945	5.5484461865550e-10
-66.060664957643	6.4387805863051e-10
-65.752275348341	7.4686799718258e-10
-65.443885739040	8.6594781786825e-10
-65.135496129738	1.0035682380507e-09
-64.827106520436	1.1625431513527e-09
-64.518716911134	1.3461018693335e-09
-64.210327301832	1.5579486044517e-09
-63.901937692530	1.8023302079872e-09
-63.593548083229	2.0841133375891e-09
-63.285158473927	2.4088720082207e-09
-62.976768864625	2.7829870146167e-09
-62.668379255323	3.2137590683938e-09
-62.359989646021	3.7095371486648e-09
-62.051600036720	4.2798642681178e-09
-61.743210427418	4.9356427844339e-09
-61.434820818116	5.6893217109276e-09
-61.126431208814	6.5551090251187e-09
-60.818041599512	7.5492119902411e-09
-60.509651990211	8.6901095452497e-09
-60.201262380909	9.9988603725267e-09
-59.892872771607	1.1499450545602e-08
-59.584483162305	1.3219186436410e-08
-59.276093553003	1.5189138476063e-08
-58.967703943702	1.7444640879337e-08
-58.659314334400	2.0025853898416e-08
-58.350924725098	2.2978398134366e-08
-58.042535115796	2.6354070406406e-08
-57.734145506494	3.0211649592333e-08
-57.425755897193	3.4617803779207e-08
-57.117366287891	3.9648111919671e-08
-56.808976678589	4.5388212272811e-08
-56.500587069287	5.1935090374496e-08
-56.192197459985	5.9398523723934e-08
-55.883807850684	6.7902701236615e-08
-55.575418241382	7.7588037428037e-08
-55.267028632080	8.8613203258958e-08
-54.958639022778	1.0115739886215e-07
-54.650249413476	1.1542290293828e-07
-54.341859804175	1.3163792215101e-07
-54.033470194873	1.5005977211299e-07
-53.725080585571	1.7097843647438e-07
-53.416690976269	1.9472054354432e-07
-53.108301366967	2.2165379989948e-07
-52.799911757666	2.5219192508283e-07
-52.491522148364	2.8680015077394e-07
-52.183132539062	3.2600135451530e-07
-51.874742929760	3.7038287434542e-07
-51.566353320458	4.2060407638913e-07
-51.257963711156	4.7740476987945e-07
-50.949574101855	5.4161453642067e-07
-50.641184492553	6.1416307809560e-07
-50.332794883251	6.9609169810433e-07
-50.024405273949	7.8856603887373e-07
-49.716015664647	8.9289020837589e-07
-49.407626055346	1.0105223906163e-06
-49.099236446044	1.1430921180078e-06
-48.790846836742	1.2924194007162e-06
-48.482457227440	1.4605358101152e-06
-48.174067618138	1.6497077329477e-06
-47.865678008837	1.8624620178972e-06
-47.557288399535	2.1016142253664e-06
-47.248898790233	2.3702997311930e-06
-46.940509180931	2.6720079357931e-06
-46.632119571629	3.0106199312606e-06
-46.323729962328	3.3904498575833e-06
-46.015340353026	3.8162903117775e-06
-45.706950743724	4.2934622447198e-06
-45.398561134422	4.8278696517997e-06
-45.090171525120	5.4260594471392e-06
-44.781781915819	6.0952869993863e-06
-44.473392306517	6.8435877584570e-06
-44.165002697215	7.6798555009536e-06
-43.856613087913	8.6139278814282e-06
-43.548223478611	9.6566798142115e-06
-43.239833869310	1.0820125162913e-05
-42.931444260008	1.2117527630620e-05
-42.623054650706	1.3563521400029e-05
-42.314665041404	1.5174242197180e-05
-42.006275432102	1.6967469906330e-05
-41.697885822801	1.8962783254027e-05
-41.389496213499	2.1181728028940e-05
-41.081106604197	2.3647999658097e-05
-40.772716994895	2.6387640307781e-05
-40.464327385593	2.9429252125815e-05
-40.155937776292	3.2804227928835e-05
-39.847548166990	3.6547000337341e-05
-39.539158557688	4.0695310061326e-05
-39.230768948386	4.5290495248234e-05
-38.922379339084	5.0377803189909e-05
-38.613989729782	5.6006726101901e-05
-38.305600120481	6.2231361874650e-05
-37.997210511179	6.9110800874792e-05
-37.688820901877	7.6709542154749e-05
-37.380431292575	8.5097938954394e-05
-37.072041683273	9.4352673955306e-05
-36.763652073972	0.00010455726802774
-36.455262464670	0.00011580262598700
-36.146872855368	0.00012818761876760
-35.838483246066	0.00014181970235074
-35.530093636764	0.00015681557563839
-35.221704027463	0.00017330188107902
-34.913314418161	0.00019141594843567
-34.604924808859	0.00021130657841853
-34.296535199557	0.00023313487859805
-33.988145590255	0.00025707515070499
-33.679755980954	0.00028331582448406
-33.371366371652	0.00031206044435125
-33.062976762350	0.00034352871135905
-32.754587153048	0.00037795758025916
-32.446197543746	0.00041560240782659
-32.137807934445	0.00045673816126694
-31.829418325143	0.00050166068282398
-31.521028715841	0.00055068801302853
-31.212639106539	0.00060416177359761
-30.904249497237	0.00066244860496148
-30.595859887936	0.00072594166770311
-30.287470278634	0.00079506220130846
-29.979080669332	0.00087026113465716
-29.670691060030	0.00095202075171150
-29.362301450728	0.0010408564201434
-29.053911841427	0.0011373183831173
-28.745522232125	0.0012419935922041
-28.437132622823	0.0013555075840196
-28.128743013521	0.0014785264124231
-27.820353404219	0.0016117586325137
-27.511963794918	0.0017559573040798
-27.203574185616	0.0019119219875649
-26.895184576314	0.0020805007908901
-26.586794967012	0.0022625924338950
-26.278405357710	0.0024591483232168
-25.970015748408	0.0026711746306886
-25.661626139107	0.0028997343526930
-25.353236529805	0.0031459493969605
-25.044846920503	0.0034110026336853
-24.736457311201	0.0036961398996171
-24.428067701899	0.0040026719474442
-24.119678092598	0.0043319763023977
-23.811288483296	0.0046854990391759
-23.502898873994	0.0050647564598994
-23.194509264692	0.0054713366591556
-22.886119655390	0.0059069009519927
-22.577730046089	0.0063731851484451
-22.269340436787	0.0068720006320877
-21.960950827485	0.0074052352906638
-21.652561218183	0.0079748542783889
-21.344171608881	0.0085829004753340
-21.035781999580	0.0092314947323031
-20.727392390278	0.0099228358768008
-20.419002780976	0.010659200373792
-20.110613171674	0.011442941671183
-19.802223562372	0.012276489169077
-19.493833953071	0.013162346800535
-19.185444343769	0.014103091289353
-18.877054734467	0.015101369924354
-18.568665125165	0.016159897903072
-18.260275515863	0.017281455320946
-17.951885906562	0.018468883582440
-17.643496297260	0.019725081331868
-17.335106687958	0.021052999878994
-17.026717078656	0.022455637979041
-16.718327469354	0.023936035998084
-16.409937860053	0.025497269289577
-16.101548250751	0.027142440964683
-15.793158641449	0.028874674052286
-15.484769032147	0.030697102908828
-15.176379422845	0.032612864377088
-14.867989813544	0.034625088609173
-14.559600204242	0.036736889275972
-14.251210594940	0.038951352924373
-13.942820985638	0.041271527729433
-13.634431376336	0.043700411620592
-13.326041767035	0.046240939425829
-13.017652157733	0.048895969115673
-12.709262548431	0.051668267136617
-12.400872939129	0.054560493381296
-12.092483329827	0.057575185924962
-11.784093720525	0.060714745271713
-11.475704111224	0.063981418283219
-11.167314501922	0.067377281717388
-10.858924892620	0.070904225305688
-10.550535283318	0.074563934785642
-10.242145674016	0.078357874435794
-9.9337560647146	0.082287268964546
-9.6253664554128	0.086353085215763
-9.3169768461110	0.090556013697482
-9.0085872368092	0.094896450188818
-8.7001976275074	0.099374477379577
-8.3918080182056	0.10398984671277
-8.0834184089038	0.10874196071565
-7.7750287996020	0.11362985585838
-7.4666391903002	0.11865218586173
-7.1582495809984	0.12380720554316
-6.8498599716966	0.12909275519632
-6.5414703623948	0.13450624547883
-6.2330807530930	0.14004464290539
-5.9246911437912	0.14570445592805
-5.6163015344894	0.15148172221291
-5.3079119251876	0.15737199719960
-4.9995223158858	0.16337034352833
-4.6911327065840	0.16947132198571
-4.3827430972822	0.17566898480497
-4.0743534879803	0.18195687042730
-3.7659638786785	0.18832799990254
-3.4575742693767	0.19477487512004
-3.1491846600749	0.20128947852413
-2.8407950507731	0.20786327515390
-2.5324054414713	0.21448721593523
-2.2240158321695	0.22115174251030
-1.9156262228677	0.22784679452222
-1.6072366135659	0.23456181873783
-1.2988470042641	0.24128578051914
-0.99045739496230	0.24800717816026
-0.68206778566049	0.25471405944745
-0.37367817635869	0.26139404086146
-0.065288567056891	0.26803432909901
0.24310104224492	0.27462174454440
0.55149065154672	0.28114274732767
0.85988026084852	0.28758346504066
1.1682698701503	0.29392972248778
1.4766594794521	0.30016707330102
1.7850490887539	0.30628083332122
2.0934386980558	0.31225611652951
2.4018283073576	0.31807787361417
2.7102179166594	0.32373093187562
3.0186075259612	0.32920003610827
3.3269971352630	0.33446989206011
3.6353867445648	0.33952521190677
3.9437763538666	0.34435076012991
4.2521659631684	0.34893139924805
4.5605555724702	0.35325213649186
4.8689451817720	0.35729817188075
5.1773347910738	0.36105494703847
5.4857244003756	0.36450819413172
5.7941140096774	0.36764398500006
6.1025036189792	0.37044878119715
6.4108932282810	0.37290948392055
6.7192828375828	0.37501348288205
7.0276724468846	0.37674870418392
7.3360620561864	0.37810365686843
7.6444516654882	0.37906747834134
7.9528412747900	0.37962997852217
8.2612308840918	0.37978168252009
8.5696204933936	0.37951387205889
8.8780101026955	0.37881862584843
9.1863997119973	0.37768885862677
9.4947893212991	0.37611835808611
9.8031789306009	0.37410181959435
10.111568539903	0.37163487796781
10.419958149204	0.36871413591228
10.728347758506	0.36533718899607
11.036737367808	0.36150264687839
11.345126977110	0.35721015114521
11.653516586412	0.35246038986889
11.961906195714	0.34725510887053
12.270295805015	0.34159712069582
12.578685414317	0.33549031122311
12.887075023619	0.32893964312720
13.195464632921	0.32195115621950
13.503854242223	0.31453196463541
13.812243851524	0.30669025083715
14.120633460826	0.29843525576781
14.429023070128	0.28977726475866
14.737412679430	0.28072758931586
15.045802288732	0.27129854537354
15.354191898033	0.26150342824557
15.662581507335	0.25135648456531
15.970971116637	0.24087288138144
16.279360725939	0.23006867283896
16.587750335241	0.21896076483828
16.896139944542	0.20756687715295
17.204529553844	0.19590550302362
17.512919163146	0.18399586634188
17.821308772448	0.17185787638238
18.129698381750	0.15951207973994
18.438087991051	0.14697960996729
18.746477600353	0.13428213560616
19.054867209655	0.12144180675697
19.363256818957	0.10848120033037
19.671646428259	0.095423264341054
19.980036037560	0.082291261990126
20.288425646862	0.069108715341269
20.596815256164	0.055899348716403
20.905204865466	0.042687031664684
21.213594474768	0.029495721711075
21.521984084069	0.016349406711671
21.830373693371	0.0032720466229716
22.138763302673	-0.0097124847273556
22.447152911975	-0.022580457948866
22.755542521277	-0.035308346011084
23.063932130578	-0.047872881398784
23.372321739880	-0.060251111958177
23.680711349182	-0.072420455079379
23.989100958484	-0.084358750728043
24.297490567786	-0.096044312585775
24.605880177088	-0.10745597662466
24.914269786389	-0.11857314843829
25.222659395691	-0.12937584920039
25.531049004993	-0.13984475975609
25.839438614295	-0.14996126299547
26.147828223597	-0.15970748445428
26.456217832898	-0.16906633199425
26.764607442200	-0.17802153371886
27.072997051502	-0.18655767335303
27.381386660804	-0.19466022327579
27.689776270106	-0.20231557521511
27.998165879407	-0.20951106815693
28.306555488709	-0.21623501323399
28.614945098011	-0.22247671585462
28.923334707313	-0.22822649525678
29.231724316615	-0.23347570173647
29.540113925916	-0.23821673151278
29.848503535218	-0.24244303953774
30.156893144520	-0.24614915015885
30.465282753822	-0.24933066495987
30.773672363124	-0.25198426822364
31.082061972425	-0.25410773017496
31.390451581727	-0.25569990737966
31.698841191029	-0.25676074067018
32.007230800331	-0.25729125054837
32.315620409633	-0.25729353038489
32.624010018934	-0.25677073752986
32.932399628236	-0.25572708204430
33.240789237538	-0.25416781315781
33.549178846840	-0.25209920346749
33.857568456142	-0.24952853095058
34.165958065443	-0.24646405885374
34.474347674745	-0.24291501310192
34.782737284047	-0.23889155732853
35.091126893349	-0.23440476636637
35.399516502651	-0.22946659803941
35.707906111952	-0.22408986286329
36.016295721254	-0.21828819207675
36.324685330556	-0.21207600485528
36.633074939858	-0.20546847423037
36.941464549160	-0.19848149120942
37.249854158462	-0.19113162755142
37.558243767763	-0.18343609744128
37.866633377065	-0.17541271804392
38.175022986367	-0.16707986834610
38.483412595669	-0.15845644711564
38.791802204971	-0.14956183042445
39.100191814272	-0.14041582838664
39.408581423574	-0.13103864119363
39.716971032876	-0.12145081430179
40.025360642178	-0.11167319341839
40.333750251480	-0.10172687933280
40.642139860781	-0.091633181823053
40.950529470083	-0.081413572830461
41.258919079385	-0.071089639633258
41.567308688687	-0.060683038330042
41.875698297989	-0.050215447632575
42.184087907290	-0.039708522820390
42.492477516592	-0.029183850627582
42.800867125894	-0.018662905521240
43.109256735196	-0.0081670067175477
43.417646344498	0.0022827243211540
43.726035953799	0.012665405633393
44.034425563101	0.022960435906043
44.342815172403	0.033147535014081
44.651204781705	0.043206784214958
44.959594391007	0.053118665780782
45.267984000308	0.062864100953016
45.576373609610	0.072424486385342
45.884763218912	0.081781728758301
46.193152828214	0.090918277679420
46.501542437516	0.099817156911346
46.809932046817	0.10846199358509
47.118321656119	0.11683704594482
47.426711265421	0.12492723029205
47.735100874723	0.13271814692527
48.043490484025	0.14019610462079
48.351880093326	0.14734814395636
48.660269702628	0.15416205887487
48.968659311930	0.16062641628571
49.277048921232	0.16673057309263
49.585438530534	0.17246469026234
49.893828139835	0.17781974470556
50.202217749137	0.18278753871724
50.510607358439	0.18736070738912
50.818996967741	0.19153272468115
51.127386577043	0.19529790845967
51.435776186345	0.19865142470689
51.744165795646	0.20158929110232
52.052555404948	0.20410837908398
52.360945014250	0.20620641425925
52.669334623552	0.20788197516600
52.977724232854	0.20913448960544
53.286113842155	0.20996422894682
53.594503451457	0.21037230027264
53.902893060759	0.21036063666841
54.211282670061	0.20993198603667
54.519672279363	0.20908989848061
54.828061888664	0.20783871245901
55.136451497966	0.20618353993907
55.444841107268	0.20413025032254
55.753230716570	0.20168545320420
56.061620325872	0.19885647990556
56.370009935173	0.19565136368344
56.678399544475	0.19207881925941
56.986789153777	0.18814822147606
57.295178763079	0.18386958299694
57.603568372381	0.17925353150262
