#Parameters = {L=100; Lstep=100; Lt=13.5; Nmesh1=25; Nmesh2=10; aper=50; bunch=15; h=56; r=76; r1=41.5; rt=78; spec=10; th=4; x_beam=5; x_test=-5; y_beam=0; y_test=0}
#"s / mm"	"X (x_beam=5) [Real Part / V/pC]"
#------------------------------------------
-128.23381551549	0.0000000000000
-127.92245456460	9.7407239345103e-18
-127.61109361372	2.2013209813307e-17
-127.29973266284	3.7840614331751e-17
-126.98837171196	5.8406759653096e-17
-126.67701076108	8.4971526247791e-17
-126.36564981020	1.1879149431338e-16
-126.05428885932	1.6105317845368e-16
-125.74292790844	2.1282123718898e-16
-125.43156695756	2.7500009592127e-16
-125.12020600668	3.4830551523451e-16
-124.80884505580	4.3324292883106e-16
-124.49748410492	5.3009122898310e-16
-124.18612315404	6.3889293727130e-16
-123.87476220316	7.5945319866966e-16
-123.56340125227	8.9134999121896e-16
-123.25204030139	1.0339562466497e-15
-122.94067935051	1.1864718343202e-15
-122.62931839963	1.3479606050646e-15
-122.31795744875	1.5173860216758e-15
-122.00659649787	1.6936390352342e-15
-121.69523554699	1.8755539196103e-15
-121.38387459611	2.0619111737862e-15
-121.07251364523	2.2514302894046e-15
-120.76115269435	2.4427579950986e-15
-120.44979174347	2.6344586050408e-15
-120.13843079259	2.8250119543954e-15
-119.82706984171	3.0128213595031e-15
-119.51570889083	3.1962299137516e-15
-119.20434793995	3.3735393078232e-15
-118.89298698906	3.5430223089757e-15
-118.58162603818	3.7029188060444e-15
-118.27026508730	3.8514062478595e-15
-117.95890413642	3.9865382439331e-15
-117.64754318554	4.1061495578427e-15
-117.33618223466	4.2077310315777e-15
-117.02482128378	4.2882833538522e-15
-116.71346033290	4.3441633001764e-15
-116.40209938202	4.3709394013673e-15
-116.09073843114	4.3632752750728e-15
-115.77937748026	4.3148575473317e-15
-115.46801652938	4.2183809890376e-15
-115.15665557850	4.0655961361109e-15
-114.84529462762	3.8474146463881e-15
-114.53393367673	3.5540559385602e-15
-114.22257272585	3.1752067105291e-15
-113.91121177497	2.7001546210599e-15
-113.59985082409	2.1178507655137e-15
-113.28848987321	1.4168542403537e-15
-112.97712892233	5.8511727416984e-16
-112.66576797145	-3.9041849573593e-16
-112.35440702057	-1.5244256538830e-15
-112.04304606969	-2.8339825928816e-15
-111.73168511881	-4.3395159193351e-15
-111.42032416793	-6.0658323665067e-15
-111.10896321705	-8.0431595082778e-15
-110.79760226617	-1.0308104146250e-14
-110.48624131529	-1.2904439307583e-14
-110.17488036441	-1.5883648048809e-14
-109.86351941352	-1.9305186252692e-14
-109.55215846264	-2.3236475582335e-14
-109.24079751176	-2.7752697209185e-14
-108.92943656088	-3.2936518926974e-14
-108.61807561000	-3.8877941983521e-14
-108.30671465912	-4.5674487972476e-14
-107.99535370824	-5.3431948742244e-14
-107.68399275736	-6.2265886779877e-14
-107.37263180648	-7.2303998920103e-14
-107.06127085560	-8.3689349908998e-14
-106.74990990472	-9.6584359516326e-14
-106.43854895384	-1.1117530872080e-13
-106.12718800296	-1.2767704384398e-13
-105.81582705208	-1.4633752521558e-13
-105.50446610119	-1.6744190285168e-13
-105.19310515031	-1.9131590929395e-13
-104.88174419943	-2.1832853036351e-13
-104.57038324855	-2.4889411971044e-13
-104.25902229767	-2.8347432483153e-13
-103.94766134679	-3.2258034986897e-13
-103.63630039591	-3.6677615839938e-13
-103.32493944503	-4.1668319128535e-13
-103.01357849415	-4.7298703665926e-13
-102.70221754327	-5.3644625972610e-13
-102.39085659239	-6.0790331527397e-13
-102.07949564151	-6.8829718780108e-13
-101.76813469063	-7.7867718423074e-13
-101.45677373975	-8.8021719622191e-13
-101.14541278887	-9.9422978856089e-13
-100.83405183798	-1.1221796554473e-12
-100.52269088710	-1.2656962905600e-12
-100.21132993622	-1.4265860921478e-12
-99.899968985342	-1.6068444796485e-12
-99.588608034462	-1.8086688508716e-12
-99.277247083581	-2.0344733396102e-12
-98.965886132700	-2.2869062457339e-12
-98.654525181820	-2.5688707265038e-12
-98.343164230939	-2.8835489309434e-12
-98.031803280058	-3.2344292831204e-12
-97.720442329178	-3.6253361789702e-12
-97.409081378297	-4.0604609976922e-12
-97.097720427416	-4.5443932066803e-12
-96.786359476536	-5.0821504420429e-12
-96.474998525655	-5.6792067522065e-12
-96.163637574774	-6.3415186188858e-12
-95.852276623894	-7.0755488372542e-12
-95.540915673013	-7.8882887256595e-12
-95.229554722132	-8.7872792922797e-12
-94.918193771251	-9.7806319188130e-12
-94.606832820371	-1.0877048756004e-11
-94.295471869490	-1.2085842426854e-11
-93.984110918609	-1.3416953815261e-11
-93.672749967729	-1.4880965984993e-11
-93.361389016848	-1.6489111543840e-11
-93.050028065967	-1.8253270233530e-11
-92.738667115087	-2.0185953311591e-11
-92.427306164206	-2.2300271138700e-11
-92.115945213325	-2.4609880611540e-11
-91.804584262445	-2.7128909140816e-11
-91.493223311564	-2.9871851914296e-11
-91.181862360683	-3.2853438906184e-11
-90.870501409802	-3.6088467743361e-11
-90.559140458922	-3.9591597364882e-11
-90.247779508041	-4.3377096162946e-11
-89.936418557160	-4.7458536741564e-11
-89.625057606280	-5.1848427377225e-11
-89.313696655399	-5.6557769126209e-11
-89.002335704518	-6.1595525389729e-11
-88.690974753638	-6.6967989078379e-11
-88.379613802757	-7.2678030543337e-11
-88.068252851876	-7.8724209201242e-11
-87.756891900996	-8.5099730011553e-11
-87.445530950115	-9.1791221514466e-11
-87.134169999234	-9.8777311350569e-11
-86.822809048354	-1.0602697290056e-10
-86.511448097473	-1.1349761197994e-10
-86.200087146592	-1.2113285787073e-10
-85.888726195711	-1.2886001743228e-10
-85.577365244831	-1.3658714855488e-10
-85.266004293950	-1.4419970099246e-10
-84.954643343069	-1.5155666758278e-10
-84.643282392189	-1.5848618237094e-10
-84.331921441308	-1.6478049276538e-10
-84.020560490427	-1.7019023103743e-10
-83.709199539547	-1.7441789691434e-10
-83.397838588666	-1.7711045365019e-10
-83.086477637785	-1.7785092925092e-10
-82.775116686905	-1.7614890440997e-10
-82.463755736024	-1.7142975592736e-10
-82.152394785143	-1.6302250340399e-10
-81.841033834262	-1.5014609928039e-10
-81.529672883382	-1.3189397908551e-10
-81.218311932501	-1.0721666829053e-10
-80.906950981620	-7.4902227072460e-11
-80.595590030740	-3.3554294492804e-11
-80.284229079859	1.8432538491698e-11
-79.972868128978	8.2900325630571e-11
-79.661507178098	1.6195866099021e-10
-79.350146227217	2.5801922764776e-10
-79.038785276336	3.7383438950687e-10
-78.727424325456	5.1254026445978e-10
-78.416063374575	6.7770474755019e-10
-78.104702423694	8.7338099968822e-10
-77.793341472814	1.1041669552979e-09
-77.481980521933	1.3752715007666e-09
-77.170619571052	1.6925880131694e-09
-76.859258620171	2.0627759613519e-09
-76.547897669291	2.4933513997384e-09
-76.236536718410	2.9927872665789e-09
-75.925175767529	3.5706244329444e-09
-75.613814816649	4.2375945194701e-09
-75.302453865768	5.0057556438520e-09
-74.991092914887	5.8886423504038e-09
-74.679731964007	6.9014310658274e-09
-74.368371013126	8.0611225156849e-09
