#Parameters = {L=100; Lstep=100; Lt=13.5; Nmesh1=25; Nmesh2=10; aper=50; bunch=15; h=56; r=76; r1=41.5; rt=78; spec=10; th=4; x_beam=5; x_test=-5; y_beam=0; y_test=0}
#"Frequency / GHz"	"X (x_beam=5) [Re / Ohm]"	"X (x_beam=5) [Im / Ohm]"
#---------------------------------------------------------------------
0.0000000000000	-9.4692893812932e-13	-17.444631545147
0.0068260964076239	-0.67108810593761	-17.300989608030
0.013652192815248	-1.2048928975541	-16.908902969874
0.020478289222872	-1.5065855756716	-16.371670104961
0.027304385630496	-1.5509522476840	-15.822388325292
0.034130482038120	-1.3849278861059	-15.380837323691
0.040956578445743	-1.1056570084078	-15.117702734718
0.047782674853367	-0.82339674009613	-15.038543678134
0.054608771260991	-0.62377685597312	-15.091834667428
0.061434867668615	-0.54323686972670	-15.196043287936
0.068260964076239	-0.56540864261045	-15.273840259580
0.075087060483863	-0.63750604856895	-15.279801632840
0.081913156891487	-0.69808432565535	-15.211755341811
0.088739253299111	-0.70389828331980	-15.103352562849
0.095565349706735	-0.64522204073239	-15.003220246751
0.10239144611436	-0.54483024985370	-14.950945313403
0.10921754252198	-0.44312826179753	-14.960342290221
0.11604363892961	-0.37748052698765	-15.016257383938
0.12286973533723	-0.36540643441732	-15.084705182331
0.12969583174485	-0.39862527869336	-15.130372462509
0.13652192815248	-0.44945917865457	-15.132890660728
0.14334802456010	-0.48546556739596	-15.094663816006
0.15017412096773	-0.48486624979407	-15.037501658854
0.15700021737535	-0.44564751232754	-14.990616565688
0.16382631378297	-0.38470182035733	-14.976254507509
0.17065241019060	-0.32824368562366	-14.999793956063
0.17747850659822	-0.29865139065012	-15.048543924867
0.18430460300585	-0.30414281310462	-15.099122454511
0.19113069941347	-0.33590045070448	-15.129319664944
0.19795679582109	-0.37345505916855	-15.128552440590
0.20478289222872	-0.39521578373341	-15.102086467476
0.21160898863634	-0.38882723013199	-15.067452273833
0.21843508504396	-0.35646150036108	-15.045260725749
0.22526118145159	-0.31285348975908	-15.049129430707
0.23208727785921	-0.27745729891409	-15.079564738014
0.23891337426684	-0.26480979425627	-15.124479943980
0.24573947067446	-0.27780499357636	-15.165720250247
0.25256556708208	-0.30693314608661	-15.188137923749
0.25939166348971	-0.33552499395302	-15.186731365329
0.26621775989733	-0.34816767186171	-15.168524678293
0.27304385630496	-0.33808505633843	-15.148554589383
0.27986995271258	-0.30998273946353	-15.142190368455
0.28669604912020	-0.27720750359635	-15.157665797383
0.29352214552783	-0.25486128349518	-15.192415970139
0.30034824193545	-0.25238262856268	-15.234812318501
0.30717433834308	-0.26920686328010	-15.270213419164
0.31400043475070	-0.29547020921143	-15.288212643858
0.32082653115832	-0.31719998766038	-15.287519256420
0.32765262756595	-0.32328524310362	-15.276204636825
0.33447872397357	-0.31077055049556	-15.267383923531
0.34130482038120	-0.28596756245580	-15.272614216418
0.34813091678882	-0.26100718537475	-15.296309552894
0.35495701319644	-0.24768496312043	-15.333852460204
0.36178310960407	-0.25169915953074	-15.374183915538
0.36860920601169	-0.27007637313021	-15.405445257847
0.37543530241931	-0.29292672157310	-15.420810106978
0.38226139882694	-0.30851998710401	-15.421652069535
0.38908749523456	-0.30908855682389	-15.416591716884
0.39591359164219	-0.29449527547895	-15.417027085026
0.40273968804981	-0.27204157323748	-15.431450169140
0.40956578445743	-0.25263385418140	-15.461371352008
0.41639188086506	-0.24530103103434	-15.500798099956
0.42321797727268	-0.25280187851475	-15.539414091889
0.43004407368031	-0.27044424171268	-15.567787663992
0.43687017008793	-0.28860084839679	-15.581993083874
0.44369626649555	-0.29757915510570	-15.585392006801
0.45052236290318	-0.29238534217386	-15.586780260298
0.45734845931080	-0.27504294344403	-15.595912279445
0.46417455571843	-0.25339199451261	-15.618676634743
0.47100065212605	-0.23705379516735	-15.654307057418
0.47782674853367	-0.23262303063943	-15.695949682270
0.48465284494130	-0.24047670516700	-15.734221290390
0.49147894134892	-0.25473325633157	-15.761929221992
0.49830503775654	-0.26630523648655	-15.777595868049
0.50513113416417	-0.26746491509637	-15.786076507816
0.51195723057179	-0.25563280102825	-15.796033319284
0.51878332697942	-0.23453516269251	-15.815585612509
0.52560942338704	-0.21221757068073	-15.848327392051
0.53243551979466	-0.19696625231218	-15.891673736547
0.53926161620229	-0.19320081400839	-15.938304033957
0.54608771260991	-0.19937276347249	-15.979922127219
0.55291380901754	-0.20886989361050	-16.011422711775
0.55973990542516	-0.21341817466087	-16.033390325994
0.56656600183278	-0.20724536617868	-16.051723744179
0.57339209824041	-0.18992595817307	-16.074626347577
0.58021819464803	-0.16651948845800	-16.108504803691
0.58704429105566	-0.14498216356685	-16.154832160310
0.59387038746328	-0.13218547228054	-16.209516573342
0.60069648387090	-0.13054434202124	-16.265046162257
0.60752258027853	-0.13692105722417	-16.314296689673
0.61434867668615	-0.14431279097116	-16.354080311758
0.62117477309378	-0.14543815270065	-16.386672808737
0.62800086950140	-0.13640675805893	-16.418589651244
0.63482696590902	-0.11864145282388	-16.457261784275
0.64165306231665	-0.098119456171282	-16.507298828071
0.64847915872427	-0.082347720475330	-16.568209598919
0.65530525513189	-0.076611878437590	-16.634698250731
0.66213135153952	-0.081380572295740	-16.699355209991
0.66895744794714	-0.092146950701420	-16.756369323407
0.67578354435477	-0.10175700242356	-16.804394332066
0.68260964076239	-0.10403173497738	-16.847146767161
0.68943573717001	-0.096856910895855	-16.891461785115
0.69626183357764	-0.083199654770135	-16.943807271615
0.70308792998526	-0.069563825005910	-17.007017569150
