#Parameters = {L=100; Lstep=100; Lt=13.5; Nmesh1=25; Nmesh2=10; aper=50; bunch=15; h=56; r=76; r1=41.5; rt=78; spec=10; th=4; x_beam=5; x_test=-5; y_beam=0; y_test=0}
#"s / mm"	"Z (x_beam=5) [Real Part / V/pC]"
#------------------------------------------
-128.23381551549	4.2727658362131e-15
-127.92245456460	4.2839587420249e-15
-127.61109361372	4.2339930146344e-15
-127.29973266284	4.1151393661255e-15
-126.98837171196	3.9249818863276e-15
-126.67701076108	3.6653262360483e-15
-126.36564981020	3.3408494189665e-15
-126.05428885932	2.9580093020269e-15
-125.74292790844	2.5245081917904e-15
-125.43156695756	2.0492896994768e-15
-125.12020600668	1.5427693737528e-15
-124.80884505580	1.0168731438913e-15
-124.49748410492	4.8453663954730e-16
-124.18612315404	-4.1432729129760e-17
-123.87476220316	-5.4990927034473e-16
-123.56340125227	-1.0329405335549e-15
-123.25204030139	-1.4866152336532e-15
-122.94067935051	-1.9108869981988e-15
-122.62931839963	-2.3082521798716e-15
-122.31795744875	-2.6815719572727e-15
-122.00659649787	-3.0316477373878e-15
-121.69523554699	-3.3552848617745e-15
-121.38387459611	-3.6444589828904e-15
-121.07251364523	-3.8868672663095e-15
-120.76115269435	-4.0677145702051e-15
-120.44979174347	-4.1721996246103e-15
-120.13843079259	-4.1879565788926e-15
-119.82706984171	-4.1067429793769e-15
-119.51570889083	-3.9249244776860e-15
-119.20434793995	-3.6426886030792e-15
-118.89298698906	-3.2622915796944e-15
-118.58162603818	-2.7858715582983e-15
-118.27026508730	-2.2133918061683e-15
-117.95890413642	-1.5411087269738e-15
-117.64754318554	-7.6068565176201e-16
-117.33618223466	1.4118763863328e-16
-117.02482128378	1.1829528761049e-15
-116.71346033290	2.3883725214336e-15
-116.40209938202	3.7868323182202e-15
-116.09073843114	5.4136067685438e-15
-115.77937748026	7.3097665901788e-15
-115.46801652938	9.5213932629526e-15
-115.15665557850	1.2097947441406e-14
-114.84529462762	1.5089962715347e-14
-114.53393367673	1.8546598050357e-14
-114.22257272585	2.2513838801932e-14
-113.91121177497	2.7034177789047e-14
-113.59985082409	3.2148385430834e-14
-113.28848987321	3.7899537439842e-14
-112.97712892233	4.4338911551733e-14
-112.66576797145	5.1532866810385e-14
-112.35440702057	5.9569502556230e-14
-112.04304606969	6.8563830464076e-14
-111.73168511881	7.8660403886641e-14
-111.42032416793	9.0032745490436e-14
