#Parameters = {wakelength=10000; H_cav=30; H_pipe=12; L_cav=20; L_pipe=76; W_cav=30; W_pipe=12; beta=1; cellsperw=20; conductivity=10; q=1e-09; sigmaz=5}
#"s / cm"	"Z (conductivity=10) [Real Part]"
#------------------------------------------
-42.744605171828	3.3916293077459e-15
-42.639344061217	3.9117472102441e-15
-42.534082950607	4.5619093281089e-15
-42.428821839996	5.3738491455141e-15
-42.323560729385	6.3465367425966e-15
-42.218299618774	7.5563513958043e-15
-42.113038508163	9.0788296505560e-15
-42.007777397552	1.1010906006001e-14
-41.902516286941	1.3516917639561e-14
-41.797255176330	1.6849238721520e-14
-41.691994065719	2.1376302695302e-14
-41.586732955108	2.7614621606181e-14
-41.481471844497	3.6185750110291e-14
-41.376210733886	3.6739543972810e-14
-41.270949623275	2.4776430273591e-14
-41.165688512665	1.0209687853228e-14
-41.060427402054	-4.3029262157154e-15
-40.955166291443	-1.2679901021848e-14
-40.849905180832	-1.4914723853422e-14
-40.744644070221	-7.3132035150042e-15
-40.639382959610	1.6285087415959e-14
-40.534121848999	5.2280249529513e-14
-40.428860738388	8.4510728613506e-14
-40.323599627777	1.1067979939159e-13
-40.218338517166	1.2770736265982e-13
-40.113077406555	1.3752846624187e-13
-40.007816295944	1.4208318431013e-13
-39.902555185333	1.4504167109622e-13
-39.797294074722	1.4939738274784e-13
-39.692032964112	1.5780376632610e-13
-39.586771853501	1.7359830599924e-13
-39.481510742890	1.9902202783795e-13
-39.376249632279	2.3527088843865e-13
-39.270988521668	2.8146045739106e-13
-39.165727411057	3.3776992496333e-13
-39.060466300446	4.0372658042376e-13
-38.955205189835	4.7996786042777e-13
-38.849944079224	5.6508640267367e-13
-38.744682968613	6.5955835028710e-13
-38.639421858002	7.6483785115467e-13
-38.534160747391	8.8314785059559e-13
-38.428899636780	1.0176674559630e-12
-38.323638526169	1.1715915105027e-12
-38.218377415559	1.3493513222139e-12
-38.113116304948	1.5566529806583e-12
-38.007855194337	1.7996731024125e-12
-37.902594083726	2.0835919871243e-12
-37.797332973115	2.4142511111276e-12
-37.692071862504	2.7979647163214e-12
-37.586810751893	3.2420699016798e-12
-37.481549641282	3.7546521198133e-12
-37.376288530671	4.3438136077919e-12
-37.271027420060	5.0198997956156e-12
-37.165766309449	5.7967386316476e-12
-37.060505198838	6.6889436567244e-12
-36.955244088227	7.7153218074151e-12
-36.849982977617	8.8962468779620e-12
-36.744721867006	1.0253430656606e-11
-36.639460756395	1.1814926325109e-11
-36.534199645784	1.3610172073081e-11
-36.428938535173	1.5671796807609e-11
-36.323677424562	1.8040038665242e-11
-36.218416313951	2.0756453134637e-11
-36.113155203340	2.3871585170187e-11
-36.007894092729	2.7440717181076e-11
-35.902632982118	3.1529639005712e-11
-35.797371871507	3.6212465525766e-11
-35.692110760896	4.1573588280924e-11
-35.586849650285	4.7707493936104e-11
-35.481588539674	5.4722850831653e-11
-35.376327429064	6.2740869041204e-11
-35.271066318453	7.1901400189260e-11
-35.165805207842	8.2361546553397e-11
-35.060544097231	9.4301919919764e-11
-34.955282986620	1.0792472624512e-10
-34.850021876009	1.2346079124083e-10
-34.744760765398	1.4116952379491e-10
-34.639499654787	1.6134569588237e-10
-34.534238544176	1.8432425718673e-10
-34.428977433565	2.1048064850360e-10
-34.323716322954	2.4024073715132e-10
-34.218455212343	2.7408642671786e-10
-34.113194101732	3.1255854897961e-10
-34.007932991121	3.5627073518595e-10
-33.902671880511	4.0591150291479e-10
-33.797410769900	4.6225794161550e-10
-33.692149659289	5.2618459483010e-10
-33.586888548678	5.9867621401815e-10
-33.481627438067	6.8084210015304e-10
-33.376366327456	7.7393005533192e-10
-33.271105216845	8.7934156495831e-10
-33.165844106234	9.9865129363635e-10
-33.060582995623	1.1336291741265e-09
-32.955321885012	1.2862575015012e-09
-32.850060774401	1.4587639781748e-09
-32.744799663790	1.6536416511195e-09
-32.639538553179	1.8736858469169e-09
-32.534277442569	2.1220252615527e-09
-32.429016331958	2.4021632303557e-09
-32.323755221347	2.7180165260367e-09
-32.218494110736	3.0739673358633e-09
-32.113233000125	3.4749086113203e-09
-32.007971889514	3.9263076319477e-09
-31.902710778903	4.4342655448584e-09
-31.797449668292	5.0055893067073e-09
-31.692188557681	5.6478698692634e-09
-31.586927447070	6.3695646237807e-09
-31.481666336459	7.1800933239797e-09
-31.376405225848	8.0899433474232e-09
-31.271144115237	9.1107780556656e-09
-31.165883004626	1.0255567901575e-08
-31.060621894016	1.1538725658025e-08
-30.955360783405	1.2976260249138e-08
-30.850099672794	1.4585941042127e-08
-30.744838562183	1.6387479566541e-08
-30.639577451572	1.8402735297657e-08
-30.534316340961	2.0655927816389e-08
-30.429055230350	2.3173883533936e-08
-30.323794119739	2.5986294695090e-08
-30.218533009128	2.9126005588665e-08
-30.113271898517	3.2629331112859e-08
-30.008010787906	3.6536396732840e-08
-29.902749677295	4.0891511874120e-08
-29.797488566684	4.5743581154465e-08
-29.692227456073	5.1146543865747e-08
-29.586966345463	5.7159861041210e-08
-29.481705234852	6.3849041549182e-08
-29.376444124241	7.1286214112097e-08
-29.271183013630	7.9550746259800e-08
-29.165921903019	8.8729919412916e-08
-29.060660792408	9.8919658836272e-08
-28.955399681797	1.1022532737961e-07
-28.850138571186	1.2276258015693e-07
-28.744877460575	1.3665829545402e-07
-28.639616349964	1.5205157508890e-07
-28.534355239353	1.6909482694591e-07
-28.429094128742	1.8795493300057e-07
-28.323833018131	2.0881451274589e-07
-28.218571907521	2.3187327132021e-07
-28.113310796910	2.5734946359381e-07
-28.008049686299	2.8548146499801e-07
-27.902788575688	3.1652945555327e-07
-27.797527465077	3.5077723717141e-07
-27.692266354466	3.8853416647254e-07
-27.587005243855	4.3013722805709e-07
-27.481744133244	4.7595326251567e-07
-27.376483022633	5.2638134073948e-07
-27.271221912022	5.8185529944730e-07
-27.165960801411	6.4284645104043e-07
-27.060699690800	7.0986645451246e-07
-26.955438580189	7.8347042421473e-07
-26.850177469578	8.6426016267756e-07
-26.744916358968	9.5288764680855e-07
-26.639655248357	1.0500586790263e-06
-26.534394137746	1.1565367891735e-06
-26.429133027135	1.2731473804917e-06
-26.323871916524	1.4007820486192e-06
-26.218610805913	1.5404031782368e-06
-26.113349695302	1.6930488305965e-06
-26.008088584691	1.8598377782544e-06
-25.902827474080	2.0419748673329e-06
-25.797566363469	2.2407566282818e-06
-25.692305252858	2.4575771484169e-06
-25.587044142247	2.6939342341505e-06
-25.481783031636	2.9514358050983e-06
-25.376521921026	3.2318066252013e-06
-25.271260810415	3.5368950830965e-06
-25.165999699804	3.8686805578204e-06
-25.060738589193	4.2292808139556e-06
-24.955477478582	4.6209596465578e-06
-24.850216367971	5.0461349124067e-06
-24.744955257360	5.5073865591746e-06
-24.639694146749	6.0074648781704e-06
-24.534433036138	6.5492992085239e-06
-24.429171925527	7.1360065079447e-06
-24.323910814916	7.7709001362335e-06
-24.218649704305	8.4574987007875e-06
-24.113388593694	9.1995348288160e-06
-24.008127483083	1.0000964321198e-05
-23.902866372473	1.0865974967272e-05
-23.797605261862	1.1798995237485e-05
-23.692344151251	1.2804702130383e-05
-23.587083040640	1.3888030019906e-05
-23.481821930029	1.5054178680240e-05
-23.376560819418	1.6308620216182e-05
-23.271299708807	1.7657106849448e-05
-23.166038598196	1.9105677229256e-05
-23.060777487585	2.0660661736679e-05
-22.955516376974	2.2328687573314e-05
-22.850255266363	2.4116682033237e-05
-22.744994155752	2.6031873652200e-05
-22.639733045141	2.8081795256465e-05
-22.534471934530	3.0274283391769e-05
-22.429210823920	3.2617477329967e-05
-22.323949713309	3.5119813206903e-05
-22.218688602698	3.7790018242727e-05
-22.113427492087	4.0637102325599e-05
-22.008166381476	4.3670348380530e-05
-21.902905270865	4.6899296735719e-05
-21.797644160254	5.0333728775593e-05
-21.692383049643	5.3983644940035e-05
-21.587121939032	5.7859244944000e-05
-21.481860828421	6.1970893888415e-05
-21.376599717810	6.6329092240573e-05
-21.271338607199	7.0944435304460e-05
-21.166077496588	7.5827570679139e-05
-21.060816385978	8.0989149071898e-05
-20.955555275367	8.6439771935944e-05
-20.850294164756	9.2189927813658e-05
-20.745033054145	9.8249927549125e-05
-20.639771943534	0.00010462982924543
-20.534510832923	0.00011133935695108
-20.429249722312	0.00011838779985260
-20.323988611701	0.00012578391340609
-20.218727501090	0.00013353580671412
-20.113466390479	0.00014165081796576
-20.008205279868	0.00015013538768798
-19.902944169257	0.00015899491840194
-19.797683058646	0.00016823362289908
-19.692421948035	0.00017785434477816
-19.587160837425	0.00018785840403557
-19.481899726814	0.00019824538028148
