           Z  Fieldvalue
 ----------- -----------
 -3.8000E+01  9.3245E+00
 -3.7700E+01  9.2943E+00
 -3.7399E+01  9.2641E+00
 -3.7099E+01  9.1965E+00
 -3.6798E+01  9.1062E+00
 -3.6498E+01  9.0036E+00
 -3.6198E+01  8.8629E+00
 -3.5897E+01  8.7221E+00
 -3.5597E+01  8.5472E+00
 -3.5296E+01  8.3671E+00
 -3.4996E+01  8.1754E+00
 -3.4696E+01  7.9717E+00
 -3.4395E+01  7.7671E+00
 -3.4095E+01  7.5553E+00
 -3.3794E+01  7.3435E+00
 -3.3494E+01  7.1376E+00
 -3.3194E+01  6.9339E+00
 -3.2893E+01  6.7390E+00
 -3.2593E+01  6.5601E+00
 -3.2292E+01  6.3812E+00
 -3.1992E+01  6.2396E+00
 -3.1692E+01  6.0989E+00
 -3.1391E+01  5.9882E+00
 -3.1091E+01  5.8975E+00
 -3.0791E+01  5.8177E+00
 -3.0490E+01  5.7762E+00
 -3.0190E+01  5.7348E+00
 -2.9889E+01  5.7376E+00
 -2.9589E+01  5.7486E+00
 -2.9289E+01  5.7828E+00
 -2.8988E+01  5.8436E+00
 -2.8688E+01  5.9084E+00
 -2.8387E+01  6.0131E+00
 -2.8087E+01  6.1178E+00
 -2.7787E+01  6.2403E+00
 -2.7486E+01  6.3699E+00
 -2.7186E+01  6.5018E+00
 -2.6885E+01  6.6380E+00
 -2.6585E+01  6.7742E+00
 -2.6285E+01  6.9044E+00
 -2.5984E+01  7.0342E+00
 -2.5684E+01  7.1473E+00
 -2.5383E+01  7.2482E+00
 -2.5083E+01  7.3376E+00
 -2.4783E+01  7.3809E+00
 -2.4482E+01  7.4242E+00
 -2.4182E+01  7.3964E+00
 -2.3881E+01  7.3533E+00
 -2.3581E+01  7.2647E+00
 -2.3281E+01  7.1193E+00
 -2.2980E+01  6.9650E+00
 -2.2680E+01  6.6838E+00
 -2.2379E+01  6.4025E+00
 -2.2079E+01  6.0012E+00
 -2.1779E+01  5.5455E+00
 -2.1478E+01  5.0283E+00
 -2.1178E+01  4.3746E+00
 -2.0877E+01  3.7209E+00
 -2.0577E+01  2.8437E+00
 -2.0277E+01  1.9502E+00
 -1.9976E+01  8.9943E-01
 -1.9676E+01 -2.7776E-01
 -1.9375E+01 -1.5144E+00
 -1.9075E+01 -3.0283E+00
 -1.8775E+01 -4.5422E+00
 -1.8474E+01 -6.3782E+00
 -1.8174E+01 -8.2954E+00
 -1.7874E+01 -1.0409E+01
 -1.7573E+01 -1.2793E+01
 -1.7273E+01 -1.5201E+01
 -1.6972E+01 -1.8150E+01
 -1.6672E+01 -2.1099E+01
 -1.6372E+01 -2.4496E+01
 -1.6071E+01 -2.8119E+01
 -1.5771E+01 -3.1968E+01
 -1.5470E+01 -3.6375E+01
 -1.5170E+01 -4.0783E+01
 -1.4870E+01 -4.6025E+01
 -1.4569E+01 -5.1349E+01
 -1.4269E+01 -5.7221E+01
 -1.3968E+01 -6.3574E+01
 -1.3668E+01 -7.0098E+01
 -1.3368E+01 -7.7557E+01
 -1.3067E+01 -8.5017E+01
 -1.2767E+01 -9.3283E+01
 -1.2466E+01 -1.0178E+02
 -1.2166E+01 -1.1097E+02
 -1.1866E+01 -1.2034E+02
 -1.1565E+01 -1.3030E+02
 -1.1265E+01 -1.4041E+02
 -1.0964E+01 -1.5092E+02
 -1.0664E+01 -1.6154E+02
 -1.0364E+01 -1.7233E+02
 -1.0063E+01 -1.8317E+02
 -9.7628E+00 -1.9387E+02
 -9.4625E+00 -2.0454E+02
 -9.1621E+00 -2.1497E+02
 -8.8617E+00 -2.2507E+02
 -8.5613E+00 -2.3514E+02
 -8.2609E+00 -2.4439E+02
 -7.9605E+00 -2.5364E+02
 -7.6601E+00 -2.6223E+02
 -7.3597E+00 -2.7049E+02
 -7.0593E+00 -2.7847E+02
 -6.7589E+00 -2.8573E+02
 -6.4585E+00 -2.9299E+02
 -6.1581E+00 -2.9942E+02
