           Z  Fieldvalue
 ----------- -----------
 -3.8000E+01  9.6110E+01
 -3.7700E+01  9.5444E+01
 -3.7399E+01  9.4778E+01
 -3.7099E+01  9.3313E+01
 -3.6798E+01  9.1363E+01
 -3.6498E+01  8.9134E+01
 -3.6198E+01  8.6041E+01
 -3.5897E+01  8.2948E+01
 -3.5597E+01  7.9046E+01
 -3.5296E+01  7.5019E+01
 -3.4996E+01  7.0655E+01
 -3.4696E+01  6.5939E+01
 -3.4395E+01  6.1174E+01
 -3.4095E+01  5.6017E+01
 -3.3794E+01  5.0859E+01
 -3.3494E+01  4.5549E+01
 -3.3194E+01  4.0183E+01
 -3.2893E+01  3.4814E+01
 -3.2593E+01  2.9440E+01
 -3.2292E+01  2.4066E+01
 -3.1992E+01  1.8841E+01
 -3.1692E+01  1.3619E+01
 -3.1391E+01  8.5649E+00
 -3.1091E+01  3.6221E+00
 -3.0791E+01 -1.2409E+00
 -3.0490E+01 -5.8232E+00
 -3.0190E+01 -1.0406E+01
 -2.9889E+01 -1.4630E+01
 -2.9589E+01 -1.8788E+01
 -2.9289E+01 -2.2730E+01
 -2.8988E+01 -2.6424E+01
 -2.8688E+01 -3.0075E+01
 -2.8387E+01 -3.3280E+01
 -2.8087E+01 -3.6486E+01
 -2.7787E+01 -3.9345E+01
 -2.7486E+01 -4.2063E+01
 -2.7186E+01 -4.4621E+01
 -2.6885E+01 -4.6857E+01
 -2.6585E+01 -4.9093E+01
 -2.6285E+01 -5.0872E+01
 -2.5984E+01 -5.2630E+01
 -2.5684E+01 -5.4121E+01
 -2.5383E+01 -5.5417E+01
 -2.5083E+01 -5.6625E+01
 -2.4783E+01 -5.7483E+01
 -2.4482E+01 -5.8340E+01
 -2.4182E+01 -5.8856E+01
 -2.3881E+01 -5.9297E+01
 -2.3581E+01 -5.9554E+01
 -2.3281E+01 -5.9580E+01
 -2.2980E+01 -5.9581E+01
 -2.2680E+01 -5.9208E+01
 -2.2379E+01 -5.8836E+01
 -2.2079E+01 -5.8197E+01
 -2.1779E+01 -5.7435E+01
 -2.1478E+01 -5.6547E+01
 -2.1178E+01 -5.5375E+01
 -2.0877E+01 -5.4204E+01
 -2.0577E+01 -5.2631E+01
 -2.0277E+01 -5.1029E+01
 -1.9976E+01 -4.9166E+01
 -1.9676E+01 -4.7092E+01
 -1.9375E+01 -4.4925E+01
 -1.9075E+01 -4.2319E+01
 -1.8775E+01 -3.9714E+01
 -1.8474E+01 -3.6622E+01
 -1.8174E+01 -3.3409E+01
 -1.7874E+01 -2.9893E+01
 -1.7573E+01 -2.5962E+01
 -1.7273E+01 -2.1994E+01
 -1.6972E+01 -1.7235E+01
 -1.6672E+01 -1.2475E+01
 -1.6372E+01 -7.0815E+00
 -1.6071E+01 -1.3690E+00
 -1.5771E+01  4.6568E+00
 -1.5470E+01  1.1458E+01
 -1.5170E+01  1.8260E+01
 -1.4870E+01  2.6150E+01
 -1.4569E+01  3.4148E+01
 -1.4269E+01  4.2820E+01
 -1.3968E+01  5.2084E+01
 -1.3668E+01  6.1542E+01
 -1.3368E+01  7.2057E+01
 -1.3067E+01  8.2571E+01
 -1.2767E+01  9.3874E+01
 -1.2466E+01  1.0540E+02
 -1.2166E+01  1.1746E+02
 -1.1866E+01  1.2967E+02
 -1.1565E+01  1.4211E+02
 -1.1265E+01  1.5462E+02
 -1.0964E+01  1.6696E+02
 -1.0664E+01  1.7925E+02
 -1.0364E+01  1.9088E+02
 -1.0063E+01  2.0234E+02
 -9.7628E+00  2.1244E+02
 -9.4625E+00  2.2220E+02
 -9.1621E+00  2.3088E+02
 -8.8617E+00  2.3803E+02
 -8.5613E+00  2.4507E+02
 -8.2609E+00  2.4903E+02
 -7.9605E+00  2.5300E+02
 -7.6601E+00  2.5470E+02
 -7.3597E+00  2.5520E+02
 -7.0593E+00  2.5474E+02
 -6.7589E+00  2.5178E+02
 -6.4585E+00  2.4882E+02
 -6.1581E+00  2.4290E+02
 -5.8577E+00  2.3666E+02
 -5.5573E+00  2.2887E+02
 -5.2569E+00  2.1965E+02
 -4.9565E+00  2.1005E+02
 -4.6561E+00  1.9821E+02
 -4.3557E+00  1.8637E+02
 -4.0553E+00  1.7282E+02
 -3.7549E+00  1.5874E+02
 -3.4545E+00  1.4394E+02
 -3.1542E+00  1.2800E+02
 -2.8538E+00  1.1204E+02
 -2.5534E+00  9.4607E+01
 -2.2530E+00  7.7174E+01
 -1.9526E+00  5.9024E+01
 -1.6522E+00  4.0458E+01
 -1.3518E+00  2.1695E+01
 -1.0514E+00  2.3559E+00
 -7.5099E-01 -1.6983E+01
 -4.5059E-01 -3.6669E+01
 -1.5020E-01 -5.6404E+01
  1.5020E-01 -7.6145E+01
  4.5059E-01 -9.5893E+01
  7.5099E-01 -1.1559E+02
  1.0514E+00 -1.3495E+02
  1.3518E+00 -1.5431E+02
  1.6522E+00 -1.7306E+02
  1.9526E+00 -1.9160E+02
  2.2530E+00 -2.0967E+02
  2.5534E+00 -2.2695E+02
  2.8538E+00 -2.4423E+02
  3.1542E+00 -2.5979E+02
  3.4545E+00 -2.7534E+02
  3.7549E+00 -2.8954E+02
  4.0553E+00 -3.0288E+02
  4.3557E+00 -3.1560E+02
  4.6561E+00 -3.2628E+02
  4.9565E+00 -3.3695E+02
  5.2569E+00 -3.4496E+02
  5.5573E+00 -3.5252E+02
  5.8577E+00 -3.5842E+02
  6.1581E+00 -3.6248E+02
  6.4585E+00 -3.6617E+02
  6.7589E+00 -3.6644E+02
  7.0593E+00 -3.6672E+02
  7.3597E+00 -3.6417E+02
  7.6601E+00 -3.6053E+02
  7.9605E+00 -3.5559E+02
  8.2609E+00 -3.4816E+02
  8.5613E+00 -3.4073E+02
  8.8617E+00 -3.3004E+02
  9.1621E+00 -3.1924E+02
  9.4625E+00 -3.0690E+02
  9.7628E+00 -2.9350E+02
  1.0063E+01 -2.7978E+02
  1.0364E+01 -2.6483E+02
  1.0664E+01 -2.4976E+02
  1.0964E+01 -2.3425E+02
  1.1265E+01 -2.1879E+02
  1.1565E+01 -2.0349E+02
  1.1866E+01 -1.8837E+02
  1.2166E+01 -1.7393E+02
  1.2466E+01 -1.5974E+02
  1.2767E+01 -1.4641E+02
  1.3067E+01 -1.3345E+02
  1.3368E+01 -1.2177E+02
  1.3668E+01 -1.1010E+02
  1.3968E+01 -1.0019E+02
  1.4269E+01 -9.0603E+01
  1.4569E+01 -8.1906E+01
  1.4870E+01 -7.4220E+01
  1.5170E+01 -6.6694E+01
  1.5470E+01 -6.0782E+01
  1.5771E+01 -5.4869E+01
  1.6071E+01 -5.0066E+01
  1.6372E+01 -4.5709E+01
  1.6672E+01 -4.1786E+01
  1.6972E+01 -3.8724E+01
