           Z  Fieldvalue
 ----------- -----------
 -3.8000E+01  6.2468E+01
 -3.7700E+01  6.2181E+01
 -3.7399E+01  6.1894E+01
 -3.7099E+01  6.1276E+01
 -3.6798E+01  6.0456E+01
 -3.6498E+01  5.9534E+01
 -3.6198E+01  5.8299E+01
 -3.5897E+01  5.7065E+01
 -3.5597E+01  5.5608E+01
 -3.5296E+01  5.4117E+01
 -3.4996E+01  5.2578E+01
 -3.4696E+01  5.0988E+01
 -3.4395E+01  4.9400E+01
 -3.4095E+01  4.7831E+01
 -3.3794E+01  4.6261E+01
 -3.3494E+01  4.4758E+01
 -3.3194E+01  4.3279E+01
 -3.2893E+01  4.1835E+01
 -3.2593E+01  4.0454E+01
 -3.2292E+01  3.9073E+01
 -3.1992E+01  3.7746E+01
 -3.1692E+01  3.6420E+01
 -3.1391E+01  3.5083E+01
 -3.1091E+01  3.3738E+01
 -3.0791E+01  3.2367E+01
 -3.0490E+01  3.0904E+01
 -3.0190E+01  2.9441E+01
 -2.9889E+01  2.7804E+01
 -2.9589E+01  2.6135E+01
 -2.9289E+01  2.4336E+01
 -2.8988E+01  2.2387E+01
 -2.8688E+01  2.0411E+01
 -2.8387E+01  1.8141E+01
 -2.8087E+01  1.5871E+01
 -2.7787E+01  1.3362E+01
 -2.7486E+01  1.0755E+01
 -2.7186E+01  8.0446E+00
 -2.6885E+01  5.1268E+00
 -2.6585E+01  2.2090E+00
 -2.6285E+01 -9.3255E-01
 -2.5984E+01 -4.0846E+00
 -2.5684E+01 -7.3116E+00
 -2.5383E+01 -1.0593E+01
 -2.5083E+01 -1.3875E+01
 -2.4783E+01 -1.7153E+01
 -2.4482E+01 -2.0432E+01
 -2.4182E+01 -2.3579E+01
 -2.3881E+01 -2.6698E+01
 -2.3581E+01 -2.9661E+01
 -2.3281E+01 -3.2428E+01
 -2.2980E+01 -3.5161E+01
 -2.2680E+01 -3.7392E+01
 -2.2379E+01 -3.9624E+01
 -2.2079E+01 -4.1361E+01
 -2.1779E+01 -4.2874E+01
 -2.1478E+01 -4.4101E+01
 -2.1178E+01 -4.4693E+01
 -2.0877E+01 -4.5284E+01
 -2.0577E+01 -4.4841E+01
 -2.0277E+01 -4.4323E+01
 -1.9976E+01 -4.3085E+01
 -1.9676E+01 -4.1269E+01
 -1.9375E+01 -3.9189E+01
 -1.9075E+01 -3.5881E+01
 -1.8775E+01 -3.2573E+01
 -1.8474E+01 -2.7917E+01
 -1.8174E+01 -2.2922E+01
 -1.7874E+01 -1.7119E+01
 -1.7573E+01 -1.0207E+01
 -1.7273E+01 -3.2011E+00
 -1.6972E+01  5.8595E+00
 -1.6672E+01  1.4920E+01
 -1.6372E+01  2.5583E+01
 -1.6071E+01  3.7053E+01
 -1.5771E+01  4.9299E+01
 -1.5470E+01  6.3469E+01
 -1.5170E+01  7.7639E+01
 -1.4870E+01  9.4512E+01
 -1.4569E+01  1.1165E+02
 -1.4269E+01  1.3050E+02
 -1.3968E+01  1.5085E+02
 -1.3668E+01  1.7171E+02
 -1.3368E+01  1.9539E+02
 -1.3067E+01  2.1907E+02
 -1.2767E+01  2.4505E+02
 -1.2466E+01  2.7170E+02
 -1.2166E+01  3.0022E+02
 -1.1866E+01  3.2928E+02
 -1.1565E+01  3.5980E+02
 -1.1265E+01  3.9073E+02
 -1.0964E+01  4.2250E+02
 -1.0664E+01  4.5450E+02
 -1.0364E+01  4.8655E+02
 -1.0063E+01  5.1862E+02
 -9.7628E+00  5.4973E+02
 -9.4625E+00  5.8058E+02
 -9.1621E+00  6.1039E+02
 -8.8617E+00  6.3871E+02
 -8.5613E+00  6.6691E+02
 -8.2609E+00  6.9178E+02
 -7.9605E+00  7.1664E+02
 -7.6601E+00  7.3900E+02
 -7.3597E+00  7.6003E+02
 -7.0593E+00  7.8002E+02
 -6.7589E+00  7.9730E+02
 -6.4585E+00  8.1458E+02
 -6.1581E+00  8.2880E+02
 -5.8577E+00  8.4269E+02
 -5.5573E+00  8.5508E+02
 -5.2569E+00  8.6612E+02
 -4.9565E+00  8.7682E+02
 -4.6561E+00  8.8560E+02
 -4.3557E+00  8.9438E+02
 -4.0553E+00  9.0189E+02
 -3.7549E+00  9.0902E+02
 -3.4545E+00  9.1573E+02
 -3.1542E+00  9.2178E+02
 -2.8538E+00  9.2783E+02
 -2.5534E+00  9.3334E+02
 -2.2530E+00  9.3886E+02
 -1.9526E+00  9.4434E+02
 -1.6522E+00  9.4979E+02
 -1.3518E+00  9.5534E+02
 -1.0514E+00  9.6113E+02
 -7.5099E-01  9.6693E+02
 -4.5059E-01  9.7331E+02
 -1.5020E-01  9.7978E+02
  1.5020E-01  9.8669E+02
  4.5059E-01  9.9404E+02
  7.5099E-01  1.0015E+03
  1.0514E+00  1.0098E+03
  1.3518E+00  1.0181E+03
  1.6522E+00  1.0271E+03
  1.9526E+00  1.0363E+03
  2.2530E+00  1.0457E+03
  2.5534E+00  1.0554E+03
  2.8538E+00  1.0652E+03
  3.1542E+00  1.0750E+03
  3.4545E+00  1.0848E+03
  3.7549E+00  1.0942E+03
  4.0553E+00  1.1033E+03
  4.3557E+00  1.1120E+03
  4.6561E+00  1.1192E+03
  4.9565E+00  1.1265E+03
  5.2569E+00  1.1311E+03
  5.5573E+00  1.1352E+03
  5.8577E+00  1.1369E+03
  6.1581E+00  1.1362E+03
  6.4585E+00  1.1349E+03
  6.7589E+00  1.1277E+03
  7.0593E+00  1.1204E+03
  7.3597E+00  1.1076E+03
  7.6601E+00  1.0925E+03
  7.9605E+00  1.0749E+03
  8.2609E+00  1.0524E+03
  8.5613E+00  1.0299E+03
  8.8617E+00  1.0084E+03
  9.1621E+00  9.8699E+02
  9.4625E+00  9.3741E+02
  9.7628E+00  8.6814E+02
  1.0063E+01  7.9815E+02
  1.0364E+01  7.2548E+02
  1.0664E+01  6.6062E+02
  1.0964E+01  6.2462E+02
  1.1265E+01  5.8521E+02
  1.1565E+01  5.3346E+02
  1.1866E+01  4.7960E+02
  1.2166E+01  4.1824E+02
  1.2466E+01  3.6315E+02
  1.2767E+01  3.3013E+02
  1.3067E+01  2.9826E+02
  1.3368E+01  2.7037E+02
  1.3668E+01  2.4249E+02
  1.3968E+01  1.9798E+02
  1.4269E+01  1.5043E+02
  1.4569E+01  1.0946E+02
  1.4870E+01  7.5946E+01
  1.5170E+01  4.3158E+01
  1.5470E+01  1.7691E+01
  1.5771E+01 -7.7768E+00
  1.6071E+01 -2.8494E+01
  1.6372E+01 -4.7294E+01
  1.6672E+01 -6.4107E+01
  1.6972E+01 -7.6969E+01
  1.7273E+01 -8.9830E+01
  1.7573E+01 -9.7698E+01
  1.7874E+01 -1.0534E+02
  1.8174E+01 -1.1042E+02
  1.8474E+01 -1.1363E+02
  1.8775E+01 -1.1612E+02
  1.9075E+01 -1.1576E+02
  1.9375E+01 -1.1540E+02
  1.9676E+01 -1.1281E+02
  1.9976E+01 -1.0976E+02
  2.0277E+01 -1.0588E+02
  2.0577E+01 -1.0099E+02
  2.0877E+01 -9.6030E+01
  2.1178E+01 -9.0097E+01
  2.1478E+01 -8.4164E+01
  2.1779E+01 -7.7977E+01
  2.2079E+01 -7.1677E+01
  2.2379E+01 -6.5429E+01
  2.2680E+01 -5.9297E+01
  2.2980E+01 -5.3165E+01
  2.3281E+01 -4.7550E+01
  2.3581E+01 -4.1971E+01
  2.3881E+01 -3.6831E+01
  2.4182E+01 -3.2039E+01
  2.4482E+01 -2.7407E+01
  2.4783E+01 -2.3506E+01
  2.5083E+01 -1.9605E+01
  2.5383E+01 -1.6416E+01
  2.5684E+01 -1.3404E+01
  2.5984E+01 -1.0736E+01
  2.6285E+01 -8.5363E+00
  2.6585E+01 -6.3677E+00
  2.6885E+01 -4.8587E+00
  2.7186E+01 -3.3497E+00
  2.7486E+01 -2.2079E+00
  2.7787E+01 -1.2493E+00
  2.8087E+01 -4.0990E-01
  2.8387E+01  1.3709E-01
  2.8688E+01  6.8407E-01
  2.8988E+01  9.6873E-01
  2.9289E+01  1.2280E+00
  2.9589E+01  1.3881E+00
  2.9889E+01  1.4616E+00
  3.0190E+01  1.5183E+00
  3.0490E+01  1.4838E+00
  3.0791E+01  1.4494E+00
  3.1091E+01  1.3738E+00
  3.1391E+01  1.2864E+00
  3.1692E+01  1.1921E+00
  3.1992E+01  1.0877E+00
  3.2292E+01  9.8325E-01
  3.2593E+01  8.8259E-01
  3.2893E+01  7.8193E-01
  3.3194E+01  6.9041E-01
  3.3494E+01  6.0393E-01
  3.3794E+01  5.2217E-01
  3.4095E+01  4.5338E-01
  3.4395E+01  3.8459E-01
  3.4696E+01  3.3111E-01
  3.4996E+01  2.7954E-01
  3.5296E+01  2.3558E-01
  3.5597E+01  1.9889E-01
  3.5897E+01  1.6381E-01
  3.6198E+01  1.3915E-01
  3.6498E+01  1.1449E-01
  3.6798E+01  9.7177E-02
  3.7099E+01  8.2241E-02
  3.7399E+01  7.0961E-02
  3.7700E+01  6.5701E-02
  3.8000E+01  6.0440E-02
