           Z  Fieldvalue
 ----------- -----------
 -3.8000E+01  1.0434E+01
 -3.7700E+01  1.0328E+01
 -3.7399E+01  1.0223E+01
 -3.7099E+01  9.9869E+00
 -3.6798E+01  9.6719E+00
 -3.6498E+01  9.3101E+00
 -3.6198E+01  8.8032E+00
 -3.5897E+01  8.2962E+00
 -3.5597E+01  7.6428E+00
 -3.5296E+01  6.9668E+00
 -3.4996E+01  6.2229E+00
 -3.4696E+01  5.4079E+00
 -3.4395E+01  4.5812E+00
 -3.4095E+01  3.6610E+00
 -3.3794E+01  2.7408E+00
 -3.3494E+01  1.7715E+00
 -3.3194E+01  7.8436E-01
 -3.2893E+01 -2.1243E-01
 -3.2593E+01 -1.2266E+00
 -3.2292E+01 -2.2408E+00
 -3.1992E+01 -3.2451E+00
 -3.1692E+01 -4.2492E+00
 -3.1391E+01 -5.2248E+00
 -3.1091E+01 -6.1814E+00
 -3.0791E+01 -7.1220E+00
 -3.0490E+01 -8.0069E+00
 -3.0190E+01 -8.8918E+00
 -2.9889E+01 -9.6942E+00
 -2.9589E+01 -1.0481E+01
 -2.9289E+01 -1.1214E+01
 -2.8988E+01 -1.1885E+01
 -2.8688E+01 -1.2545E+01
 -2.8387E+01 -1.3085E+01
 -2.8087E+01 -1.3626E+01
 -2.7787E+01 -1.4078E+01
 -2.7486E+01 -1.4494E+01
 -2.7186E+01 -1.4871E+01
 -2.6885E+01 -1.5171E+01
 -2.6585E+01 -1.5470E+01
 -2.6285E+01 -1.5665E+01
 -2.5984E+01 -1.5855E+01
 -2.5684E+01 -1.5994E+01
 -2.5383E+01 -1.6096E+01
 -2.5083E+01 -1.6188E+01
 -2.4783E+01 -1.6236E+01
 -2.4482E+01 -1.6285E+01
 -2.4182E+01 -1.6321E+01
 -2.3881E+01 -1.6354E+01
 -2.3581E+01 -1.6393E+01
 -2.3281E+01 -1.6440E+01
 -2.2980E+01 -1.6490E+01
 -2.2680E+01 -1.6600E+01
 -2.2379E+01 -1.6709E+01
 -2.2079E+01 -1.6901E+01
 -2.1779E+01 -1.7131E+01
 -2.1478E+01 -1.7410E+01
 -2.1178E+01 -1.7801E+01
 -2.0877E+01 -1.8192E+01
 -2.0577E+01 -1.8789E+01
