#Parameters = {beta=0.8; bunch=4.8; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / cm"	"Z (beta=0.8) [Real Part]"
#-----------------------------------
-47.823046064346	-7.4219579385049e-15
-47.782109311386	-8.0766757818732e-15
-47.741172558426	-8.8993371874612e-15
-47.700235805466	-9.8083372012486e-15
-47.659299052506	-1.0579055578398e-14
-47.618362299546	-1.1206112746847e-14
-47.577425546586	-1.1734310637223e-14
-47.536488793626	-1.2146476261862e-14
-47.495552040666	-1.2442253411678e-14
-47.454615287706	-1.2634038513722e-14
-47.413678534746	-1.2749700540021e-14
-47.372741781786	-1.2804747209026e-14
-47.331805028826	-1.2825631418194e-14
-47.290868275866	-1.2974535704577e-14
-47.249931522906	-1.3189786546908e-14
-47.208994769946	-1.3351572540132e-14
-47.168058016986	-1.3575823530455e-14
-47.127121264026	-1.3771625068600e-14
-47.086184511066	-1.3806434914746e-14
-47.045247758106	-1.3659808904545e-14
-47.004311005146	-1.3335008361095e-14
-46.963374252186	-1.2988783237288e-14
-46.922437499226	-1.2583705207024e-14
-46.881500746266	-1.2216754859977e-14
-46.840563993306	-1.1585707150622e-14
-46.799627240346	-1.0756463847952e-14
-46.758690487386	-9.9784693752877e-15
-46.717753734426	-9.3212553584049e-15
-46.676816981466	-9.1137259685898e-15
-46.635880228506	-9.2441388445609e-15
-46.594943475546	-9.5050057966401e-15
-46.554006722586	-9.9944467366136e-15
-46.513069969626	-1.0594497981321e-14
-46.472133216666	-1.1294814106381e-14
-46.431196463706	-1.2105308527100e-14
-46.390259710746	-1.2961543457483e-14
-46.349322957786	-1.3660338802709e-14
-46.308386204826	-1.4231744383800e-14
-46.267449451866	-1.4760817396435e-14
-46.226512698906	-1.5237768232416e-14
-46.185575945946	-1.5816706947793e-14
-46.144639192986	-1.6434720777768e-14
-46.103702440026	-1.6989634906133e-14
-46.062765687066	-1.7613163890373e-14
-46.021828934106	-1.8224690499413e-14
-45.980892181146	-1.8705060671904e-14
-45.939955428186	-1.9157808035005e-14
-45.899018675227	-1.9501544847530e-14
-45.858081922267	-1.9782278359681e-14
-45.817145169307	-1.9803825305693e-14
-45.776208416347	-1.9404641625034e-14
-45.735271663387	-1.8925015219090e-14
-45.694334910427	-1.8610108629041e-14
-45.653398157467	-1.8375940738529e-14
-45.612461404507	-1.8026335223860e-14
-45.571524651547	-1.7800908949422e-14
-45.530587898587	-1.7888496465397e-14
-45.489651145627	-1.8126921636077e-14
-45.448714392667	-1.8534929476051e-14
-45.407777639707	-1.8999302949225e-14
-45.366840886747	-1.9506495557285e-14
-45.325904133787	-2.0064826598669e-14
-45.284967380827	-2.0614934496589e-14
-45.244030627867	-2.1095319752515e-14
-45.203093874907	-2.1597937393942e-14
-45.162157121947	-2.2025522302291e-14
-45.121220368987	-2.2278136262014e-14
-45.080283616027	-2.2221925803596e-14
-45.039346863067	-2.1960584235097e-14
-44.998410110107	-2.1783192425506e-14
-44.957473357147	-2.1685130993588e-14
-44.916536604187	-2.1033646099117e-14
-44.875599851227	-2.0269958999375e-14
-44.834663098267	-1.9777665840242e-14
-44.793726345307	-1.9497147125693e-14
-44.752789592347	-1.9442998256845e-14
-44.711852839387	-1.9886199000111e-14
-44.670916086427	-2.0636875980471e-14
-44.629979333467	-2.1429758609977e-14
-44.589042580507	-2.2309289934568e-14
-44.548105827547	-2.3262879878337e-14
-44.507169074587	-2.4063920466731e-14
-44.466232321627	-2.4558495060682e-14
-44.425295568667	-2.4718044879841e-14
-44.384358815707	-2.4569598338748e-14
-44.343422062747	-2.4314914625659e-14
-44.302485309787	-2.3953678504454e-14
-44.261548556827	-2.3626338201773e-14
-44.220611803867	-2.3483205517420e-14
-44.179675050907	-2.3556021700571e-14
-44.138738297947	-2.3834189345478e-14
-44.097801544987	-2.4176597505811e-14
-44.056864792027	-2.4609797307702e-14
-44.015928039067	-2.5190890468548e-14
-43.974991286107	-2.5872758716097e-14
-43.934054533147	-2.6733468087538e-14
-43.893117780187	-2.7798045466063e-14
-43.852181027227	-2.9005980092101e-14
-43.811244274267	-3.0291687624584e-14
-43.770307521307	-3.1295206036976e-14
-43.729370768347	-3.1930244241282e-14
-43.688434015387	-3.2440505870984e-14
-43.647497262427	-3.2912062837111e-14
-43.606560509467	-3.3062472539989e-14
-43.565623756507	-3.2729891957925e-14
-43.524687003547	-3.2266032214358e-14
-43.483750250587	-3.1757900659769e-14
-43.442813497627	-3.1166330159050e-14
-43.401876744667	-3.0686468271057e-14
-43.360939991707	-3.0433718520148e-14
-43.320003238747	-3.0387998748754e-14
-43.279066485787	-3.0494269945341e-14
-43.238129732827	-3.0707747821010e-14
-43.197192979867	-3.1261932456629e-14
-43.156256226907	-3.2101335552064e-14
-43.115319473947	-3.2016502532833e-14
-43.074382720987	-3.2081806680289e-14
-43.033445968027	-3.1647337055867e-14
-42.992509215067	-3.1318414889975e-14
-42.951572462107	-3.0529051716981e-14
-42.910635709147	-3.0043556893283e-14
-42.869698956187	-2.9274549916511e-14
-42.828762203227	-2.8948474298745e-14
-42.787825450267	-2.8463981256314e-14
-42.746888697307	-2.8647503587957e-14
-42.705951944347	-2.8780010245968e-14
-42.665015191387	-2.9481226313278e-14
-42.624078438427	-3.0016023727423e-14
-42.583141685467	-3.0927233929097e-14
-42.542204932507	-3.1484952669206e-14
-42.501268179547	-3.2404117262873e-14
-42.460331426587	-3.2939282719122e-14
-42.419394673627	-3.3895936671672e-14
-42.378457920667	-3.4488370311965e-14
-42.337521167707	-3.5424914584815e-14
-42.296584414747	-3.5957119724167e-14
-42.255647661787	-3.6787285687899e-14
-42.214710908827	-3.7135833889361e-14
-42.173774155867	-3.7658098841534e-14
-42.132837402907	-3.7607321172301e-14
-42.091900649947	-3.7862051965058e-14
-42.050963896987	-3.7650468425208e-14
-42.010027144027	-3.5755688255599e-14
-41.969090391067	-3.4286804749117e-14
-41.928153638107	-3.2633257651040e-14
-41.887216885147	-3.1734402361073e-14
-41.846280132187	-3.0892427085169e-14
-41.805343379227	-3.0807962080041e-14
-41.764406626267	-3.0716347211549e-14
-41.723469873307	-3.1313758936787e-14
-41.682533120347	-3.1751295796190e-14
-41.641596367387	-3.2805711875039e-14
-41.600659614427	-3.3555344742799e-14
-41.559722861467	-3.4665599134917e-14
-41.518786108507	-3.5238496589387e-14
-41.477849355547	-3.5924498896400e-14
-41.436912602587	-3.5908875946505e-14
-41.395975849627	-3.5947935764195e-14
-41.355039096667	-3.5323287670217e-14
-41.314102343707	-3.4826673247850e-14
-41.273165590747	-3.3743787790785e-14
-41.232228837787	-3.3023415520631e-14
-41.191292084827	-3.1955429645004e-14
-41.150355331867	-3.1327717251243e-14
-41.109418578907	-3.0349470226057e-14
-41.068481825947	-2.9816020150530e-14
-41.027545072987	-2.8951080569205e-14
-40.986608320027	-2.8597133783451e-14
-40.945671567067	-2.7888301543082e-14
-40.904734814107	-2.7532107387314e-14
-40.863798061148	-2.6652469896507e-14
-40.822861308188	-2.6041648153141e-14
-40.781924555228	-2.4878916083733e-14
-40.740987802268	-2.3997602877404e-14
-40.700051049308	-2.2618222642419e-14
-40.659114296348	-2.1562326878158e-14
-40.618177543388	-2.0086597940719e-14
-40.577240790428	-1.9092215055244e-14
-40.536304037468	-1.7733861679644e-14
-40.495367284508	-1.6826365720876e-14
-40.454430531548	-1.5515138869871e-14
-40.413493778588	-1.4538172971862e-14
-40.372557025628	-1.3029327417160e-14
-40.331620272668	-1.1724171842706e-14
-40.290683519708	-9.7439354307673e-15
-40.249746766748	-7.9240179519888e-15
-40.208810013788	-5.4244735098026e-15
-40.167873260828	-9.1743130687232e-16
-40.126936507868	3.3602908315878e-15
-40.085999754908	8.0810744980337e-15
-40.045063001948	1.2314031688612e-14
-40.004126248988	1.6866290821094e-14
-39.963189496028	2.0946969776021e-14
-39.922252743068	2.5575807750412e-14
-39.881315990108	3.0180491388434e-14
-39.840379237148	3.5854360762406e-14
-39.799442484188	4.2190947142375e-14
-39.758505731228	5.0555278772161e-14
-39.717568978268	6.0735012962910e-14
-39.676632225308	7.4269486582430e-14
-39.635695472348	9.1021174421651e-14
-39.594758719388	1.1228642727458e-13
-39.553821966428	1.2033487985449e-13
-39.512885213468	9.9408387231924e-14
-39.471948460508	8.2856646007647e-14
-39.431011707548	5.9077966790609e-14
-39.390074954588	4.6428085231222e-14
-39.349138201628	4.9563912233978e-14
-39.308201448668	6.5724135531035e-14
-39.267264695708	8.5462120907605e-14
-39.226327942748	9.3159693847877e-14
-39.185391189788	1.3907094162043e-13
-39.144454436828	1.9265219605531e-13
-39.103517683868	2.3334023316735e-13
-39.062580930908	2.6228254739875e-13
-39.021644177948	2.7638573193758e-13
-38.980707424988	2.6014841862772e-13
-38.939770672028	2.3282444015446e-13
-38.898833919068	2.1473877641003e-13
-38.857897166108	2.0235337554467e-13
-38.816960413148	1.9781077609785e-13
-38.776023660188	2.0357962178457e-13
-38.735086907228	2.3678322485707e-13
-38.694150154268	2.8042678631847e-13
-38.653213401308	3.2957837807454e-13
-38.612276648348	3.9284190247449e-13
-38.571339895388	4.4617301170395e-13
-38.530403142428	5.0016841698759e-13
-38.489466389468	5.3676220594082e-13
-38.448529636508	5.6899340529923e-13
-38.407592883548	5.8786913019444e-13
-38.366656130588	6.0631161349622e-13
-38.325719377628	6.2106680596888e-13
-38.284782624668	6.4192589554625e-13
-38.243845871708	6.7332962602238e-13
-38.202909118748	7.1609070103509e-13
-38.161972365788	7.7090531817271e-13
-38.121035612828	8.3535259872250e-13
-38.080098859868	9.0910225472093e-13
-38.039162106908	9.8639571560078e-13
-37.998225353948	1.0650977548144e-12
-37.957288600988	1.1418500164524e-12
-37.916351848028	1.2178156688766e-12
-37.875415095068	1.2903243749852e-12
-37.834478342108	1.3622802135496e-12
-37.793541589148	1.4362111246569e-12
-37.752604836188	1.5154966833817e-12
-37.711668083228	1.6027332678531e-12
-37.670731330268	1.6993665416789e-12
