#Parameters = {beta=0.8; bunch=4.8; conductivity=10000; l=20; l_pipe=40; nmesh=50; r=10; r_pipe=2; samples=2000; wakelength=400; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"Frequency / GHz"	"Z (beta=0.8) [Real/Imaginary Part] [Re]"	"Z (beta=0.8) [Real/Imaginary Part] [Im]"
#-----------------------------------------------------------------------------------------------------
0.0000000000000	-3.7701632675217	-2.7670351452449e-11
0.00085368889540069	-3.7455073082822	-0.39800434323674
0.0017073777908014	-3.6718491113261	-0.80152092700479
0.0025610666862021	-3.5501138174132	-1.2159925865907
0.0034147555816028	-3.3818303718222	-1.6467242211086
0.0042684444770034	-3.1691122619503	-2.0988160006845
0.0051221333724041	-2.9146308904001	-2.5770991532424
0.0059758222678048	-2.6215819192281	-3.0860751398607
0.0068295111632055	-2.2936450092660	-3.6298589851960
0.0076832000586062	-1.9349374618759	-4.2121274772564
0.0085368889540069	-1.5499623469446	-4.8360728887865
0.0093905778494076	-1.1435517711058	-5.5043628039457
0.010244266744808	-0.72080600049969	-6.2191065563169
0.011097955640209	-0.28702920544093	-6.9818287010655
0.011951644535610	0.15233736343675	-7.7934498561258
0.012805333431010	0.59178392578407	-8.6542751533726
0.013659022326411	1.0258015848032	-9.5639904459563
0.014512711221812	1.4489517285388	-10.521666319348
0.015366400117212	1.8559345449854	-11.525769855995
0.016220089012613	2.2416557870027	-12.574184005425
0.017073777908014	2.6012909460428	-13.664234315917
0.017927466803414	2.9303460257361	-14.792722690948
0.018781155698815	3.2247141494059	-15.955967745466
0.019634844594216	3.4807272875983	-17.149851253406
0.020488533489617	3.6952024541896	-18.369870101271
0.021342222385017	3.8654817878964	-19.611193093458
0.022195911280418	3.9894660143586	-20.868721893166
0.023049600175819	4.0656408662751	-22.137155331393
0.023903289071219	4.0930961285952	-23.411056273369
0.024756977966620	4.0715370680806	-24.684920199604
0.025610666862021	4.0012881029291	-25.953244637653
0.026464355757421	3.8832886656430	-27.210598568859
0.027318044652822	3.7190813109003	-28.451690935600
0.028171733548223	3.5107922176697	-29.671437385164
0.029025422443623	3.2611043311139	-30.865024408844
0.029879111339024	2.9732234820683	-32.027970067314
0.030732800234425	2.6508379108268	-33.156180536778
0.031586489129825	2.2980717048776	-34.246001762166
0.032440178025226	1.9194327374217	-35.294265566426
0.033293866920627	1.5197557619664	-36.298329633270
0.034147555816028	1.1041413807390	-37.256110859397
0.035001244711428	0.67789165544137	-38.166111654495
0.035854933606829	0.24644317225576	-39.027438856997
0.036708622502230	-0.18470159548877	-39.839815026062
0.037562311397630	-0.61004376129180	-40.603581966702
0.038416000293031	-1.0241574606516	-41.319696442524
0.039269689188432	-1.4217583713691	-41.989718129302
0.040123378083832	-1.7977704549831	-42.615789960145
0.040977066979233	-2.1473900775747	-43.200611109303
0.041830755874634	-2.4661467007409	-43.747402954111
0.042684444770034	-2.7499593768301	-44.259868443313
0.043538133665435	-2.9951883355634	-44.742145383320
0.044391822560836	-3.1986810103301	-45.198754230566
0.045245511456236	-3.3578119230480	-45.634541047318
0.046099200351637	-3.4705159233152	-46.054616339922
0.046952889247038	-3.5353143616315	-46.464290549883
0.047806578142439	-3.5513338650915	-46.869007010969
0.048660267037839	-3.5183174776227	-47.274273217509
0.049513955933240	-3.4366280225062	-47.685591270263
0.050367644828641	-3.3072436434100	-48.108388377382
0.051221333724041	-3.1317455785877	-48.547948286727
0.052075022619442	-2.9122983206317	-49.009344514976
0.052928711514843	-2.6516224107045	-49.497376215896
0.053782400410243	-2.3529602085375	-50.016507497469
0.054636089305644	-2.0200350683724	-50.570810954156
0.055489778201045	-1.6570044346066	-51.163916127452
0.056343467096445	-1.2684074468731	-51.798963546290
0.057197155991846	-0.85910771457250	-52.478564928248
0.058050844887247	-0.43423198120438	-53.204770045175
0.058904533782647	0.00089454847697746	-53.979040673177
0.059758222678048	0.44081540391694	-54.802231957168
0.060611911573449	0.88001171944484	-55.674581427342
0.061465600468850	1.3129719121003	-56.595705807977
0.062319289364250	1.7342612876588	-57.564605661388
0.063172978259651	2.1385906968034	-58.579677810343
0.064026667155052	2.5208833749749	-59.638735384841
0.064880356050452	2.8763391221818	-60.739035242384
0.065734044945853	3.2004950122307	-61.877312418258
0.066587733841254	3.4892818644702	-63.049821173426
0.067441422736654	3.7390757641112	-64.252382124092
0.068295111632055	3.9467439797911	-65.480434860563
0.069148800527456	4.1096846968751	-66.729095393296
0.070002489422856	4.2258600636460	-67.993217702956
0.070856178318257	4.2938221305901	-69.267458619544
0.071709867213658	4.3127313535461	-70.546345213098
0.072563556109058	4.2823674243879	-71.824343846701
0.073417245004459	4.2031322899264	-73.095930021295
0.074270933899860	4.0760453180076	-74.355658131297
0.075124622795261	3.9027306690401	-75.598230251076
0.075978311690661	3.6853970291052	-76.818563084002
0.076832000586062	3.4268099576396	-78.011852228824
0.077685689481463	3.1302571954992	-79.173632951498
0.078539378376863	2.7995073684906	-80.299836694396
0.079393067272264	2.4387626045279	-81.386842608257
0.080246756167665	2.0526056599284	-82.431523454806
0.081100445063065	1.6459422195226	-83.431285298546
0.081954133958466	1.2239390965800	-84.384100484389
0.082807822853867	0.79195911045664	-85.288533482331
0.083661511749267	0.35549346218980	-86.143759270023
0.084515200644668	-0.079907539926711	-86.949574018015
0.085368889540069	-0.50870453157264	-87.706397939775
0.086222578435470	-0.92543903692633	-88.415270266683
0.087076267330870	-1.3248024240881	-89.077836408213
0.087929956226271	-1.7017030010069	-89.696327455568
0.088783645121672	-2.0513304045101	-90.273532283863
