#Parameters = {ncells=20; conductivity=10; beta=1; wakelength=4000}
#"s / cm"	"Z (4) [Real Part]"
#----------------------------
-85.489210343657	-1.5998846930150e-14
-85.423622942236	-1.6135293071481e-14
-85.358035540816	-1.6212829287432e-14
-85.292448139395	-1.6614654700343e-14
-85.226860737975	-1.6763898543256e-14
-85.161273336554	-1.6831329736485e-14
-85.095685935133	-1.7152595068551e-14
-85.030098533713	-1.7203270319523e-14
-84.964511132292	-1.7161993777658e-14
-84.898923730872	-1.7410800379195e-14
-84.833336329451	-1.7385155774783e-14
-84.767748928031	-1.7264521176635e-14
-84.702161526610	-1.7432057022103e-14
-84.636574125189	-1.7329250413281e-14
-84.570986723769	-1.7142487038488e-14
-84.505399322348	-1.7248459774202e-14
-84.439811920928	-1.7274130543983e-14
-84.374224519507	-1.7600690139726e-14
-84.308637118087	-1.7659455024458e-14
-84.243049716666	-1.7632213797671e-14
-84.177462315245	-1.7923356161940e-14
-84.111874913825	-1.7914069214799e-14
-84.046287512404	-1.7797615874452e-14
-83.980700110984	-1.7951383119098e-14
-83.915112709563	-1.7808387461448e-14
-83.849525308143	-1.7551234556551e-14
-83.783937906722	-1.7563094037862e-14
-83.718350505301	-1.7274377185475e-14
-83.652763103881	-1.6884028224260e-14
-83.587175702460	-1.6770881751585e-14
-83.521588301040	-1.6363317942674e-14
-83.456000899619	-1.5872701771458e-14
-83.390413498199	-1.5702978291180e-14
-83.324826096778	-1.5437046936190e-14
-83.259238695357	-1.5465363049347e-14
-83.193651293937	-1.5166209439878e-14
-83.128063892516	-1.4706558749226e-14
-83.062476491096	-1.4428931525437e-14
-82.996889089675	-1.3742451699362e-14
-82.931301688255	-1.2825533651547e-14
-82.865714286834	-1.2042805244937e-14
-82.800126885413	-1.0683782955106e-14
-82.734539483993	-8.8622541774142e-15
-82.668952082572	-6.8692745846007e-15
-82.603364681152	-4.0135620528964e-15
-82.537777279731	-3.8059161277404e-16
-82.472189878311	3.7402069042977e-15
-82.406602476890	4.4406305858667e-15
-82.341015075470	-8.3015786700530e-15
-82.275427674049	-2.0603286171371e-14
-82.209840272628	-3.2252415209927e-14
-82.144252871208	-4.7975150757440e-14
-82.078665469787	-6.0699131805902e-14
-82.013078068367	-6.8946380598451e-14
-81.947490666946	-7.2957989381312e-14
-81.881903265526	-7.2235461701313e-14
-81.816315864105	-6.8713913826201e-14
-81.750728462684	-6.9832047736329e-14
-81.685141061264	-6.5484176349038e-14
-81.619553659843	-4.3692672475216e-14
-81.553966258423	-1.9842939510106e-14
-81.488378857002	1.3687749378946e-15
-81.422791455582	2.1972543767044e-14
-81.357204054161	3.9771798049098e-14
-81.291616652740	5.3665746276685e-14
-81.226029251320	5.6457699662725e-14
-81.160441849899	5.1155542145511e-14
-81.094854448479	4.3293105959264e-14
-81.029267047058	3.4730049970316e-14
-80.963679645638	2.1303480753386e-14
-80.898092244217	7.0006694624029e-15
-80.832504842796	-1.4124540435792e-14
-80.766917441376	-3.1312473912633e-14
-80.701330039955	-4.3186289224778e-14
-80.635742638535	-5.4435952184240e-14
-80.570155237114	-6.4100252530324e-14
-80.504567835694	-6.6639239735148e-14
-80.438980434273	-6.4565984871069e-14
-80.373393032852	-6.0589364757158e-14
-80.307805631432	-5.3185237902883e-14
-80.242218230011	-4.0602918284128e-14
-80.176630828591	-3.0245283018141e-14
-80.111043427170	-1.6778758915638e-14
-80.045456025750	-6.0180743525566e-15
-79.979868624329	4.8752278279506e-15
-79.914281222908	1.3964893263298e-14
-79.848693821488	1.8501982339947e-14
-79.783106420067	2.1139177047650e-14
-79.717519018647	2.0545699183648e-14
-79.651931617226	1.6477549695251e-14
-79.586344215806	1.1401472754448e-14
-79.520756814385	3.3652435433898e-15
-79.455169412964	-4.6400710749381e-15
-79.389582011544	-1.2406647387674e-14
-79.323994610123	-1.9717718021175e-14
-79.258407208703	-2.6272011771363e-14
-79.192819807282	-3.1220288592167e-14
-79.127232405862	-3.3732330996141e-14
-79.061645004441	-3.3691214902488e-14
-78.996057603021	-3.1975052069538e-14
-78.930470201600	-2.9082482062282e-14
-78.864882800179	-2.4196331403006e-14
-78.799295398759	-1.8649347003042e-14
-78.733707997338	-1.3000916958460e-14
-78.668120595918	-6.7514778032432e-15
-78.602533194497	-8.7609483710376e-16
-78.536945793077	3.6800259042386e-15
-78.471358391656	7.5522778377087e-15
-78.405770990235	9.2541677947396e-15
-78.340183588815	9.8824355810116e-15
-78.274596187394	9.8147349120688e-15
-78.209008785974	8.8610568198700e-15
-78.143421384553	7.6359075803076e-15
-78.077833983133	6.1017062903452e-15
-78.012246581712	4.0063894067750e-15
-77.946659180291	1.6005558472574e-15
-77.881071778871	1.5351469784403e-16
-77.815484377450	-8.3711964381964e-16
-77.749896976030	-1.0269995805238e-15
-77.684309574609	-1.1599236613687e-18
-77.618722173189	1.4311639250169e-15
-77.553134771768	3.6118956579762e-15
-77.487547370347	6.0739619455393e-15
-77.421959968927	7.8550032835544e-15
-77.356372567506	1.0429799902981e-14
-77.290785166086	1.3384416157462e-14
-77.225197764665	1.6495601445172e-14
-77.159610363245	1.9031742305537e-14
-77.094022961824	2.1048094381197e-14
-77.028435560403	2.3622141389448e-14
-76.962848158983	2.5911535436750e-14
-76.897260757562	2.7856490138574e-14
-76.831673356142	3.0107598206615e-14
-76.766085954721	3.2989169042807e-14
-76.700498553301	3.6115975726793e-14
-76.634911151880	3.9338241101998e-14
-76.569323750459	4.3000159637234e-14
-76.503736349039	4.7041698772090e-14
-76.438148947618	4.9954694941202e-14
-76.372561546198	5.3153207987439e-14
-76.306974144777	5.6018313680355e-14
-76.241386743357	5.9111324054497e-14
-76.175799341936	6.1848054092942e-14
-76.110211940515	6.4037893732685e-14
-76.044624539095	6.6266778655173e-14
-75.979037137674	6.8188169888784e-14
-75.913449736254	7.0131933494097e-14
-75.847862334833	7.2687519677610e-14
-75.782274933413	7.4407688923881e-14
-75.716687531992	7.8579206391356e-14
-75.651100130572	8.4116533722765e-14
-75.585512729151	8.9845078751582e-14
-75.519925327730	9.6031728754723e-14
-75.454337926310	1.0384054030548e-13
-75.388750524889	1.1248435185624e-13
-75.323163123469	1.2192598073069e-13
-75.257575722048	1.3139601240319e-13
-75.191988320628	1.4106681679601e-13
-75.126400919207	1.5069077410431e-13
-75.060813517786	1.6013124727850e-13
-74.995226116366	1.6897492511074e-13
-74.929638714945	1.7680005821738e-13
-74.864051313525	1.8365480268639e-13
-74.798463912104	1.9098336708110e-13
-74.732876510684	1.9822673233392e-13
-74.667289109263	2.0505810350216e-13
-74.601701707842	2.1219482727268e-13
-74.536114306422	2.2033050408344e-13
-74.470526905001	2.2859428620478e-13
-74.404939503581	2.3784436855928e-13
