           x [mm]           y [mm]           z [mm]         Ex [V/m]         Ey [V/m]         Ez [V/m]
------------------------------------------------------------------------------------------------------
Sample 1 time=0.7
       -21.930133       -1.4620089       -49.708302                0                0                0
       -19.006115       -1.4620089       -49.708302                0                0                0
       -16.082098       -1.4620089       -49.708302                0                0                0
        -13.15808       -1.4620089       -49.708302                0                0                0
       -10.234062       -1.4620089       -49.708302                0                0                0
       -7.3100443       -1.4620089       -49.708302       -1317.5441       -22.315084      -0.16668524
       -4.3860266       -1.4620089       -49.708302       -1691.6362       -482.15173       -2.6976733
       -1.4620089       -1.4620089       -49.708302       -2532.4702       -2532.4758       -5.0339003
        1.4620089       -1.4620089       -49.708302        2532.4712       -2532.4727       -5.0274682
        4.3860266       -1.4620089       -49.708302        1691.6388       -482.15067       -2.6964447
        7.3100443       -1.4620089       -49.708302        1317.5437       -22.315098      -0.16969275
        10.234062       -1.4620089       -49.708302                0                0                0
         13.15808       -1.4620089       -49.708302                0                0                0
        16.082098       -1.4620089       -49.708302                0                0                0
        19.006115       -1.4620089       -49.708302                0                0                0
        21.930133       -1.4620089       -49.708302                0                0                0
        24.854151       -1.4620089       -49.708302                0                0                0
       -24.854151        1.4620089       -49.708302                0                0                0
       -21.930133        1.4620089       -49.708302                0                0                0
       -19.006115        1.4620089       -49.708302                0                0                0
       -16.082098        1.4620089       -49.708302                0                0                0
        -13.15808        1.4620089       -49.708302                0                0                0
       -10.234062        1.4620089       -49.708302                0                0                0
       -7.3100443        1.4620089       -49.708302       -1317.5406        22.316504      -0.16219689
       -4.3860266        1.4620089       -49.708302       -1691.6366        482.15442       -2.7166603
       -1.4620089        1.4620089       -49.708302       -2532.4866        2532.4761       -5.0571208
        1.4620089        1.4620089       -49.708302        2532.4788        2532.4775       -5.0610361
        4.3860266        1.4620089       -49.708302        1691.6364         482.1557       -2.7192383
        7.3100443        1.4620089       -49.708302        1317.5541        22.316914      -0.17220941
        10.234062        1.4620089       -49.708302                0                0                0
         13.15808        1.4620089       -49.708302                0                0                0
        16.082098        1.4620089       -49.708302                0                0                0
        19.006115        1.4620089       -49.708302                0                0                0
        21.930133        1.4620089       -49.708302                0                0                0
        24.854151        1.4620089       -49.708302                0                0                0
       -24.854151        4.3860266       -49.708302                0                0                0
       -21.930133        4.3860266       -49.708302                0                0                0
       -19.006115        4.3860266       -49.708302                0                0                0
       -16.082098        4.3860266       -49.708302                0                0                0
        -13.15808        4.3860266       -49.708302                0                0                0
       -10.234062        4.3860266       -49.708302                0                0                0
       -7.3100443        4.3860266       -49.708302       -752.36353        44.154533     -0.095852561
       -4.3860266        4.3860266       -49.708302       -781.18451        781.18994       -1.6616389
       -1.4620089        4.3860266       -49.708302       -482.15222        1691.6333       -2.6748862
        1.4620089        4.3860266       -49.708302        482.15259         1691.634       -2.7037213
        4.3860266        4.3860266       -49.708302        781.18384        781.19196       -1.6200724
        7.3100443        4.3860266       -49.708302        752.37244        44.154419      -0.10101601
        10.234062        4.3860266       -49.708302                0                0                0
         13.15808        4.3860266       -49.708302                0                0                0
        16.082098        4.3860266       -49.708302                0                0                0
        19.006115        4.3860266       -49.708302                0                0                0
        21.930133        4.3860266       -49.708302                0                0                0
        24.854151        4.3860266       -49.708302                0                0                0
       -24.854151        7.3100443       -49.708302                0                0                0
       -21.930133        7.3100443       -49.708302                0                0                0
       -19.006115        7.3100443       -49.708302                0                0                0
       -16.082098        7.3100443       -49.708302                0                0                0
        -13.15808        7.3100443       -49.708302                0                0                0
       -10.234062        7.3100443       -49.708302                0                0                0
       -7.3100443        7.3100443       -49.708302       -46.173119         46.17654    -0.0078348499
       -4.3860266        7.3100443       -49.708302       -44.155197        752.36096      -0.10686911
       -1.4620089        7.3100443       -49.708302       -22.316071        1317.5337      -0.17111142
        1.4620089        7.3100443       -49.708302        22.316658        1317.5376      -0.17317121
        4.3860266        7.3100443       -49.708302        44.157372        752.36102      -0.10767887
        7.3100443        7.3100443       -49.708302        46.175186        46.175255    -0.0071083428
        10.234062        7.3100443       -49.708302                0                0                0
         13.15808        7.3100443       -49.708302                0                0                0
        16.082098        7.3100443       -49.708302                0                0                0
        19.006115        7.3100443       -49.708302                0                0                0
        21.930133        7.3100443       -49.708302                0                0                0
        24.854151        7.3100443       -49.708302                0                0                0
       -24.854151        10.234062       -49.708302                0                0                0
       -21.930133        10.234062       -49.708302                0                0                0
       -19.006115        10.234062       -49.708302                0                0                0
       -16.082098        10.234062       -49.708302                0                0                0
        -13.15808        10.234062       -49.708302                0                0                0
       -10.234062        10.234062       -49.708302                0                0                0
       -7.3100443        10.234062       -49.708302                0                0                0
       -4.3860266        10.234062       -49.708302                0                0                0
       -1.4620089        10.234062       -49.708302                0                0                0
        1.4620089        10.234062       -49.708302                0                0                0
        4.3860266        10.234062       -49.708302                0                0                0
        7.3100443        10.234062       -49.708302                0                0                0
        10.234062        10.234062       -49.708302                0                0                0
         13.15808        10.234062       -49.708302                0                0                0
        16.082098        10.234062       -49.708302                0                0                0
        19.006115        10.234062       -49.708302                0                0                0
        21.930133        10.234062       -49.708302                0                0                0
        24.854151        10.234062       -49.708302                0                0                0
