           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01  1.6361E+01
 -5.9375E+01  1.7228E+01
 -5.8750E+01  1.8095E+01
 -5.8125E+01  1.9523E+01
 -5.7500E+01  2.0989E+01
 -5.6875E+01  2.2295E+01
 -5.6250E+01  2.3577E+01
 -5.5625E+01  2.4770E+01
 -5.5000E+01  2.5943E+01
 -5.4375E+01  2.6856E+01
 -5.3750E+01  2.7680E+01
 -5.3125E+01  2.8411E+01
 -5.2500E+01  2.9099E+01
 -5.1875E+01  2.9713E+01
 -5.1250E+01  3.0282E+01
 -5.0625E+01  3.0760E+01
 -5.0000E+01  3.1164E+01
 -4.9375E+01  3.1507E+01
 -4.8750E+01  3.1786E+01
 -4.8125E+01  3.1983E+01
 -4.7500E+01  3.2066E+01
 -4.6875E+01  3.2134E+01
 -4.6250E+01  3.2175E+01
 -4.5625E+01  3.2191E+01
 -4.5000E+01  3.2147E+01
 -4.4375E+01  3.2083E+01
 -4.3750E+01  3.1949E+01
 -4.3125E+01  3.1785E+01
 -4.2500E+01  3.1468E+01
 -4.1875E+01  3.1125E+01
 -4.1250E+01  3.0553E+01
 -4.0625E+01  2.9976E+01
 -4.0000E+01  2.9223E+01
 -3.9375E+01  2.8470E+01
 -3.8750E+01  2.7317E+01
 -3.8125E+01  2.6152E+01
 -3.7500E+01  2.4391E+01
 -3.6875E+01  2.2567E+01
 -3.6250E+01  2.0040E+01
 -3.5625E+01  1.7377E+01
 -3.5000E+01  1.3732E+01
 -3.4375E+01  9.7999E+00
 -3.3750E+01  4.6202E+00
 -3.3125E+01 -1.0699E+00
 -3.2500E+01 -8.3792E+00
 -3.1875E+01 -1.6579E+01
 -3.1250E+01 -2.6963E+01
 -3.0625E+01 -3.8925E+01
 -3.0000E+01 -5.3549E+01
 -2.9375E+01 -7.0669E+01
 -2.8750E+01 -9.1090E+01
 -2.8125E+01 -1.1552E+02
 -2.7500E+01 -1.4402E+02
 -2.6875E+01 -1.7896E+02
 -2.6250E+01 -2.1855E+02
 -2.5625E+01 -2.6790E+02
 -2.5000E+01 -3.2233E+02
 -2.4375E+01 -3.9131E+02
 -2.3750E+01 -4.6542E+02
 -2.3125E+01 -5.6082E+02
 -2.2500E+01 -6.6065E+02
 -2.1875E+01 -7.9026E+02
 -2.1250E+01 -9.2258E+02
 -2.0625E+01 -1.0943E+03
 -2.0000E+01 -1.2660E+03
 -1.9375E+01 -1.4851E+03
 -1.8750E+01 -1.7042E+03
 -1.8125E+01 -1.9707E+03
 -1.7500E+01 -2.2372E+03
 -1.6875E+01 -2.5424E+03
 -1.6250E+01 -2.8477E+03
 -1.5625E+01 -3.1705E+03
 -1.5000E+01 -3.4933E+03
 -1.4375E+01 -3.8017E+03
 -1.3750E+01 -4.1101E+03
 -1.3125E+01 -4.3795E+03
 -1.2500E+01 -4.6451E+03
 -1.1875E+01 -4.8651E+03
 -1.1250E+01 -5.0755E+03
 -1.0625E+01 -5.2459E+03
 -1.0000E+01 -5.4023E+03
 -9.3750E+00 -5.5286E+03
 -8.7500E+00 -5.6390E+03
 -8.1250E+00 -5.7286E+03
 -7.5000E+00 -5.8023E+03
