           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01  3.7059E+00
 -5.9375E+01  4.0050E+00
 -5.8750E+01  4.3041E+00
 -5.8125E+01  4.7149E+00
 -5.7500E+01  5.1333E+00
 -5.6875E+01  5.5272E+00
 -5.6250E+01  5.9175E+00
 -5.5625E+01  6.3481E+00
 -5.5000E+01  6.7884E+00
 -5.4375E+01  7.0875E+00
 -5.3750E+01  7.3374E+00
 -5.3125E+01  7.5937E+00
 -5.2500E+01  7.8529E+00
 -5.1875E+01  8.1270E+00
 -5.1250E+01  8.4106E+00
 -5.0625E+01  8.6718E+00
 -5.0000E+01  8.9147E+00
 -4.9375E+01  9.1551E+00
 -4.8750E+01  9.3928E+00
 -4.8125E+01  9.5981E+00
 -4.7500E+01  9.7583E+00
 -4.6875E+01  9.9475E+00
 -4.6250E+01  1.0189E+01
 -4.5625E+01  1.0450E+01
 -4.5000E+01  1.0759E+01
 -4.4375E+01  1.1091E+01
 -4.3750E+01  1.1503E+01
 -4.3125E+01  1.1929E+01
 -4.2500E+01  1.2424E+01
 -4.1875E+01  1.2931E+01
 -4.1250E+01  1.3549E+01
 -4.0625E+01  1.4178E+01
 -4.0000E+01  1.5161E+01
 -3.9375E+01  1.6143E+01
 -3.8750E+01  1.7486E+01
 -3.8125E+01  1.8840E+01
 -3.7500E+01  2.0623E+01
 -3.6875E+01  2.2451E+01
 -3.6250E+01  2.4951E+01
 -3.5625E+01  2.7580E+01
 -3.5000E+01  3.1046E+01
 -3.4375E+01  3.4756E+01
 -3.3750E+01  3.9614E+01
 -3.3125E+01  4.4940E+01
 -3.2500E+01  5.1767E+01
 -3.1875E+01  5.9419E+01
 -3.1250E+01  6.8901E+01
 -3.0625E+01  7.9705E+01
 -3.0000E+01  9.2934E+01
 -2.9375E+01  1.0844E+02
 -2.8750E+01  1.2695E+02
 -2.8125E+01  1.4911E+02
 -2.7500E+01  1.7483E+02
 -2.6875E+01  2.0617E+02
 -2.6250E+01  2.4171E+02
 -2.5625E+01  2.8607E+02
 -2.5000E+01  3.3508E+02
 -2.4375E+01  3.9747E+02
 -2.3750E+01  4.6452E+02
 -2.3125E+01  5.5103E+02
 -2.2500E+01  6.4162E+02
 -2.1875E+01  7.5968E+02
