           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01 -7.9251E-02
 -5.9375E+01 -1.6884E-02
 -5.8750E+01  4.5483E-02
 -5.8125E+01  2.4694E-02
 -5.7500E+01 -1.8294E-03
 -5.6875E+01 -6.9184E-03
 -5.6250E+01 -8.8318E-03
 -5.5625E+01  6.6012E-02
 -5.5000E+01  1.5928E-01
 -5.4375E+01  1.4304E-01
 -5.3750E+01  8.8724E-02
 -5.3125E+01  6.7525E-02
 -5.2500E+01  6.2099E-02
 -5.1875E+01  8.9748E-02
 -5.1250E+01  1.3829E-01
 -5.0625E+01  1.7641E-01
 -5.0000E+01  2.0597E-01
 -4.9375E+01  2.3932E-01
 -4.8750E+01  2.7671E-01
 -4.8125E+01  2.8251E-01
 -4.7500E+01  2.4458E-01
 -4.6875E+01  2.3096E-01
 -4.6250E+01  2.6154E-01
 -4.5625E+01  3.0167E-01
 -4.5000E+01  3.6513E-01
 -4.4375E+01  4.3828E-01
 -4.3750E+01  5.4462E-01
 -4.3125E+01  6.4947E-01
 -4.2500E+01  7.4654E-01
 -4.1875E+01  8.4208E-01
 -4.1250E+01  9.2328E-01
 -4.0625E+01  1.0097E+00
 -4.0000E+01  1.2535E+00
 -3.9375E+01  1.4973E+00
 -3.8750E+01  1.8221E+00
 -3.8125E+01  2.1495E+00
 -3.7500E+01  2.5286E+00
 -3.6875E+01  2.9132E+00
 -3.6250E+01  3.4666E+00
 -3.5625E+01  4.0525E+00
 -3.5000E+01  4.8167E+00
 -3.4375E+01  5.6328E+00
 -3.3750E+01  6.7306E+00
 -3.3125E+01  7.9437E+00
 -3.2500E+01  9.5278E+00
 -3.1875E+01  1.1316E+01
 -3.1250E+01  1.3481E+01
 -3.0625E+01  1.5917E+01
 -3.0000E+01  1.8935E+01
 -2.9375E+01  2.2499E+01
 -2.8750E+01  2.6777E+01
 -2.8125E+01  3.1923E+01
 -2.7500E+01  3.7846E+01
 -2.6875E+01  4.5001E+01
 -2.6250E+01  5.3123E+01
 -2.5625E+01  6.3276E+01
 -2.5000E+01  7.4517E+01
 -2.4375E+01  8.8886E+01
 -2.3750E+01  1.0432E+02
 -2.3125E+01  1.2420E+02
 -2.2500E+01  1.4500E+02
