           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01  1.2833E+01
 -5.9375E+01  1.3542E+01
 -5.8750E+01  1.4250E+01
 -5.8125E+01  1.5399E+01
 -5.7500E+01  1.6579E+01
 -5.6875E+01  1.7637E+01
 -5.6250E+01  1.8677E+01
 -5.5625E+01  1.9662E+01
 -5.5000E+01  2.0633E+01
 -5.4375E+01  2.1375E+01
 -5.3750E+01  2.2038E+01
 -5.3125E+01  2.2630E+01
 -5.2500E+01  2.3189E+01
 -5.1875E+01  2.3694E+01
 -5.1250E+01  2.4166E+01
 -5.0625E+01  2.4557E+01
 -5.0000E+01  2.4881E+01
 -4.9375E+01  2.5148E+01
 -4.8750E+01  2.5355E+01
 -4.8125E+01  2.5480E+01
 -4.7500E+01  2.5492E+01
 -4.6875E+01  2.5482E+01
 -4.6250E+01  2.5433E+01
 -4.5625E+01  2.5352E+01
 -4.5000E+01  2.5191E+01
 -4.4375E+01  2.5000E+01
 -4.3750E+01  2.4707E+01
 -4.3125E+01  2.4373E+01
 -4.2500E+01  2.3830E+01
 -4.1875E+01  2.3254E+01
 -4.1250E+01  2.2361E+01
 -4.0625E+01  2.1459E+01
 -4.0000E+01  2.0251E+01
 -3.9375E+01  1.9044E+01
 -3.8750E+01  1.7258E+01
 -3.8125E+01  1.5452E+01
 -3.7500E+01  1.2809E+01
 -3.6875E+01  1.0077E+01
 -3.6250E+01  6.3215E+00
 -3.5625E+01  2.3691E+00
 -3.5000E+01 -2.9801E+00
 -3.4375E+01 -8.7368E+00
 -3.3750E+01 -1.6286E+01
 -3.3125E+01 -2.4567E+01
 -3.2500E+01 -3.5176E+01
 -3.1875E+01 -4.7065E+01
 -3.1250E+01 -6.2043E+01
 -3.0625E+01 -7.9253E+01
 -3.0000E+01 -1.0027E+02
 -2.9375E+01 -1.2484E+02
 -2.8750E+01 -1.5414E+02
 -2.8125E+01 -1.8915E+02
 -2.7500E+01 -2.2993E+02
 -2.6875E+01 -2.7984E+02
 -2.6250E+01 -3.3636E+02
 -2.5625E+01 -4.0680E+02
 -2.5000E+01 -4.8447E+02
 -2.4375E+01 -5.8297E+02
 -2.3750E+01 -6.8879E+02
 -2.3125E+01 -8.2518E+02
 -2.2500E+01 -9.6795E+02
 -2.1875E+01 -1.1538E+03
 -2.1250E+01 -1.3436E+03
 -2.0625E+01 -1.5912E+03
 -2.0000E+01 -1.8387E+03
 -1.9375E+01 -2.1567E+03
 -1.8750E+01 -2.4748E+03
 -1.8125E+01 -2.8646E+03
 -1.7500E+01 -3.2545E+03
 -1.6875E+01 -3.7044E+03
 -1.6250E+01 -4.1543E+03
 -1.5625E+01 -4.6327E+03
 -1.5000E+01 -5.1111E+03
 -1.4375E+01 -5.5691E+03
 -1.3750E+01 -6.0270E+03
 -1.3125E+01 -6.4263E+03
 -1.2500E+01 -6.8200E+03
 -1.1875E+01 -7.1452E+03
 -1.1250E+01 -7.4560E+03
 -1.0625E+01 -7.7078E+03
 -1.0000E+01 -7.9388E+03
 -9.3750E+00 -8.1266E+03
 -8.7500E+00 -8.2913E+03
 -8.1250E+00 -8.4273E+03
 -7.5000E+00 -8.5411E+03
 -6.8750E+00 -8.6371E+03
 -6.2500E+00 -8.7135E+03
 -5.6250E+00 -8.7792E+03
 -5.0000E+00 -8.8284E+03
 -4.3750E+00 -8.8714E+03
 -3.7500E+00 -8.9006E+03
 -3.1250E+00 -8.9265E+03
 -2.5000E+00 -8.9406E+03
 -1.8750E+00 -8.9531E+03
 -1.2500E+00 -8.9553E+03
 -6.2500E-01 -8.9569E+03
  0.0000E+00 -8.9484E+03
  6.2500E-01 -8.9398E+03
  1.2500E+00 -8.9212E+03
  1.8750E+00 -8.9020E+03
  2.5000E+00 -8.8727E+03
  3.1250E+00 -8.8419E+03
  3.7500E+00 -8.7999E+03
  4.3750E+00 -8.7548E+03
  5.0000E+00 -8.6966E+03
  5.6250E+00 -8.6327E+03
  6.2500E+00 -8.5531E+03
  6.8750E+00 -8.4634E+03
  7.5000E+00 -8.3553E+03
  8.1250E+00 -8.2304E+03
  8.7500E+00 -8.0846E+03
  9.3750E+00 -7.9118E+03
  1.0000E+01 -7.7173E+03
  1.0625E+01 -7.4821E+03
  1.1250E+01 -7.2272E+03
  1.1875E+01 -6.9169E+03
  1.2500E+01 -6.5929E+03
  1.3125E+01 -6.2045E+03
  1.3750E+01 -5.8108E+03
  1.4375E+01 -5.3618E+03
  1.5000E+01 -4.9129E+03
  1.5625E+01 -4.4453E+03
  1.6250E+01 -3.9777E+03
  1.6875E+01 -3.5378E+03
  1.7500E+01 -3.0980E+03
  1.8125E+01 -2.7160E+03
  1.8750E+01 -2.3340E+03
  1.9375E+01 -2.0213E+03
  2.0000E+01 -1.7085E+03
  2.0625E+01 -1.4637E+03
  2.1250E+01 -1.2190E+03
  2.1875E+01 -1.0300E+03
  2.2500E+01 -8.4478E+02
  2.3125E+01 -7.0129E+02
  2.3750E+01 -5.6397E+02
  2.4375E+01 -4.5618E+02
  2.5000E+01 -3.5546E+02
  2.5625E+01 -2.7509E+02
  2.6250E+01 -2.0179E+02
  2.6875E+01 -1.4218E+02
  2.7500E+01 -8.9074E+01
  2.8125E+01 -4.4825E+01
  2.8750E+01 -6.1686E+00
  2.9375E+01  2.6761E+01
  3.0000E+01  5.4973E+01
  3.0625E+01  7.9499E+01
  3.1250E+01  1.0009E+02
  3.1875E+01  1.1835E+02
  3.2500E+01  1.3339E+02
  3.3125E+01  1.4697E+02
  3.3750E+01  1.5788E+02
  3.4375E+01  1.6785E+02
  3.5000E+01  1.7554E+02
  3.5625E+01  1.8260E+02
  3.6250E+01  1.8751E+02
  3.6875E+01  1.9201E+02
  3.7500E+01  1.9442E+02
  3.8125E+01  1.9659E+02
  3.8750E+01  1.9658E+02
  3.9375E+01  1.9648E+02
  4.0000E+01  1.9376E+02
  4.0625E+01  1.9104E+02
  4.1250E+01  1.8552E+02
  4.1875E+01  1.7991E+02
  4.2500E+01  1.7146E+02
  4.3125E+01  1.6271E+02
  4.3750E+01  1.5100E+02
  4.4375E+01  1.3872E+02
  4.5000E+01  1.2360E+02
  4.5625E+01  1.0764E+02
  4.6250E+01  8.9016E+01
  4.6875E+01  6.9297E+01
  4.7500E+01  4.7359E+01
  4.8125E+01  2.4201E+01
  4.8750E+01 -4.9899E-01
  4.9375E+01 -2.6311E+01
  5.0000E+01 -5.2923E+01
  5.0625E+01 -8.0283E+01
  5.1250E+01 -1.0745E+02
  5.1875E+01 -1.3439E+02
  5.2500E+01 -1.6034E+02
  5.3125E+01 -1.8472E+02
  5.3750E+01 -2.0730E+02
  5.4375E+01 -2.2610E+02
  5.5000E+01 -2.4257E+02
  5.5625E+01 -2.5236E+02
  5.6250E+01 -2.5978E+02
  5.6875E+01 -2.5729E+02
  5.7500E+01 -2.5276E+02
  5.8125E+01 -2.3441E+02
  5.8750E+01 -2.1636E+02
  5.9375E+01 -2.0280E+02
  6.0000E+01 -1.8924E+02
