           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01 -1.1281E-01
 -5.9375E+01 -5.2341E-02
 -5.8750E+01  8.1298E-03
 -5.8125E+01 -1.7624E-02
 -5.7500E+01 -4.9325E-02
 -5.6875E+01 -6.0919E-02
 -5.6250E+01 -6.9534E-02
 -5.5625E+01 -2.8319E-03
 -5.5000E+01  8.1946E-02
 -5.4375E+01  5.7986E-02
 -5.3750E+01 -3.7959E-03
 -5.3125E+01 -3.5281E-02
 -5.2500E+01 -5.2340E-02
 -5.1875E+01 -3.7484E-02
 -5.1250E+01 -2.4708E-03
 -5.0625E+01  2.0942E-02
 -5.0000E+01  3.4802E-02
 -4.9375E+01  4.9867E-02
 -4.8750E+01  6.6218E-02
 -4.8125E+01  4.8454E-02
 -4.7500E+01 -1.6546E-02
 -4.6875E+01 -6.2140E-02
 -4.6250E+01 -7.2450E-02
 -4.5625E+01 -7.7361E-02
 -4.5000E+01 -6.9079E-02
 -4.4375E+01 -5.6321E-02
 -4.3750E+01 -2.8218E-02
 -4.3125E+01 -7.1784E-03
 -4.2500E+01 -2.2864E-02
 -4.1875E+01 -4.4556E-02
 -4.1250E+01 -1.2230E-01
 -4.0625E+01 -1.9703E-01
 -4.0000E+01 -1.8107E-01
 -3.9375E+01 -1.6512E-01
 -3.8750E+01 -1.6114E-01
 -3.8125E+01 -1.5757E-01
 -3.7500E+01 -2.2912E-01
 -3.6875E+01 -3.0872E-01
 -3.6250E+01 -3.8596E-01
 -3.5625E+01 -4.6274E-01
 -3.5000E+01 -5.8083E-01
 -3.4375E+01 -7.1096E-01
 -3.3750E+01 -8.5044E-01
 -3.3125E+01 -9.9375E-01
 -3.2500E+01 -1.1422E+00
 -3.1875E+01 -1.2934E+00
 -3.1250E+01 -1.5527E+00
 -3.0625E+01 -1.8900E+00
 -3.0000E+01 -2.2618E+00
 -2.9375E+01 -2.6659E+00
 -2.8750E+01 -3.1193E+00
 -2.8125E+01 -3.6327E+00
 -2.7500E+01 -4.2922E+00
 -2.6875E+01 -5.1834E+00
 -2.6250E+01 -6.1824E+00
 -2.5625E+01 -7.4081E+00
 -2.5000E+01 -8.7280E+00
 -2.4375E+01 -1.0318E+01
 -2.3750E+01 -1.2037E+01
 -2.3125E+01 -1.4288E+01
 -2.2500E+01 -1.6653E+01
 -2.1875E+01 -1.9788E+01
 -2.1250E+01 -2.2988E+01
 -2.0625E+01 -2.7128E+01
 -2.0000E+01 -3.1268E+01
 -1.9375E+01 -3.6656E+01
 -1.8750E+01 -4.2044E+01
 -1.8125E+01 -4.8668E+01
 -1.7500E+01 -5.5291E+01
 -1.6875E+01 -6.2944E+01
 -1.6250E+01 -7.0597E+01
 -1.5625E+01 -7.8849E+01
 -1.5000E+01 -8.7101E+01
 -1.4375E+01 -9.4930E+01
 -1.3750E+01 -1.0276E+02
 -1.3125E+01 -1.0951E+02
 -1.2500E+01 -1.1616E+02
 -1.1875E+01 -1.2159E+02
 -1.1250E+01 -1.2676E+02
 -1.0625E+01 -1.3090E+02
 -1.0000E+01 -1.3468E+02
 -9.3750E+00 -1.3770E+02
 -8.7500E+00 -1.4031E+02
