           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01 -1.1229E-01
 -5.9375E+01 -5.1087E-02
 -5.8750E+01  1.0118E-02
 -5.8125E+01 -1.5628E-02
 -5.7500E+01 -4.7370E-02
 -5.6875E+01 -5.8748E-02
 -5.6250E+01 -6.7110E-02
 -5.5625E+01  1.2908E-04
 -5.5000E+01  8.5513E-02
 -5.4375E+01  6.1656E-02
 -5.3750E+01 -1.9643E-04
 -5.3125E+01 -3.0859E-02
 -5.2500E+01 -4.6670E-02
 -5.1875E+01 -3.0758E-02
 -5.1250E+01  5.1898E-03
 -5.0625E+01  3.0023E-02
 -5.0000E+01  4.5704E-02
 -4.9375E+01  6.3003E-02
 -4.8750E+01  8.2027E-02
 -4.8125E+01  6.7151E-02
 -4.7500E+01  5.3381E-03
 -4.6875E+01 -3.6356E-02
 -4.6250E+01 -4.1472E-02
 -4.5625E+01 -4.0681E-02
 -4.5000E+01 -2.5455E-02
 -4.4375E+01 -5.0452E-03
 -4.3750E+01  3.3137E-02
 -4.3125E+01  6.5013E-02
 -4.2500E+01  6.4102E-02
 -4.1875E+01  5.7742E-02
 -4.1250E+01  5.1742E-04
 -4.0625E+01 -5.3371E-02
 -4.0000E+01 -7.1837E-03
 -3.9375E+01  3.9004E-02
 -3.8750E+01  8.5033E-02
 -3.8125E+01  1.3106E-01
 -3.7500E+01  1.1912E-01
 -3.6875E+01  1.0097E-01
 -3.6250E+01  1.0717E-01
 -3.5625E+01  1.1804E-01
 -3.5000E+01  1.1604E-01
 -3.4375E+01  1.1029E-01
 -3.3750E+01  1.3375E-01
 -3.3125E+01  1.6916E-01
 -3.2500E+01  2.4868E-01
 -3.1875E+01  3.5244E-01
 -3.1250E+01  4.1136E-01
 -3.0625E+01  4.3788E-01
 -3.0000E+01  5.1000E-01
 -2.9375E+01  6.2489E-01
 -2.8750E+01  7.8890E-01
 -2.8125E+01  1.0126E+00
 -2.7500E+01  1.2087E+00
 -2.6875E+01  1.3612E+00
 -2.6250E+01  1.5435E+00
 -2.5625E+01  1.7884E+00
 -2.5000E+01  2.0904E+00
 -2.4375E+01  2.5561E+00
 -2.3750E+01  3.0473E+00
 -2.3125E+01  3.6443E+00
 -2.2500E+01  4.2614E+00
 -2.1875E+01  5.0139E+00
 -2.1250E+01  5.7861E+00
 -2.0625E+01  6.8455E+00
 -2.0000E+01  7.9048E+00
 -1.9375E+01  9.2331E+00
 -1.8750E+01  1.0561E+01
 -1.8125E+01  1.2221E+01
 -1.7500E+01  1.3880E+01
 -1.6875E+01  1.5836E+01
 -1.6250E+01  1.7791E+01
 -1.5625E+01  1.9784E+01
 -1.5000E+01  2.1776E+01
 -1.4375E+01  2.3737E+01
 -1.3750E+01  2.5698E+01
 -1.3125E+01  2.7424E+01
