           Z  Fieldvalue
 ----------- -----------
 -6.0000E+01 -1.0908E-01
 -5.9375E+01 -4.8978E-02
 -5.8750E+01  1.1120E-02
 -5.8125E+01 -1.4127E-02
 -5.7500E+01 -4.5259E-02
 -5.6875E+01 -5.6771E-02
 -5.6250E+01 -6.5375E-02
 -5.5625E+01  1.8701E-03
 -5.5000E+01  8.7319E-02
 -5.4375E+01  6.3670E-02
 -5.3750E+01  2.0741E-03
 -5.3125E+01 -2.8764E-02
 -5.2500E+01 -4.4955E-02
 -5.1875E+01 -2.9190E-02
 -5.1250E+01  6.7572E-03
 -5.0625E+01  3.1089E-02
 -5.0000E+01  4.5855E-02
 -4.9375E+01  6.2616E-02
 -4.8750E+01  8.1504E-02
 -4.8125E+01  6.5995E-02
 -4.7500E+01  2.8603E-03
 -4.6875E+01 -3.9850E-02
 -4.6250E+01 -4.5427E-02
 -4.5625E+01 -4.5468E-02
 -4.5000E+01 -3.1980E-02
 -4.4375E+01 -1.3315E-02
 -4.3750E+01  2.3103E-02
 -4.3125E+01  5.3034E-02
 -4.2500E+01  4.9237E-02
 -4.1875E+01  3.9877E-02
 -4.1250E+01 -2.1411E-02
 -4.0625E+01 -7.9424E-02
 -4.0000E+01 -3.9190E-02
 -3.9375E+01  1.0449E-03
 -3.8750E+01  3.8904E-02
 -3.8125E+01  7.6685E-02
 -3.7500E+01  5.3195E-02
 -3.6875E+01  2.3141E-02
 -3.6250E+01  1.3320E-02
 -3.5625E+01  7.3891E-03
 -3.5000E+01 -1.6813E-02
 -3.4375E+01 -4.6343E-02
 -3.3750E+01 -5.4133E-02
 -3.3125E+01 -5.3029E-02
 -3.2500E+01 -1.6870E-02
 -3.1875E+01  3.8570E-02
 -3.1250E+01  3.6812E-02
 -3.0625E+01 -6.2559E-03
 -3.0000E+01 -1.8629E-02
 -2.9375E+01 -2.2262E-03
 -2.8750E+01  4.4426E-02
 -2.8125E+01  1.2781E-01
 -2.7500E+01  1.6114E-01
 -2.6875E+01  1.1522E-01
 -2.6250E+01  7.2944E-02
 -2.5625E+01  3.8339E-02
 -2.5000E+01  3.2065E-02
 -2.4375E+01  1.0724E-01
 -2.3750E+01  1.7866E-01
 -2.3125E+01  2.3438E-01
 -2.2500E+01  2.8461E-01
 -2.1875E+01  2.9785E-01
 -2.1250E+01  3.1478E-01
 -2.0625E+01  3.8514E-01
 -2.0000E+01  4.5550E-01
 -1.9375E+01  5.0477E-01
 -1.8750E+01  5.5405E-01
 -1.8125E+01  6.3451E-01
 -1.7500E+01  7.1498E-01
 -1.6875E+01  8.3780E-01
 -1.6250E+01  9.6062E-01
 -1.5625E+01  9.9756E-01
 -1.5000E+01  1.0345E+00
 -1.4375E+01  1.1298E+00
 -1.3750E+01  1.2252E+00
 -1.3125E+01  1.3393E+00
 -1.2500E+01  1.4551E+00
 -1.1875E+01  1.5584E+00
 -1.1250E+01  1.6591E+00
 -1.0625E+01  1.7402E+00
 -1.0000E+01  1.8144E+00
 -9.3750E+00  1.8924E+00
 -8.7500E+00  1.9724E+00
 -8.1250E+00  2.0473E+00
 -7.5000E+00  2.1182E+00
 -6.8750E+00  2.1565E+00
 -6.2500E+00  2.1590E+00
 -5.6250E+00  2.1829E+00
 -5.0000E+00  2.2399E+00
 -4.3750E+00  2.3022E+00
 -3.7500E+00  2.3769E+00
 -3.1250E+00  2.4490E+00
 -2.5000E+00  2.5119E+00
 -1.8750E+00  2.5596E+00
 -1.2500E+00  2.5066E+00
 -6.2500E-01  2.4544E+00
  0.0000E+00  2.4196E+00
  6.2500E-01  2.3848E+00
  1.2500E+00  2.4351E+00
  1.8750E+00  2.4893E+00
  2.5000E+00  2.4910E+00
  3.1250E+00  2.4848E+00
  3.7500E+00  2.4336E+00
  4.3750E+00  2.3698E+00
  5.0000E+00  2.2706E+00
  5.6250E+00  2.1558E+00
  6.2500E+00  2.0989E+00
  6.8750E+00  2.0792E+00
  7.5000E+00  2.0652E+00
  8.1250E+00  2.0565E+00
  8.7500E+00  2.0069E+00
  9.3750E+00  1.9041E+00
  1.0000E+01  1.8132E+00
  1.0625E+01  1.7446E+00
  1.1250E+01  1.6671E+00
  1.1875E+01  1.5640E+00
  1.2500E+01  1.4527E+00
  1.3125E+01  1.3023E+00
  1.3750E+01  1.1614E+00
  1.4375E+01  1.1201E+00
  1.5000E+01  1.0787E+00
  1.5625E+01  1.0329E+00
  1.6250E+01  9.8712E-01
  1.6875E+01  8.6409E-01
  1.7500E+01  7.4107E-01
  1.8125E+01  6.4132E-01
  1.8750E+01  5.4156E-01
  1.9375E+01  4.8443E-01
  2.0000E+01  4.2729E-01
  2.0625E+01  3.6474E-01
  2.1250E+01  3.0218E-01
  2.1875E+01  2.5421E-01
  2.2500E+01  2.0724E-01
  2.3125E+01  1.3340E-01
  2.3750E+01  5.5566E-02
  2.4375E+01  7.6955E-02
  2.5000E+01  1.2216E-01
  2.5625E+01  1.5810E-01
  2.6250E+01  1.9082E-01
  2.6875E+01  1.3787E-01
  2.7500E+01  4.4121E-02
  2.8125E+01  6.2318E-03
  2.8750E+01  3.6210E-03
  2.9375E+01  2.2532E-02
  3.0000E+01  5.9166E-02
  3.0625E+01  7.0064E-02
  3.1250E+01  5.3510E-02
  3.1875E+01  2.9571E-02
  3.2500E+01 -4.5958E-03
  3.3125E+01 -3.1196E-02
  3.3750E+01 -4.4037E-02
  3.4375E+01 -4.2903E-02
  3.5000E+01 -7.6073E-03
  3.5625E+01  1.8215E-02
  3.6250E+01  1.1556E-02
  3.6875E+01  3.3969E-03
  3.7500E+01 -1.2557E-02
  3.8125E+01 -2.1798E-02
  3.8750E+01  3.1623E-02
  3.9375E+01  8.2413E-02
  4.0000E+01  5.4243E-02
  4.0625E+01  2.6074E-02
  4.1250E+01 -1.3926E-02
  4.1875E+01 -5.4320E-02
  4.2500E+01 -3.8192E-02
  4.3125E+01 -1.6007E-02
  4.3750E+01 -1.5652E-02
  4.4375E+01 -1.9494E-02
  4.5000E+01  8.7586E-03
  4.5625E+01  4.6372E-02
  4.6250E+01  5.1855E-02
  4.6875E+01  4.4194E-02
  4.7500E+01  2.4599E-02
  4.8125E+01 -1.5585E-03
  4.8750E+01  2.7876E-05
  4.9375E+01  2.1652E-02
  5.0000E+01  9.6492E-03
  5.0625E+01 -3.3877E-02
  5.1250E+01 -2.9570E-02
  5.1875E+01  3.2822E-02
  5.2500E+01  4.7961E-02
  5.3125E+01 -1.1718E-02
  5.3750E+01 -6.6205E-02
  5.4375E+01 -1.0979E-01
  5.5000E+01 -1.1641E-01
  5.5625E+01 -1.6761E-02
  5.6250E+01  6.3932E-02
  5.6875E+01  6.5646E-02
  5.7500E+01  6.2122E-02
  5.8125E+01  2.3249E-02
  5.8750E+01 -1.6068E-02
  5.9375E+01 -6.1820E-02
  6.0000E+01 -1.0757E-01
