           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01 -6.6998E+01
 -3.4823E+01 -6.7081E+01
 -3.4646E+01 -6.7163E+01
 -3.4468E+01 -6.7246E+01
 -3.4291E+01 -6.7329E+01
 -3.4114E+01 -6.7552E+01
 -3.3937E+01 -6.7796E+01
 -3.3759E+01 -6.8039E+01
 -3.3582E+01 -6.8282E+01
 -3.3405E+01 -6.8625E+01
 -3.3228E+01 -6.9002E+01
 -3.3051E+01 -6.9378E+01
 -3.2873E+01 -6.9755E+01
 -3.2696E+01 -7.0190E+01
 -3.2519E+01 -7.0662E+01
 -3.2342E+01 -7.1133E+01
 -3.2165E+01 -7.1605E+01
 -3.1987E+01 -7.2103E+01
 -3.1810E+01 -7.2627E+01
 -3.1633E+01 -7.3152E+01
 -3.1456E+01 -7.3677E+01
 -3.1278E+01 -7.4202E+01
 -3.1101E+01 -7.4728E+01
 -3.0924E+01 -7.5254E+01
 -3.0747E+01 -7.5780E+01
 -3.0570E+01 -7.6296E+01
 -3.0392E+01 -7.6780E+01
 -3.0215E+01 -7.7265E+01
 -3.0038E+01 -7.7750E+01
 -2.9861E+01 -7.8226E+01
 -2.9684E+01 -7.8633E+01
 -2.9506E+01 -7.9041E+01
 -2.9329E+01 -7.9448E+01
 -2.9152E+01 -7.9856E+01
 -2.8975E+01 -8.0159E+01
 -2.8797E+01 -8.0462E+01
 -2.8620E+01 -8.0764E+01
 -2.8443E+01 -8.1067E+01
 -2.8266E+01 -8.1268E+01
 -2.8089E+01 -8.1454E+01
 -2.7911E+01 -8.1640E+01
 -2.7734E+01 -8.1826E+01
 -2.7557E+01 -8.1920E+01
 -2.7380E+01 -8.1982E+01
 -2.7203E+01 -8.2043E+01
 -2.7025E+01 -8.2105E+01
 -2.6848E+01 -8.2086E+01
 -2.6671E+01 -8.2016E+01
 -2.6494E+01 -8.1947E+01
 -2.6316E+01 -8.1877E+01
 -2.6139E+01 -8.1740E+01
 -2.5962E+01 -8.1534E+01
 -2.5785E+01 -8.1327E+01
 -2.5608E+01 -8.1120E+01
 -2.5430E+01 -8.0859E+01
 -2.5253E+01 -8.0504E+01
 -2.5076E+01 -8.0148E+01
 -2.4899E+01 -7.9792E+01
 -2.4722E+01 -7.9394E+01
 -2.4544E+01 -7.8858E+01
 -2.4367E+01 -7.8321E+01
 -2.4190E+01 -7.7784E+01
 -2.4013E+01 -7.7222E+01
 -2.3835E+01 -7.6453E+01
 -2.3658E+01 -7.5684E+01
 -2.3481E+01 -7.4915E+01
 -2.3304E+01 -7.4146E+01
 -2.3127E+01 -7.3071E+01
 -2.2949E+01 -7.1992E+01
 -2.2772E+01 -7.0912E+01
 -2.2595E+01 -6.9832E+01
 -2.2418E+01 -6.8390E+01
 -2.2241E+01 -6.6888E+01
 -2.2063E+01 -6.5386E+01
 -2.1886E+01 -6.3883E+01
 -2.1709E+01 -6.1962E+01
 -2.1532E+01 -5.9886E+01
 -2.1354E+01 -5.7810E+01
 -2.1177E+01 -5.5734E+01
 -2.1000E+01 -5.3200E+01
 -2.0823E+01 -5.0366E+01
 -2.0646E+01 -4.7532E+01
 -2.0468E+01 -4.4699E+01
 -2.0291E+01 -4.1394E+01
 -2.0114E+01 -3.7577E+01
 -1.9937E+01 -3.3760E+01
 -1.9759E+01 -2.9942E+01
 -1.9582E+01 -2.5682E+01
 -1.9405E+01 -2.0606E+01
 -1.9228E+01 -1.5530E+01
 -1.9051E+01 -1.0455E+01
 -1.8873E+01 -5.0227E+00
 -1.8696E+01  1.6277E+00
 -1.8519E+01  8.2783E+00
 -1.8342E+01  1.4929E+01
 -1.8165E+01  2.1773E+01
 -1.7987E+01  3.0361E+01
