           Z  Fieldvalue
 ----------- -----------
 -3.5000E+01  2.7865E+01
 -3.4823E+01  2.7789E+01
 -3.4646E+01  2.7712E+01
 -3.4468E+01  2.7635E+01
 -3.4291E+01  2.7558E+01
 -3.4114E+01  2.7349E+01
 -3.3937E+01  2.7121E+01
 -3.3759E+01  2.6893E+01
 -3.3582E+01  2.6664E+01
 -3.3405E+01  2.6338E+01
 -3.3228E+01  2.5979E+01
 -3.3051E+01  2.5619E+01
 -3.2873E+01  2.5260E+01
 -3.2696E+01  2.4839E+01
 -3.2519E+01  2.4380E+01
 -3.2342E+01  2.3922E+01
 -3.2165E+01  2.3463E+01
 -3.1987E+01  2.2975E+01
 -3.1810E+01  2.2458E+01
 -3.1633E+01  2.1941E+01
 -3.1456E+01  2.1423E+01
 -3.1278E+01  2.0908E+01
 -3.1101E+01  2.0397E+01
 -3.0924E+01  1.9886E+01
 -3.0747E+01  1.9375E+01
 -3.0570E+01  1.8883E+01
 -3.0392E+01  1.8451E+01
 -3.0215E+01  1.8019E+01
 -3.0038E+01  1.7587E+01
 -2.9861E+01  1.7174E+01
 -2.9684E+01  1.6910E+01
 -2.9506E+01  1.6646E+01
 -2.9329E+01  1.6382E+01
 -2.9152E+01  1.6118E+01
 -2.8975E+01  1.6120E+01
 -2.8797E+01  1.6124E+01
 -2.8620E+01  1.6128E+01
 -2.8443E+01  1.6133E+01
 -2.8266E+01  1.6457E+01
 -2.8089E+01  1.6830E+01
 -2.7911E+01  1.7204E+01
 -2.7734E+01  1.7578E+01
 -2.7557E+01  1.8302E+01
 -2.7380E+01  1.9149E+01
 -2.7203E+01  1.9996E+01
 -2.7025E+01  2.0843E+01
 -2.6848E+01  2.2040E+01
 -2.6671E+01  2.3459E+01
 -2.6494E+01  2.4878E+01
 -2.6316E+01  2.6297E+01
 -2.6139E+01  2.8032E+01
 -2.5962E+01  3.0100E+01
 -2.5785E+01  3.2168E+01
 -2.5608E+01  3.4237E+01
 -2.5430E+01  3.6558E+01
 -2.5253E+01  3.9328E+01
 -2.5076E+01  4.2097E+01
 -2.4899E+01  4.4867E+01
 -2.4722E+01  4.7807E+01
 -2.4544E+01  5.1303E+01
 -2.4367E+01  5.4798E+01
 -2.4190E+01  5.8294E+01
 -2.4013E+01  6.1868E+01
 -2.3835E+01  6.6079E+01
 -2.3658E+01  7.0290E+01
 -2.3481E+01  7.4501E+01
 -2.3304E+01  7.8713E+01
 -2.3127E+01  8.3583E+01
 -2.2949E+01  8.8465E+01
 -2.2772E+01  9.3348E+01
 -2.2595E+01  9.8230E+01
 -2.2418E+01  1.0362E+02
 -2.2241E+01  1.0910E+02
 -2.2063E+01  1.1458E+02
 -2.1886E+01  1.2006E+02
 -2.1709E+01  1.2591E+02
 -2.1532E+01  1.3189E+02
 -2.1354E+01  1.3787E+02
 -2.1177E+01  1.4385E+02
 -2.1000E+01  1.5007E+02
 -2.0823E+01  1.5645E+02
 -2.0646E+01  1.6282E+02
 -2.0468E+01  1.6920E+02
 -2.0291E+01  1.7571E+02
 -2.0114E+01  1.8237E+02
 -1.9937E+01  1.8902E+02
 -1.9759E+01  1.9568E+02
 -1.9582E+01  2.0241E+02
 -1.9405E+01  2.0926E+02
 -1.9228E+01  2.1612E+02
 -1.9051E+01  2.2297E+02
 -1.8873E+01  2.2985E+02
 -1.8696E+01  2.3685E+02
 -1.8519E+01  2.4384E+02
 -1.8342E+01  2.5083E+02
 -1.8165E+01  2.5783E+02
 -1.7987E+01  2.6495E+02
 -1.7810E+01  2.7206E+02
 -1.7633E+01  2.7918E+02
 -1.7456E+01  2.8629E+02
 -1.7278E+01  2.9358E+02
 -1.7101E+01  3.0086E+02
 -1.6924E+01  3.0815E+02
 -1.6747E+01  3.1544E+02
 -1.6570E+01  3.2297E+02
 -1.6392E+01  3.3054E+02
 -1.6215E+01  3.3811E+02
 -1.6038E+01  3.4569E+02
 -1.5861E+01  3.5360E+02
 -1.5684E+01  3.6164E+02
 -1.5506E+01  3.6967E+02
 -1.5329E+01  3.7771E+02
 -1.5152E+01  3.8616E+02
 -1.4975E+01  3.9489E+02
 -1.4797E+01  4.0361E+02
 -1.4620E+01  4.1234E+02
 -1.4443E+01  4.2150E+02
 -1.4266E+01  4.3116E+02
 -1.4089E+01  4.4081E+02
 -1.3911E+01  4.5047E+02
 -1.3734E+01  4.6051E+02
 -1.3557E+01  4.7130E+02
 -1.3380E+01  4.8209E+02
 -1.3203E+01  4.9288E+02
 -1.3025E+01  5.0393E+02
 -1.2848E+01  5.1593E+02
 -1.2671E+01  5.2794E+02
 -1.2494E+01  5.3994E+02
 -1.2316E+01  5.5205E+02
 -1.2139E+01  5.6514E+02
 -1.1962E+01  5.7824E+02
 -1.1785E+01  5.9133E+02
 -1.1608E+01  6.0446E+02
 -1.1430E+01  6.1824E+02
 -1.1253E+01  6.3201E+02
 -1.1076E+01  6.4581E+02
 -1.0899E+01  6.5982E+02
 -1.0722E+01  6.7382E+02
 -1.0544E+01  6.8780E+02
 -1.0367E+01  7.0177E+02
 -1.0190E+01  7.1552E+02
 -1.0013E+01  7.2927E+02
 -9.8354E+00  7.4263E+02
 -9.6582E+00  7.5596E+02
 -9.4810E+00  7.6875E+02
 -9.3038E+00  7.8147E+02
 -9.1266E+00  7.9357E+02
 -8.9494E+00  8.0551E+02
 -8.7722E+00  8.1662E+02
 -8.5949E+00  8.2743E+02
 -8.4177E+00  8.3825E+02
 -8.2405E+00  8.4760E+02
 -8.0633E+00  8.5663E+02
 -7.8861E+00  8.6566E+02
 -7.7089E+00  8.7468E+02
 -7.5316E+00  8.8201E+02
 -7.3544E+00  8.8887E+02
 -7.1772E+00  8.9572E+02
 -7.0000E+00  9.0257E+02
 -6.8228E+00  9.0805E+02
 -6.6456E+00  9.1282E+02
 -6.4684E+00  9.1759E+02
 -6.2911E+00  9.2237E+02
 -6.1139E+00  9.2617E+02
 -5.9367E+00  9.2914E+02
 -5.7595E+00  9.3211E+02
 -5.5823E+00  9.3507E+02
 -5.4051E+00  9.3745E+02
 -5.2278E+00  9.3898E+02
 -5.0506E+00  9.4050E+02
 -4.8734E+00  9.4203E+02
 -4.6962E+00  9.4326E+02
 -4.5190E+00  9.4376E+02
 -4.3418E+00  9.4426E+02
 -4.1646E+00  9.4477E+02
 -3.9873E+00  9.4516E+02
 -3.8101E+00  9.4506E+02
 -3.6329E+00  9.4495E+02
 -3.4557E+00  9.4485E+02
 -3.2785E+00  9.4473E+02
 -3.1013E+00  9.4443E+02
 -2.9241E+00  9.4412E+02
 -2.7468E+00  9.4382E+02
 -2.5696E+00  9.4351E+02
 -2.3924E+00  9.4338E+02
 -2.2152E+00  9.4326E+02
 -2.0380E+00  9.4314E+02
 -1.8608E+00  9.4302E+02
 -1.6835E+00  9.4332E+02
 -1.5063E+00  9.4373E+02
 -1.3291E+00  9.4413E+02
 -1.1519E+00  9.4454E+02
 -9.7468E-01  9.4549E+02
 -7.9747E-01  9.4671E+02
 -6.2025E-01  9.4792E+02
 -4.4304E-01  9.4913E+02
 -2.6582E-01  9.5091E+02
 -8.8608E-02  9.5313E+02
  8.8608E-02  9.5535E+02
  2.6582E-01  9.5756E+02
  4.4304E-01  9.6026E+02
  6.2025E-01  9.6358E+02
  7.9747E-01  9.6689E+02
  9.7468E-01  9.7021E+02
  1.1519E+00  9.7386E+02
  1.3291E+00  9.7823E+02
  1.5063E+00  9.8261E+02
  1.6835E+00  9.8698E+02
  1.8608E+00  9.9152E+02
  2.0380E+00  9.9676E+02
  2.2152E+00  1.0020E+03
  2.3924E+00  1.0072E+03
  2.5696E+00  1.0125E+03
  2.7468E+00  1.0183E+03
  2.9241E+00  1.0241E+03
  3.1013E+00  1.0298E+03
  3.2785E+00  1.0356E+03
  3.4557E+00  1.0414E+03
  3.6329E+00  1.0472E+03
  3.8101E+00  1.0529E+03
  3.9873E+00  1.0587E+03
  4.1646E+00  1.0640E+03
  4.3418E+00  1.0691E+03
  4.5190E+00  1.0742E+03
  4.6962E+00  1.0794E+03
  4.8734E+00  1.0835E+03
  5.0506E+00  1.0872E+03
  5.2278E+00  1.0909E+03
  5.4051E+00  1.0946E+03
  5.5823E+00  1.0970E+03
  5.7595E+00  1.0984E+03
  5.9367E+00  1.0998E+03
  6.1139E+00  1.1012E+03
  6.2911E+00  1.1011E+03
  6.4684E+00  1.0994E+03
  6.6456E+00  1.0977E+03
  6.8228E+00  1.0959E+03
  7.0000E+00  1.0929E+03
  7.1772E+00  1.0872E+03
  7.3544E+00  1.0816E+03
  7.5316E+00  1.0760E+03
  7.7089E+00  1.0695E+03
  7.8861E+00  1.0596E+03
  8.0633E+00  1.0497E+03
  8.2405E+00  1.0399E+03
  8.4177E+00  1.0293E+03
  8.5949E+00  1.0158E+03
  8.7722E+00  1.0022E+03
  8.9494E+00  9.8801E+02
  9.1266E+00  9.7200E+02
  9.3038E+00  9.5562E+02
  9.4810E+00  9.3779E+02
  9.6582E+00  9.1975E+02
  9.8354E+00  9.0035E+02
  1.0013E+01  8.8087E+02
  1.0190E+01  8.6021E+02
  1.0367E+01  8.3955E+02
  1.0544E+01  8.1798E+02
  1.0722E+01  7.9640E+02
  1.0899E+01  7.7428E+02
  1.1076E+01  7.5213E+02
  1.1253E+01  7.2980E+02
  1.1430E+01  7.0743E+02
  1.1608E+01  6.8507E+02
  1.1785E+01  6.6314E+02
  1.1962E+01  6.4123E+02
  1.2139E+01  6.1932E+02
  1.2316E+01  5.9741E+02
  1.2494E+01  5.7668E+02
  1.2671E+01  5.5607E+02
  1.2848E+01  5.3546E+02
  1.3025E+01  5.1485E+02
  1.3203E+01  4.9572E+02
  1.3380E+01  4.7699E+02
  1.3557E+01  4.5826E+02
  1.3734E+01  4.3953E+02
  1.3911E+01  4.2223E+02
  1.4089E+01  4.0566E+02
  1.4266E+01  3.8910E+02
  1.4443E+01  3.7253E+02
  1.4620E+01  3.5715E+02
  1.4797E+01  3.4281E+02
  1.4975E+01  3.2847E+02
  1.5152E+01  3.1413E+02
  1.5329E+01  3.0067E+02
  1.5506E+01  2.8849E+02
  1.5684E+01  2.7631E+02
  1.5861E+01  2.6413E+02
  1.6038E+01  2.5251E+02
  1.6215E+01  2.4234E+02
  1.6392E+01  2.3218E+02
  1.6570E+01  2.2201E+02
  1.6747E+01  2.1213E+02
  1.6924E+01  2.0380E+02
  1.7101E+01  1.9547E+02
  1.7278E+01  1.8714E+02
  1.7456E+01  1.7885E+02
  1.7633E+01  1.7215E+02
  1.7810E+01  1.6544E+02
  1.7987E+01  1.5874E+02
  1.8165E+01  1.5203E+02
  1.8342E+01  1.4659E+02
  1.8519E+01  1.4129E+02
  1.8696E+01  1.3599E+02
  1.8873E+01  1.3069E+02
  1.9051E+01  1.2630E+02
  1.9228E+01  1.2217E+02
  1.9405E+01  1.1804E+02
  1.9582E+01  1.1391E+02
  1.9759E+01  1.1039E+02
  1.9937E+01  1.0720E+02
  2.0114E+01  1.0400E+02
  2.0291E+01  1.0081E+02
  2.0468E+01  9.7993E+01
  2.0646E+01  9.5516E+01
  2.0823E+01  9.3039E+01
  2.1000E+01  9.0562E+01
  2.1177E+01  8.8288E+01
  2.1354E+01  8.6324E+01
  2.1532E+01  8.4360E+01
  2.1709E+01  8.2396E+01
  2.1886E+01  8.0523E+01
  2.2063E+01  7.8899E+01
  2.2241E+01  7.7275E+01
  2.2418E+01  7.5651E+01
  2.2595E+01  7.4058E+01
  2.2772E+01  7.2645E+01
  2.2949E+01  7.1233E+01
  2.3127E+01  6.9820E+01
  2.3304E+01  6.8410E+01
  2.3481E+01  6.7130E+01
  2.3658E+01  6.5849E+01
  2.3835E+01  6.4569E+01
