#Parameters = {H_cav=50; H_pipe=15; L_cav=30; L_pipe=100; W_cav=50; W_pipe=15; beta=1; cellsperw=50; q=1e-09; sigmaz=18.5}
#"s / mm"	"Z [Real Part]"
#------------------------
-158.15503913577	-6.0322660557671e-16
-157.99849986294	-7.6486624469428e-16
-157.84196059011	-8.4478824246540e-16
-157.68542131728	-8.4385052794139e-16
-157.52888204445	-7.7343895738286e-16
-157.37234277163	-6.5183906512988e-16
-157.21580349880	-5.0094970158533e-16
-157.05926422597	-3.4231231673547e-16
-156.90272495314	-1.9349058630690e-16
-156.74618568031	-6.6861544962943e-17
-156.58964640749	3.1228924375446e-17
-156.43310713466	1.0110554789018e-16
-156.27656786183	-1.3914727435080e-16
-156.12002858900	-9.8494541703160e-16
-155.96348931617	-1.7311151531243e-15
-155.80695004335	-2.3015410441741e-15
-155.65041077052	-2.6414952081051e-15
-155.49387149769	-2.7213775634892e-15
-155.33733222486	-2.5394242430353e-15
-155.18079295203	-2.1195432499745e-15
-155.02425367921	-1.5046170347932e-15
-154.86771440638	-7.4695458160470e-16
-154.71117513355	1.0054155633461e-16
-154.55463586072	9.9632232946332e-16
-154.39809658789	1.9207523962336e-15
-154.24155731507	2.8849773093614e-15
-154.08501804224	3.9369030504684e-15
-153.92847876941	4.8838428755308e-15
-153.77193949658	5.5718876949407e-15
-153.61540022375	6.9170146764956e-15
-153.45886095093	9.2928936891365e-15
-153.30232167810	1.3150821956525e-14
-153.14578240527	1.9028141332019e-14
-152.98924313244	2.7734401996608e-14
-152.83270385961	4.0498631341992e-14
-152.67616458679	5.9047015673278e-14
-152.51962531396	8.5544618204697e-14
-152.36308604113	1.0565804263552e-13
-152.20654676830	2.3729258462081e-14
-152.05000749547	-6.5933358455691e-14
-151.89346822265	-1.7506742696405e-13
-151.73692894982	-2.7079600970131e-13
-151.58038967699	-3.1754297443052e-13
-151.42385040416	-2.9559688003747e-13
-151.26731113133	-1.8675748052565e-13
-151.11077185851	-6.3075290770559e-15
-150.95423258568	1.4610086774628e-13
-150.79769331285	3.0012783218837e-13
-150.64115404002	3.8785465859777e-13
-150.48461476719	3.5293897292593e-13
-150.32807549437	2.6086126568849e-13
-150.17153622154	1.2939296519478e-13
-150.01499694871	4.6024601464572e-15
-149.85845767588	-9.7840477618834e-14
-149.70191840305	-2.0436172632460e-13
-149.54537913023	-2.3324513435299e-13
-149.38883985740	-2.1752559391426e-13
-149.23230058457	-1.6899859440813e-13
-149.07576131174	-9.7456104549876e-14
-148.91922203891	2.0651899827617e-15
-148.76268276609	6.9339769608253e-14
-148.60614349326	1.3367913279062e-13
-148.44960422043	1.5199340552732e-13
-148.29306494760	1.5296190891489e-13
-148.13652567477	1.1478641264585e-13
-147.97998640195	6.3751263963721e-14
-147.82344712912	4.4389722119732e-15
-147.66690785629	-4.8360023037934e-14
-147.51036858346	-8.6917850202781e-14
-147.35382931063	-1.0388422153297e-13
-147.19729003781	-9.4416070588121e-14
-147.04075076498	-6.7898739159669e-14
-146.88421149215	-2.7891552487877e-14
-146.72767221932	1.5718961421567e-14
-146.57113294649	5.2464245559991e-14
-146.41459367367	7.9046465483335e-14
-146.25805440084	8.7472711013315e-14
-146.10151512801	8.0570923123940e-14
-145.94497585518	5.8177562984056e-14
-145.78843658235	3.0925716605500e-14
-145.63189730953	1.0507248468244e-14
-145.47535803670	-6.1279407780285e-15
-145.31881876387	-1.5887935188695e-14
-145.16227949104	-1.7255314625406e-14
-145.00574021821	-9.7835456403355e-15
-144.84920094539	-3.2773428733428e-15
-144.69266167256	1.3374098839142e-14
-144.53612239973	1.5671706479932e-14
-144.37958312690	2.0512798738208e-14
-144.22304385407	2.8955765162814e-14
-144.06650458125	3.2757136373545e-14
-143.90996530842	3.9337253120019e-14
-143.75342603559	4.6152157498202e-14
-143.59688676276	4.6441323000645e-14
-143.44034748993	5.6748205860478e-14
-143.28380821711	5.9220251574475e-14
-143.12726894428	5.7700146046787e-14
-142.97072967145	5.3393789017214e-14
-142.81419039862	4.9333099642143e-14
-142.65765112579	4.4533675665672e-14
-142.50111185297	4.0241287034181e-14
-142.34457258014	4.2852163870031e-14
